USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
AK,2013,1419964,Aleutians East Borough,18094314940,20797423739,6986.254,8029.931,55.245044,-161.997477                                                                                                
AK,2016,1419965,Aleutians West Census Area,11377949308,25183571468,4393.051,9723.432,51.948964,+179.621188                                                                                            
AK,2020,1416061,Anchorage Municipality,4421287267,614965903,1707.069,237.44,61.17425,-149.284329                                                                                                      
AK,2050,1419966,Bethel Census Area,105310429084,12678050559,40660.586,4895.023,60.929141,-160.152625                                                                                                  
AK,2060,1419967,Bristol Bay Borough,1246773236,952589575,481.382,367.797,58.730546,-156.994473                                                                                                        
AK,2063,2804400,Chugach Census Area,24800146118,14536309310,9575.39,5612.501,60.488474,-146.203092                                                                                                    
AK,2066,2804401,Copper River Census Area,63834809642,1218949180,24646.759,470.639,62.034479,-143.922167                                                                                               
AK,2068,1419988,Denali Borough,32740165568,66105677,12641.049,25.524,63.682039,-150.027016                                                                                                            
AK,2070,1419968,Dillingham Census Area,47489490852,5936909013,18335.796,2292.253,59.543326,-158.267123                                                                                                
AK,2090,1419969,Fairbanks North Star Borough,18997105007,259306487,7334.824,100.119,64.670454,-146.496061                                                                                             
AK,2100,1419970,Haines Borough,6047446741,1028215523,2334.932,396.996,59.098404,-135.575791                                                                                                           
AK,2105,2371430,Hoonah-Angoon Census Area,16991147480,7796385706,6560.319,3010.201,58.403336,-135.884909                                                                                              
AK,2110,1419971,Juneau City and Borough,7000540329,1437614880,2702.924,555.066,58.37291,-134.178445                                                                                                   
AK,2122,1419972,Kenai Peninsula Borough,41485343703,22542172700,16017.581,8703.582,60.366668,-152.322283                                                                                              
AK,2130,1419973,Ketchikan Gateway Borough,12579808104,4714991291,4857.091,1820.468,55.449938,-131.106685                                                                                              
AK,2150,1419974,Kodiak Island Borough,17325688372,14147958947,6689.486,5462.558,57.7044,-153.918372                                                                                                   
AK,2158,1419985,Kusilvak Census Area,44231723377,6683852320,17077.965,2580.65,62.283588,-163.190171                                                                                                   
AK,2164,1419975,Lake and Peninsula Borough,61722052573,25846144301,23831.019,9979.253,58.108507,-156.413413                                                                                           
AK,2170,1419976,Matanuska-Susitna Borough,63991698182,1451234885,24707.334,560.325,62.265626,-149.503993                                                                                              
AK,2180,1419977,Nome Census Area,59491231652,13780160833,22969.694,5320.55,64.783686,-164.188912                                                                                                      
AK,2185,1419978,North Slope Borough,229972282345,15630901229,88792.798,6035.125,69.449343,-153.47283                                                                                                  
AK,2188,1419979,Northwest Arctic Borough,92389266898,12815474516,35671.697,4948.083,67.005066,-160.021086                                                                                             
AK,2195,2516404,Petersburg Borough,7513266725,2399809206,2900.889,926.572,57.112458,-133.008598                                                                                                       
AK,2198,1419980,Prince of Wales-Hyder Census Area,13643114551,14563567048,5267.636,5623.025,55.682773,-133.162389                                                                                     
AK,2220,1419981,Sitka City and Borough,7433526050,5037637272,2870.101,1945.043,57.193204,-135.367396                                                                                                  
AK,2230,2339479,Skagway Municipality,1147178436,27779583,442.928,10.726,59.560379,-135.338279                                                                                                         
AK,2240,1419983,Southeast Fairbanks Census Area,64315282485,749292918,24832.27,289.304,63.864997,-143.218628                                                                                          
AK,2275,2516402,Wrangell City and Borough,6620261743,2369935195,2556.097,915.037,56.180779,-132.026788                                                                                                
AK,2282,1419986,Yakutat City and Borough,19755357578,3980862722,7627.587,1537.02,60.017508,-140.416847                                                                                                
AK,2290,1419987,Yukon-Koyukuk Census Area,377540283397,5462354664,145769.125,2109.027,65.375656,-151.578176                                                                                           
