USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
AL,1001,161526,Autauga County,1539631459,25677536,594.455,9.914,32.532237,-86.64644                                                                                                                  
AL,1003,161527,Baldwin County,4117781416,1132830835,1589.884,437.388,30.659218,-87.746067                                                                                                            
AL,1005,161528,Barbour County,2292160151,50523213,885.008,19.507,31.870253,-85.405104                                                                                                                
AL,1007,161529,Bibb County,1612188713,9572302,622.47,3.696,33.015893,-87.127148                                                                                                                      
AL,1009,161530,Blount County,1670259099,14860281,644.891,5.738,33.977358,-86.56644                                                                                                                   
AL,1011,161531,Bullock County,1613084322,6029813,622.815,2.328,32.101759,-85.717261                                                                                                                  
AL,1013,161532,Butler County,2012002549,2701199,776.839,1.043,31.751667,-86.681969                                                                                                                   
AL,1015,161533,Calhoun County,1569256885,16525540,605.893,6.381,33.770516,-85.827909                                                                                                                 
AL,1017,161534,Chambers County,1545068607,16988689,596.554,6.559,32.915504,-85.394032                                                                                                                
AL,1019,161535,Cherokee County,1433614765,120316891,553.522,46.455,34.069515,-85.654242                                                                                                              
AL,1021,161536,Chilton County,1794443235,20587728,692.838,7.949,32.854051,-86.726607                                                                                                                 
AL,1023,161537,Choctaw County,2365900084,19114321,913.479,7.38,31.990954,-88.248889                                                                                                                  
AL,1025,161538,Clarke County,3207494083,36657889,1238.42,14.154,31.685521,-87.818624                                                                                                                 
AL,1027,161539,Clay County,1564255426,5281616,603.962,2.039,33.2704,-85.863525                                                                                                                       
AL,1029,161540,Cleburne County,1450669160,2349509,560.107,0.907,33.671964,-85.516126                                                                                                                 
AL,1031,161541,Coffee County,1758565928,3907189,678.986,1.509,31.402258,-85.989602                                                                                                                   
AL,1033,161542,Colbert County,1535740663,79162005,592.953,30.565,34.703112,-87.801457                                                                                                                
AL,1035,161543,Conecuh County,2202213383,6426488,850.279,2.481,31.430926,-86.988722                                                                                                                  
AL,1037,161544,Coosa County,1685846963,39991153,650.909,15.441,32.931445,-86.243482                                                                                                                  
AL,1039,161545,Covington County,2669165560,34194851,1030.571,13.203,31.243987,-86.448721                                                                                                             
AL,1041,161546,Crenshaw County,1576952763,5388562,608.865,2.081,31.730311,-86.320038                                                                                                                 
AL,1043,161547,Cullman County,1902985237,52510688,734.747,20.274,34.131923,-86.869267                                                                                                                
AL,1045,161548,Dale County,1453276164,4051341,561.113,1.564,31.430654,-85.609476                                                                                                                     
AL,1047,161549,Dallas County,2534919602,39124772,978.738,15.106,32.333526,-87.11436                                                                                                                  
AL,1049,161550,DeKalb County,2012620263,4107136,777.077,1.586,34.460915,-85.804021                                                                                                                   
AL,1051,161551,Elmore County,1601959016,99767744,618.52,38.521,32.597229,-86.142735                                                                                                                  
AL,1053,161552,Escambia County,2448595164,20024887,945.408,7.732,31.122287,-87.16841                                                                                                                 
AL,1055,161553,Etowah County,1386015447,34924289,535.144,13.484,34.047641,-86.034263                                                                                                                 
AL,1057,161554,Fayette County,1625693253,4330881,627.684,1.672,33.716157,-87.764292                                                                                                                  
AL,1059,161555,Franklin County,1641945980,32539346,633.959,12.564,34.441989,-87.842814                                                                                                               
AL,1061,161556,Geneva County,1487908415,11567411,574.485,4.466,31.092382,-85.821022                                                                                                                  
AL,1063,161557,Greene County,1675782053,33416143,647.023,12.902,32.844497,-87.9642                                                                                                                   
AL,1065,161558,Hale County,1667929291,32401180,643.991,12.51,32.752796,-87.623061                                                                                                                    
AL,1067,161559,Henry County,1455293386,16620066,561.892,6.417,31.516978,-85.239971                                                                                                                   
AL,1069,161560,Houston County,1501742250,4795418,579.826,1.852,31.158183,-85.296411                                                                                                                  
AL,1071,161561,Jackson County,2792044612,126334711,1078.014,48.778,34.764114,-85.980056                                                                                                              
AL,1073,161562,Jefferson County,2878917022,32616917,1111.556,12.593,33.553444,-86.896536                                                                                                             
AL,1075,161563,Lamar County,1566544672,1600679,604.846,0.618,33.787085,-88.087431                                                                                                                    
AL,1077,161564,Lauderdale County,1730157470,133597557,668.018,51.582,34.904168,-87.651108                                                                                                            
AL,1079,161565,Lawrence County,1788864892,68681744,690.685,26.518,34.529776,-87.321865                                                                                                               
AL,1081,161566,Lee County,1573562418,21481149,607.556,8.294,32.604064,-85.353048                                                                                                                     
AL,1083,161567,Limestone County,1459195371,113412127,563.399,43.789,34.810239,-86.981399                                                                                                             
AL,1085,161568,Lowndes County,1854651875,23271196,716.085,8.985,32.147888,-86.650586                                                                                                                 
