USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
AZ,4001,25441,Apache County,29003487955,54140333,11198.31,20.904,35.385084,-109.490172                                                                                                              
AZ,4003,25442,Cochise County,16083471946,17648749,6209.863,6.814,31.840129,-109.775163                                                                                                              
AZ,4005,25443,Coconino County,48216129128,116640318,18616.352,45.035,35.829692,-111.773728                                                                                                          
AZ,4007,40471,Gila County,12322068647,96466819,4757.578,37.246,33.789618,-110.81187                                                                                                                 
AZ,4009,25444,Graham County,11970605960,47476264,4621.877,18.331,32.931828,-109.87831                                                                                                               
AZ,4011,42807,Greenlee County,4772927116,11947401,1842.838,4.613,33.238872,-109.242323                                                                                                              
AZ,4012,43540,La Paz County,11646086556,36514346,4496.579,14.098,33.72761,-114.038806                                                                                                               
AZ,4013,37026,Maricopa County,23833110076,62108694,9202.016,23.98,33.345176,-112.49893                                                                                                              
AZ,4015,25445,Mohave County,34530024143,333399390,13332.117,128.726,35.717705,-113.749689                                                                                                           
AZ,4017,42808,Navajo County,25769074415,24121089,9949.496,9.313,35.390785,-110.321025                                                                                                               
AZ,4019,25446,Pima County,23798578890,5112015,9188.683,1.974,32.128038,-111.783657                                                                                                                  
AZ,4021,25447,Pinal County,13899629595,20747212,5366.677,8.011,32.918521,-111.366339                                                                                                                
AZ,4023,40472,Santa Cruz County,3201899628,3068237,1236.26,1.185,31.525733,-110.845228                                                                                                              
AZ,4025,42809,Yavapai County,21038297494,11358280,8122.932,4.385,34.631071,-112.577225                                                                                                              
AZ,4027,23901,Yuma County,14280726745,13242852,5513.82,5.113,32.773942,-113.910905                                                                                                                  
