USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
CA,6001,1675839,Alameda County,1910010500,216909647,737.459,83.749,37.647139,-121.912488                                                                                                              
CA,6003,1675840,Alpine County,1912292607,12557304,738.34,4.848,38.621783,-119.798352                                                                                                                  
CA,6005,1675841,Amador County,1539967082,29437117,594.585,11.366,38.443549,-120.653858                                                                                                                
CA,6007,1675842,Butte County,4238545149,105204062,1636.512,40.62,39.665336,-121.603209                                                                                                                
CA,6009,1675885,Calaveras County,2641829625,43797225,1020.016,16.91,38.191068,-120.554107                                                                                                             
CA,6011,1675902,Colusa County,2980245451,14696164,1150.679,5.674,39.177739,-122.237563                                                                                                                
CA,6013,1675903,Contra Costa County,1856755871,225361409,716.897,87.013,37.919479,-121.951543                                                                                                         
CA,6015,1682074,Del Norte County,2606049835,578810831,1006.202,223.48,41.749903,-123.980998                                                                                                           
CA,6017,277273,El Dorado County,4423288023,203364019,1707.841,78.519,38.785612,-120.534225                                                                                                           
CA,6019,277274,Fresno County,15432656110,136636505,5958.582,52.756,36.761006,-119.655019                                                                                                             
CA,6021,277275,Glenn County,3403182198,33671442,1313.976,13.001,39.602546,-122.4017                                                                                                                  
CA,6023,1681908,Humboldt County,9241138639,1254152624,3568.024,484.231,40.706655,-123.926176                                                                                                          
CA,6025,277277,Imperial County,10814568237,790135127,4175.528,305.073,33.040814,-115.3554                                                                                                            
CA,6027,1804637,Inyo County,26410783052,77280938,10197.261,29.838,36.56216,-117.404209                                                                                                                
CA,6029,2054176,Kern County,21068706348,78331375,8134.673,30.244,35.346629,-118.729506                                                                                                                
CA,6031,277280,Kings County,3602601926,3164290,1390.972,1.222,36.072478,-119.81553                                                                                                                   
CA,6033,277281,Lake County,3250693464,189054363,1255.1,72.994,39.108009,-122.745217                                                                                                                  
CA,6035,1693324,Lassen County,11762090640,462950977,4541.369,178.746,40.715287,-120.621223                                                                                                            
CA,6037,277283,Los Angeles County,10516008433,1784982940,4060.254,689.186,34.196398,-118.261862                                                                                                      
CA,6039,277284,Madera County,5534050367,42266781,2136.709,16.319,37.209821,-119.749802                                                                                                               
CA,6041,277285,Marin County,1347158037,797809454,520.141,308.036,38.051367,-122.746396                                                                                                               
CA,6043,277286,Mariposa County,3752476985,36220865,1448.84,13.985,37.574343,-119.911721                                                                                                              
CA,6045,277287,Mendocino County,9082587618,961785254,3506.807,371.347,39.432388,-123.442881                                                                                                          
CA,6047,277288,Merced County,5019407136,105277636,1938.004,40.648,37.194806,-120.722802                                                                                                              
CA,6049,277289,Modoc County,10225876984,660504011,3948.233,255.022,41.592918,-120.71837                                                                                                              
CA,6051,277290,Mono County,7896625264,214695142,3048.904,82.894,37.915836,-118.875167                                                                                                                
CA,6053,277291,Monterey County,8499610241,1267806311,3281.718,489.503,36.240104,-121.315578                                                                                                          
CA,6055,277292,Napa County,1947606941,104444154,751.975,40.326,38.5071,-122.325904                                                                                                                   
CA,6057,1682927,Nevada County,2480587300,41531993,957.76,16.036,39.297508,-120.771343                                                                                                                 
CA,6059,277294,Orange County,2053515921,406239359,792.867,156.85,33.675687,-117.777207                                                                                                               
CA,6061,277295,Placer County,3644303250,246469597,1407.073,95.162,39.062032,-120.722718                                                                                                              
CA,6063,277296,Plumas County,6612400771,156387638,2553.062,60.382,39.992295,-120.824371                                                                                                              
CA,6065,277297,Riverside County,18671882474,242861394,7209.254,93.769,33.729828,-116.002239                                                                                                          
CA,6067,277298,Sacramento County,2500063005,75323439,965.28,29.083,38.450136,-121.344329                                                                                                             
CA,6069,277299,San Benito County,3596591087,4719300,1388.652,1.822,36.611651,-121.085811                                                                                                             
CA,6071,277300,San Bernardino County,51976311347,96418184,20068.167,37.227,34.856661,-116.181571                                                                                                     
CA,6073,277301,San Diego County,10905046431,816535836,4210.462,315.266,33.023604,-116.776117                                                                                                         
CA,6075,277302,San Francisco County,120913549,479701988,46.685,185.214,37.727239,-123.032229                                                                                                         
CA,6077,277303,San Joaquin County,3605878834,89000661,1392.238,34.363,37.934982,-121.272244                                                                                                          
CA,6079,277304,San Luis Obispo County,8549140866,815650229,3300.842,314.924,35.388189,-120.448897                                                                                                    
CA,6081,277305,San Mateo County,1161921071,757163219,448.62,292.342,37.414672,-122.371546                                                                                                            
CA,6083,277306,Santa Barbara County,7080874935,2729198796,2733.941,1053.75,34.536677,-120.038364                                                                                                     
CA,6085,277307,Santa Clara County,3343891499,33597067,1291.084,12.972,37.221614,-121.68954                                                                                                           
CA,6087,277308,Santa Cruz County,1152818088,419720203,445.106,162.055,37.012347,-122.007789                                                                                                          
CA,6089,1682610,Shasta County,9778891285,185818274,3775.651,71.745,40.760514,-122.043556                                                                                                              
CA,6091,277310,Sierra County,2468694578,23299110,953.168,8.996,39.576925,-120.521993                                                                                                                 
