USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
CO,8001,198116,Adams County,3021976998,43565396,1166.792,16.821,39.874325,-104.331872                                                                                                                
CO,8003,198117,Alamosa County,1871643028,1670455,722.645,0.645,37.568442,-105.788041                                                                                                                 
CO,8005,198118,Arapahoe County,2066516724,19791985,797.887,7.642,39.644554,-104.331706                                                                                                               
CO,8007,198119,Archuleta County,3496712164,13740247,1350.088,5.305,37.202395,-107.050863                                                                                                             
CO,8009,198120,Baca County,6617400566,6142192,2554.993,2.372,37.30978,-102.543741                                                                                                                    
CO,8011,198121,Bent County,3918255144,73141519,1512.847,28.24,37.931891,-103.077584                                                                                                                  
CO,8013,198122,Boulder County,1881388403,36422357,726.408,14.063,40.094971,-105.39771                                                                                                                
CO,8014,1945881,Broomfield County,85387136,1502572,32.968,0.58,39.953593,-105.050787                                                                                                                  
CO,8015,198123,Chaffee County,2624715691,3999975,1013.408,1.544,38.734599,-106.300025                                                                                                                
CO,8017,198124,Cheyenne County,4605713958,8166129,1778.276,3.153,38.835646,-102.601791                                                                                                               
CO,8019,198125,Clear Creek County,1023234048,3274902,395.073,1.264,39.689403,-105.670783                                                                                                             
CO,8021,198126,Conejos County,3334423894,9235012,1287.428,3.566,37.213406,-106.176447                                                                                                                
CO,8023,198127,Costilla County,3179452307,8828906,1227.593,3.409,37.277547,-105.42894                                                                                                                
CO,8025,198128,Crowley County,2039427879,33422980,787.428,12.905,38.30618,-103.772736                                                                                                                
CO,8027,198129,Custer County,1913031985,3364150,738.626,1.299,38.101996,-105.373512                                                                                                                  
CO,8029,198130,Delta County,2958090989,16786781,1142.125,6.481,38.861423,-107.865043                                                                                                                 
CO,8031,198131,Denver County,396460145,4275563,153.074,1.651,39.76185,-104.881105                                                                                                                    
CO,8033,198132,Dolores County,2763958508,2716141,1067.17,1.049,37.733823,-108.506219                                                                                                                 
CO,8035,198133,Douglas County,2177889327,6795841,840.888,2.624,39.325414,-104.925987                                                                                                                 
CO,8037,198134,Eagle County,4362757707,18967163,1684.47,7.323,39.626992,-106.695169                                                                                                                  
CO,8039,198136,Elbert County,4791700169,442147,1850.086,0.171,39.315157,-104.114076                                                                                                                  
CO,8041,198135,El Paso County,5507392243,7065030,2126.416,2.728,38.827383,-104.527472                                                                                                                
CO,8043,198137,Fremont County,3972613662,2235545,1533.835,0.863,38.45517,-105.424958                                                                                                                 
CO,8045,198138,Garfield County,7633796657,21707241,2947.425,8.381,39.599352,-107.90978                                                                                                               
CO,8047,198139,Gilpin County,388556762,942056,150.023,0.364,39.861156,-105.528878                                                                                                                    
CO,8049,198140,Grand County,4782276777,59886083,1846.447,23.122,40.113065,-106.110837                                                                                                                
CO,8051,198141,Gunnison County,8389334149,53070998,3239.14,20.491,38.670499,-107.05688                                                                                                               
CO,8053,198142,Hinsdale County,2893614472,15324685,1117.231,5.917,37.811519,-107.383974                                                                                                              
CO,8055,198143,Huerfano County,4120756305,5792101,1591.033,2.236,37.687815,-104.959928                                                                                                               
CO,8057,198144,Jackson County,4179530231,18750017,1613.726,7.239,40.663432,-106.329248                                                                                                               
CO,8059,198145,Jefferson County,1979762077,25052756,764.39,9.673,39.579511,-105.245462                                                                                                               
CO,8061,198146,Kiowa County,4578603586,47032918,1767.809,18.16,38.387663,-102.756849                                                                                                                 
CO,8063,198147,Kit Carson County,5596501952,2251929,2160.822,0.869,39.30534,-102.603023                                                                                                              
CO,8065,198149,Lake County,976215866,18111565,376.919,6.993,39.205341,-106.350079                                                                                                                    
CO,8067,198148,La Plata County,4376255274,25642579,1689.682,9.901,37.287367,-107.839718                                                                                                              
CO,8069,198150,Larimer County,6722949995,99048648,2595.746,38.243,40.658093,-105.486764                                                                                                              
CO,8071,198151,Las Animas County,12361852647,6929970,4772.938,2.676,37.318831,-104.04411                                                                                                             
CO,8073,198152,Lincoln County,6676289549,22780358,2577.73,8.796,38.99374,-103.507555                                                                                                                 
CO,8075,198153,Logan County,4761949508,16363553,1838.599,6.318,40.728091,-103.090464                                                                                                                 
CO,8077,198154,Mesa County,8621348062,31991711,3328.721,12.352,39.019524,-108.460571                                                                                                                 
CO,8079,198155,Mineral County,2268209076,5222161,875.76,2.016,37.549069,-107.003235                                                                                                                  
CO,8081,198156,Moffat County,12284943817,19803411,4743.244,7.646,40.610864,-108.217154                                                                                                               
CO,8083,198157,Montezuma County,5255990057,27208195,2029.349,10.505,37.338025,-108.595786                                                                                                            
CO,8085,198158,Montrose County,5804023563,4923260,2240.946,1.901,38.407507,-108.266282                                                                                                               
CO,8087,198159,Morgan County,3316441487,34663098,1280.485,13.383,40.263159,-103.81221                                                                                                                
CO,8089,198160,Otero County,3268424309,20092555,1261.946,7.758,37.88417,-103.72126                                                                                                                   
CO,8091,198161,Ouray County,1400332624,3986292,540.671,1.539,38.154731,-107.78848                                                                                                                    
CO,8093,198162,Park County,5681165601,43519329,2193.51,16.803,39.118914,-105.717648                                                                                                                  
CO,8095,198163,Phillips County,1781724975,301808,687.928,0.117,40.594712,-102.345105                                                                                                                 
CO,8097,198164,Pitkin County,2514104901,6472577,970.701,2.499,39.217541,-106.916162                                                                                                                  
CO,8099,198165,Prowers County,4243454844,15319854,1638.407,5.915,37.958443,-102.391754                                                                                                               
CO,8101,198166,Pueblo County,6181242834,28941249,2386.591,11.174,38.162765,-104.484668                                                                                                               
CO,8103,198167,Rio Blanco County,8342275013,4868111,3220.971,1.88,39.972622,-108.200716                                                                                                              
CO,8105,198168,Rio Grande County,2361956084,984295,911.956,0.38,37.485853,-106.453128                                                                                                                
CO,8107,198169,Routt County,6117602805,15831744,2362.02,6.113,40.483664,-106.987702                                                                                                                  
CO,8109,198170,Saguache County,8206547700,4454510,3168.566,1.72,38.031651,-106.234666                                                                                                                
CO,8111,198171,San Juan County,1003660671,2035929,387.516,0.786,37.781049,-107.670257                                                                                                                
CO,8113,198172,San Miguel County,3332602595,5207582,1286.725,2.011,38.009319,-108.427263                                                                                                             
CO,8115,198173,Sedgwick County,1419419024,3530746,548.041,1.363,40.871568,-102.355358                                                                                                                
CO,8117,198174,Summit County,1575563219,28310936,608.328,10.931,39.621023,-106.137555                                                                                                                
CO,8119,198175,Teller County,1442988174,4960197,557.141,1.915,38.869976,-105.187365                                                                                                                  
CO,8121,198176,Washington County,6521806797,15207397,2518.084,5.872,39.96579,-103.209744                                                                                                             
CO,8123,198177,Weld County,10320992775,82329831,3984.958,31.788,40.555961,-104.383666                                                                                                                
CO,8125,198178,Yuma County,6123764029,11134195,2364.399,4.299,40.00077,-102.421649                                                                                                                   
