USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
GA,13001,349113,Appling County,1316393793,10357488,508.263,3.999,31.739726,-82.290102                                                                                                                 
GA,13003,345784,Atkinson County,887642157,4696298,342.721,1.813,31.296806,-82.878151                                                                                                                  
GA,13005,344784,Bacon County,735776107,4500418,284.085,1.738,31.55021,-82.451433                                                                                                                      
GA,13007,342832,Baker County,885665382,18598653,341.957,7.181,31.31958,-84.454881                                                                                                                     
GA,13009,345255,Baldwin County,670028049,24803188,258.699,9.577,33.05949,-83.255457                                                                                                                   
GA,13011,349230,Banks County,602578150,4635946,232.657,1.79,34.351922,-83.498441                                                                                                                      
GA,13013,356976,Barrow County,417122366,4870098,161.052,1.88,33.992009,-83.712303                                                                                                                     
GA,13015,351604,Bartow County,1188576977,27365992,458.912,10.566,34.240917,-84.838188                                                                                                                 
GA,13017,351606,Ben Hill County,647802704,9813798,250.118,3.789,31.740772,-83.147197                                                                                                                  
GA,13019,326638,Berrien County,1174239572,11671125,453.376,4.506,31.288652,-83.22787                                                                                                                  
GA,13021,1672039,Bibb County,645898854,14304451,249.383,5.523,32.80899,-83.69406                                                                                                                       
GA,13023,347451,Bleckley County,559122131,8425411,215.878,3.253,32.435403,-83.331717                                                                                                                  
GA,13025,351605,Brantley County,1147972265,10291548,443.235,3.974,31.197334,-81.982978                                                                                                                
GA,13027,345518,Brooks County,1277341891,11955148,493.184,4.616,30.822934,-83.581905                                                                                                                  
GA,13029,350496,Bryan County,1133284239,43751265,437.564,16.892,32.017969,-81.438543                                                                                                                  
GA,13031,350302,Bulloch County,1750735216,32827781,675.963,12.675,32.394498,-81.741449                                                                                                                
GA,13033,347944,Burke County,2142029072,20565643,827.042,7.94,33.060181,-82.000164                                                                                                                    
GA,13035,352295,Butts County,475754795,11269640,183.69,4.351,33.290355,-83.958221                                                                                                                     
GA,13037,344074,Calhoun County,726191507,8271470,280.384,3.194,31.521279,-84.62629                                                                                                                    
GA,13039,1671316,Camden County,1632396445,392734814,630.272,151.636,30.913358,-81.642019                                                                                                               
GA,13043,342852,Candler County,629520842,15018189,243.059,5.799,32.40395,-82.071266                                                                                                                   
GA,13045,326650,Carroll County,1292705389,11882059,499.116,4.588,33.582237,-85.080527                                                                                                                 
GA,13047,353230,Catoosa County,419998917,771159,162.162,0.298,34.900212,-85.139385                                                                                                                    
GA,13049,357747,Charlton County,2020415649,5963237,780.087,2.302,30.779904,-82.139644                                                                                                                 
GA,13051,1694477,Chatham County,1120736307,510889307,432.719,197.255,31.980404,-81.085184                                                                                                              
GA,13053,351012,Chattahoochee County,644225832,6277089,248.737,2.424,32.347445,-84.788021                                                                                                             
GA,13055,352213,Chattooga County,811512397,570806,313.327,0.22,34.474178,-85.345289                                                                                                                   
GA,13057,1685718,Cherokee County,1090268755,34410017,420.955,13.286,34.244317,-84.475057                                                                                                               
GA,13059,1672699,Clarke County,308985565,4776726,119.3,1.844,33.952185,-83.367152                                                                                                                      
GA,13061,344805,Clay County,506093893,56546964,195.404,21.833,31.619831,-84.992583                                                                                                                    
GA,13063,1672399,Clayton County,367009134,6914194,141.703,2.67,33.552242,-84.412973                                                                                                                    
GA,13065,351285,Clinch County,2110841411,23291048,815.0,8.993,30.917653,-82.702614                                                                                                                     
GA,13067,1686112,Cobb County,879793162,12036674,339.69,4.647,33.939926,-84.57411                                                                                                                       
GA,13069,347456,Coffee County,1533916511,26939607,592.249,10.401,31.549245,-82.84494                                                                                                                  
GA,13071,343936,Colquitt County,1416897182,24791336,547.067,9.572,31.189707,-83.769773                                                                                                                
GA,13073,348865,Columbia County,751599702,45344735,290.194,17.508,33.552075,-82.249608                                                                                                                
GA,13075,343878,Cook County,591694198,12298660,228.454,4.749,31.152516,-83.429445                                                                                                                     
GA,13077,326666,Coweta County,1142174889,12675178,440.996,4.894,33.352897,-84.762138                                                                                                                  
