USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
IA,19001,465190,Adair County,1474404192,2597996,569.271,1.003,41.328528,-94.478164                                                                                                                    
IA,19003,465191,Adams County,1096686253,5367876,423.433,2.073,41.021656,-94.696906                                                                                                                    
IA,19005,465192,Allamakee County,1655186565,51091699,639.071,19.727,43.274964,-91.382751                                                                                                              
IA,19007,465193,Appanoose County,1287997907,49093607,497.299,18.955,40.744249,-92.873062                                                                                                              
IA,19009,465194,Audubon County,1147262317,1152260,442.96,0.445,41.679178,-94.904312                                                                                                                   
IA,19011,465195,Benton County,1854696282,5857896,716.102,2.262,42.092547,-92.05763                                                                                                                    
IA,19013,465196,Black Hawk County,1465346456,17885470,565.773,6.906,42.471132,-92.3076                                                                                                                
IA,19015,465197,Boone County,1477486976,8209423,570.461,3.17,42.038623,-93.938605                                                                                                                     
IA,19017,465198,Bremer County,1127886260,10165785,435.479,3.925,42.780895,-92.327356                                                                                                                  
IA,19019,465199,Buchanan County,1479101373,5208356,571.084,2.011,42.470328,-91.838666                                                                                                                 
IA,19021,465200,Buena Vista County,1488981877,13798140,574.899,5.327,42.741522,-95.141432                                                                                                             
IA,19023,465201,Butler County,1502550827,4194983,580.138,1.62,42.734757,-92.780153                                                                                                                    
IA,19025,465202,Calhoun County,1475894595,5873827,569.846,2.268,42.386061,-94.643602                                                                                                                  
IA,19027,465203,Carroll County,1474877202,2145349,569.453,0.828,42.039502,-94.86765                                                                                                                   
IA,19029,465204,Cass County,1461422459,1787165,564.258,0.69,41.333824,-94.933302                                                                                                                      
IA,19031,465205,Cedar County,1500798725,6385833,579.462,2.466,41.77236,-91.132611                                                                                                                     
IA,19033,465206,Cerro Gordo County,1471896012,17653603,568.302,6.816,43.074975,-93.250965                                                                                                             
IA,19035,465207,Cherokee County,1494181144,423160,576.907,0.163,42.742737,-95.633262                                                                                                                  
IA,19037,465208,Chickasaw County,1306192617,3455450,504.324,1.334,43.059741,-92.31721                                                                                                                 
IA,19039,465209,Clarke County,1116573608,1524746,431.111,0.589,41.029726,-93.785259                                                                                                                   
IA,19041,465625,Clay County,1469139451,13866670,567.238,5.354,43.081224,-95.149875                                                                                                                    
IA,19043,465210,Clayton County,2016211326,36692127,778.464,14.167,42.840985,-91.323576                                                                                                                
IA,19045,465211,Clinton County,1799934701,39410955,694.959,15.217,41.898073,-90.534243                                                                                                                
IA,19047,465212,Crawford County,1849765408,2171717,714.198,0.839,42.043119,-95.38909                                                                                                                  
IA,19049,465213,Dallas County,1523509016,8742498,588.23,3.375,41.68532,-94.040706                                                                                                                     
IA,19051,465214,Davis County,1300661921,6904087,502.188,2.666,40.748089,-92.410345                                                                                                                    
IA,19053,465215,Decatur County,1377569409,4138626,531.883,1.598,40.736379,-93.78458                                                                                                                   
IA,19055,465216,Delaware County,1496193387,3185375,577.684,1.23,42.473014,-91.366767                                                                                                                  
IA,19057,465217,Des Moines County,1077769228,35341938,416.129,13.646,40.915339,-91.186925                                                                                                             
IA,19059,465218,Dickinson County,985574543,60680641,380.532,23.429,43.389611,-95.196057                                                                                                               
IA,19061,465219,Dubuque County,1575486018,21140740,608.299,8.162,42.463481,-90.878771                                                                                                                 
IA,19063,465220,Emmet County,1025349324,17175565,395.89,6.632,43.377984,-94.66937                                                                                                                     
IA,19065,465221,Fayette County,1892806759,1354955,730.817,0.523,42.864122,-91.840376                                                                                                                  
IA,19067,465222,Floyd County,1296471925,2023929,500.571,0.781,43.052741,-92.787367                                                                                                                    
IA,19069,465223,Franklin County,1507300416,1438346,581.972,0.555,42.736545,-93.271415                                                                                                                 
IA,19071,465224,Fremont County,1323918213,14168938,511.168,5.471,40.74259,-95.599182                                                                                                                  
IA,19073,465225,Greene County,1475148025,4404193,569.558,1.7,42.042513,-94.388727                                                                                                                     
IA,19075,465226,Grundy County,1299799697,92512,501.855,0.036,42.403339,-92.790244                                                                                                                     
IA,19077,465227,Guthrie County,1529683429,6328832,590.614,2.444,41.683573,-94.501272                                                                                                                  
IA,19079,465228,Hamilton County,1493725532,1956182,576.731,0.755,42.390789,-93.70913                                                                                                                  
IA,19081,465229,Hancock County,1478895050,5265568,571.005,2.033,43.075411,-93.743697                                                                                                                  
IA,19083,465230,Hardin County,1474498037,1783759,569.307,0.689,42.390208,-93.241669                                                                                                                   
IA,19085,465231,Harrison County,1804896268,12325505,696.874,4.759,41.688584,-95.827149                                                                                                                
IA,19087,465232,Henry County,1124800193,5774825,434.288,2.23,40.984802,-91.547259                                                                                                                     
IA,19089,465233,Howard County,1225702820,931480,473.247,0.36,43.365312,-92.321908                                                                                                                     
IA,19091,465234,Humboldt County,1125017996,3373409,434.372,1.302,42.782221,-94.202775                                                                                                                 
IA,19093,465235,Ida County,1117614341,1391966,431.513,0.537,42.39186,-95.507421                                                                                                                       
IA,19095,465236,Iowa County,1518911686,2686847,586.455,1.037,41.683918,-92.059123                                                                                                                     
IA,19097,465237,Jackson County,1647354221,35119763,636.047,13.56,42.164226,-90.574582                                                                                                                 
IA,19099,465238,Jasper County,1891800885,6538381,730.428,2.524,41.685551,-93.054147                                                                                                                   
IA,19101,465239,Jefferson County,1128002441,3522238,435.524,1.36,41.006376,-91.966628                                                                                                                 
IA,19103,465240,Johnson County,1587655791,26070847,612.997,10.066,41.670668,-91.590529                                                                                                                
IA,19105,465241,Jones County,1490844763,3782491,575.618,1.46,42.125118,-91.116914                                                                                                                     
IA,19107,465242,Keokuk County,1500056810,1944064,579.175,0.751,41.331182,-92.167721                                                                                                                   
IA,19109,465243,Kossuth County,2519371247,4116153,972.735,1.589,43.212336,-94.213971                                                                                                                  
IA,19111,465244,Lee County,1340448555,55266763,517.55,21.339,40.647588,-91.477157                                                                                                                     
IA,19113,465245,Linn County,1857054769,19828878,717.013,7.656,42.077951,-91.597674                                                                                                                    
IA,19115,465246,Louisa County,1040596812,40784321,401.777,15.747,41.218211,-91.256994                                                                                                                 
IA,19117,465247,Lucas County,1115458270,9852845,430.681,3.804,41.033321,-93.331462                                                                                                                    
IA,19119,465248,Lyon County,1521901260,440273,587.609,0.17,43.38358,-96.207201                                                                                                                        
IA,19121,465249,Madison County,1452999049,2983840,561.006,1.152,41.330622,-94.015184                                                                                                                  
IA,19123,465250,Mahaska County,1478496996,6594320,570.851,2.546,41.330797,-92.636366                                                                                                                  
IA,19125,465251,Marion County,1436123089,41484609,554.49,16.017,41.331433,-93.093868                                                                                                                  
IA,19127,465252,Marshall County,1482776070,1803080,572.503,0.696,42.0417,-92.981403                                                                                                                   
IA,19129,465253,Mills County,1132940501,8319851,437.431,3.212,41.033703,-95.619101                                                                                                                    
IA,19131,465254,Mitchell County,1215368227,1118491,469.256,0.432,43.348564,-92.784466                                                                                                                 
IA,19133,465255,Monona County,1797639078,12591063,694.072,4.861,42.049432,-95.956566                                                                                                                  
IA,19135,465256,Monroe County,1123299098,1522790,433.708,0.588,41.028847,-92.869642                                                                                                                   
IA,19137,465257,Montgomery County,1098405766,2410446,424.097,0.931,41.021735,-95.15779                                                                                                                
IA,19139,465258,Muscatine County,1132964467,30262337,437.44,11.684,41.483776,-91.118699                                                                                                               
IA,19141,465259,O'Brien County,1484153947,447448,573.035,0.173,43.083746,-95.625624                                                                                                                   
IA,19143,465260,Osceola County,1032593808,1835263,398.687,0.709,43.378542,-95.633788                                                                                                                  
IA,19145,465261,Page County,1385497642,1359014,534.944,0.525,40.739097,-95.144301                                                                                                                     
IA,19147,465262,Palo Alto County,1460400552,14428727,563.864,5.571,43.075337,-94.669055                                                                                                               
IA,19149,465263,Plymouth County,2234715261,2176851,862.828,0.84,42.737615,-96.215973                                                                                                                  
IA,19151,465264,Pocahontas County,1495047202,3666528,577.241,1.416,42.734033,-94.678279                                                                                                               
IA,19153,465265,Polk County,1483337993,49645909,572.72,19.168,41.684816,-93.568971                                                                                                                    
IA,19155,465266,Pottawattamie County,2463787905,20381963,951.274,7.87,41.340184,-95.544905                                                                                                            
IA,19157,465267,Poweshiek County,1514966025,2939275,584.932,1.135,41.684642,-92.522934                                                                                                                
IA,19159,465268,Ringgold County,1386922818,8732661,535.494,3.372,40.735334,-94.244251                                                                                                                 
IA,19161,465269,Sac County,1489300198,8569434,575.022,3.309,42.387526,-95.105224                                                                                                                      
IA,19163,465270,Scott County,1186475531,26184354,458.101,10.11,41.642079,-90.622289                                                                                                                   
IA,19165,465271,Shelby County,1530103545,1486125,590.776,0.574,41.679014,-95.308917                                                                                                                   
IA,19167,465272,Sioux County,1988881470,2802041,767.911,1.082,43.082618,-96.17798                                                                                                                     
IA,19169,465273,Story County,1482882548,2862354,572.544,1.105,42.037538,-93.466093                                                                                                                    
IA,19171,465274,Tama County,1867410504,2769418,721.011,1.069,42.074848,-92.529411                                                                                                                     
IA,19173,465275,Taylor County,1377618878,7133363,531.902,2.754,40.737949,-94.697108                                                                                                                   
IA,19175,465276,Union County,1097235795,5575854,423.645,2.153,41.02855,-94.245091                                                                                                                     
IA,19177,465277,Van Buren County,1255605675,14880499,484.792,5.745,40.754117,-91.952943                                                                                                               
IA,19179,465278,Wapello County,1118466903,10822776,431.843,4.179,41.031275,-92.409466                                                                                                                 
IA,19181,465279,Warren County,1475407675,8645791,569.658,3.338,41.332446,-93.568751                                                                                                                   
IA,19183,465280,Washington County,1473258532,5339036,568.828,2.061,41.329401,-91.725052                                                                                                               
IA,19185,465281,Wayne County,1360957547,4272457,525.469,1.65,40.739983,-93.332613                                                                                                                     
IA,19187,465282,Webster County,1853665901,7269394,715.704,2.807,42.433579,-94.175831                                                                                                                  
IA,19189,465283,Winnebago County,1037261954,3182049,400.489,1.229,43.378124,-93.743488                                                                                                                
IA,19191,465284,Winneshiek County,1786686738,745729,689.844,0.288,43.292989,-91.850788                                                                                                                
IA,19193,465285,Woodbury County,2260790940,12793662,872.896,4.94,42.39322,-96.053296                                                                                                                  
IA,19195,465286,Worth County,1036314934,4709127,400.123,1.818,43.373491,-93.248533                                                                                                                    
IA,19197,465287,Wright County,1503260264,4703964,580.412,1.816,42.733007,-93.734735                                                                                                                   
