USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
ID,16001,395066,Ada County,2725231822,22121873,1052.218,8.541,43.451476,-116.244376                                                                                                                   
ID,16003,395067,Adams County,3529648937,17359845,1362.805,6.703,44.876955,-116.461614                                                                                                                 
ID,16005,395091,Bannock County,2881332843,92079664,1112.489,35.552,42.692921,-112.228982                                                                                                              
ID,16007,395090,Bear Lake County,2527123156,191364281,975.728,73.886,42.285892,-111.327517                                                                                                            
ID,16009,395190,Benewah County,2012242914,18803193,776.931,7.26,47.218451,-116.633541                                                                                                                 
ID,16011,400593,Bingham County,5422741966,68632371,2093.732,26.499,43.216357,-112.399206                                                                                                              
ID,16013,395696,Blaine County,6831709432,44656834,2637.738,17.242,43.394192,-113.955371                                                                                                               
ID,16015,395157,Boise County,4919339891,19101504,1899.368,7.375,43.987275,-115.71511                                                                                                                  
ID,16017,395158,Bonner County,4489041236,478899611,1733.229,184.904,48.324634,-116.62745                                                                                                              
ID,16019,395407,Bonneville County,4832814957,88912977,1865.96,34.329,43.395171,-111.621878                                                                                                            
ID,16021,395159,Boundary County,3285862966,24278846,1268.679,9.374,48.773131,-116.524668                                                                                                              
ID,16023,401703,Butte County,5792474009,5259978,2236.487,2.031,43.685101,-113.177631                                                                                                                  
ID,16025,399408,Camas County,2782253887,11548054,1074.234,4.459,43.502552,-114.772135                                                                                                                 
ID,16027,399406,Canyon County,1520450104,43119207,587.049,16.648,43.625795,-116.709058                                                                                                                
ID,16029,395406,Caribou County,4569240774,89216879,1764.194,34.447,42.786072,-111.544273                                                                                                              
ID,16031,395698,Cassia County,6644897865,39158549,2565.61,15.119,42.282313,-113.626328                                                                                                                
ID,16033,399755,Clark County,4566524479,2476453,1763.145,0.956,44.290218,-112.354613                                                                                                                  
ID,16035,395697,Clearwater County,6364412860,79592497,2457.314,30.731,46.67257,-115.6535                                                                                                              
ID,16037,399758,Custer County,12748378762,42527190,4922.177,16.42,44.273351,-114.252267                                                                                                               
ID,16039,400252,Elmore County,7964417378,68330393,3075.079,26.383,43.394698,-115.471205                                                                                                               
ID,16041,395585,Franklin County,1717211138,12153472,663.019,4.692,42.173609,-111.822965                                                                                                               
ID,16043,395408,Fremont County,4827633109,83440653,1863.96,32.217,44.218091,-111.484429                                                                                                               
ID,16045,395442,Gem County,1449806864,12481361,559.774,4.819,44.061473,-116.398784                                                                                                                    
ID,16047,395441,Gooding County,1888935793,12469476,729.322,4.814,42.973185,-114.82142                                                                                                                 
ID,16049,395699,Idaho County,21956620663,67532942,8477.499,26.075,45.849644,-115.467337                                                                                                               
ID,16051,399751,Jefferson County,2832619467,31166194,1093.681,12.033,43.796965,-112.318588                                                                                                            
ID,16053,395662,Jerome County,1547629732,12908802,597.543,4.984,42.691395,-114.262086                                                                                                                 
ID,16055,395661,Kootenai County,3205836476,184444918,1237.78,71.215,47.675957,-116.695919                                                                                                             
ID,16057,395613,Latah County,2786483033,2369979,1075.867,0.915,46.81892,-116.730974                                                                                                                   
ID,16059,399754,Lemhi County,11819914567,14105634,4563.695,5.446,44.928506,-113.887042                                                                                                                
ID,16061,395622,Lewis County,1240141962,2340247,478.822,0.904,46.236328,-116.42376                                                                                                                    
ID,16063,395624,Lincoln County,3111517506,11588561,1201.364,4.474,42.990782,-114.153089                                                                                                               
ID,16065,394803,Madison County,1215396274,10500950,469.267,4.054,43.788614,-111.656993                                                                                                                
ID,16067,394807,Minidoka County,1961208116,13330815,757.227,5.147,42.857211,-113.63984                                                                                                                
ID,16069,399394,Nez Perce County,2197139833,21252879,848.32,8.206,46.333791,-116.760909                                                                                                               
ID,16071,399759,Oneida County,3105269247,3995240,1198.951,1.543,42.183895,-112.520449                                                                                                                 
ID,16073,399760,Owyhee County,19860555061,74132051,7668.204,28.623,42.572851,-116.18969                                                                                                               
ID,16075,394896,Payette County,1053814731,8906669,406.88,3.439,44.00243,-116.750238                                                                                                                   
ID,16077,394951,Power County,3635892403,99205466,1403.826,38.303,42.694126,-112.844407                                                                                                                
ID,16079,1702379,Shoshone County,6830898575,13962457,2637.425,5.391,47.347694,-115.885092                                                                                                              
ID,16081,399297,Teton County,1163139977,2868473,449.091,1.108,43.760994,-111.211765                                                                                                                   
ID,16083,399334,Twin Falls County,4977216106,18060783,1921.714,6.973,42.352309,-114.665639                                                                                                            
ID,16085,399756,Valley County,9492613290,177110435,3665.119,68.383,44.85596,-115.618061                                                                                                               
ID,16087,399757,Washington County,3762870361,53228011,1452.852,20.551,44.448223,-116.797792                                                                                                           
