USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
IL,17001,424202,Adams County,2214831297,41749180,855.151,16.119,39.986052,-91.194961                                                                                                                  
IL,17003,424203,Alexander County,609667767,44639203,235.394,17.235,37.183658,-89.349516                                                                                                               
IL,17005,424204,Bond County,985066646,6462629,380.336,2.495,38.885924,-89.436592                                                                                                                      
IL,17007,424205,Boone County,727137089,3338156,280.749,1.289,42.318983,-88.824295                                                                                                                     
IL,17009,424206,Brown County,791828625,4144346,305.727,1.6,39.962069,-90.750309                                                                                                                       
IL,17011,424207,Bureau County,2250884560,11523903,869.071,4.449,41.401304,-89.528377                                                                                                                  
IL,17013,424208,Calhoun County,657415184,77051402,253.829,29.75,39.164262,-90.666295                                                                                                                  
IL,17015,424209,Carroll County,1153597400,55881822,445.406,21.576,42.0709,-89.924189                                                                                                                  
IL,17017,424210,Cass County,973198195,20569928,375.754,7.942,39.969202,-90.245704                                                                                                                     
IL,17019,424211,Champaign County,2579898012,6110542,996.104,2.359,40.138985,-88.196975                                                                                                                
IL,17021,424212,Christian County,1837552894,16227346,709.483,6.265,39.545524,-89.279593                                                                                                               
IL,17023,424213,Clark County,1298594815,8731439,501.39,3.371,39.332334,-87.791683                                                                                                                     
IL,17025,424214,Clay County,1213023041,3064499,468.351,1.183,38.746819,-88.482325                                                                                                                     
IL,17027,424215,Clinton County,1227502158,75634262,473.941,29.203,38.606295,-89.426228                                                                                                                
IL,17029,424216,Coles County,1316418029,4650073,508.272,1.795,39.51368,-88.220782                                                                                                                     
IL,17031,1784766,Cook County,2447340897,1786343601,944.924,689.711,41.894294,-87.645455                                                                                                                
IL,17033,424218,Crawford County,1149031260,5744821,443.643,2.218,39.002787,-87.760619                                                                                                                 
IL,17035,424219,Cumberland County,895989980,2538006,345.944,0.98,39.273121,-88.240619                                                                                                                 
IL,17037,422190,DeKalb County,1635155501,8560431,631.337,3.305,41.894612,-88.768991                                                                                                                   
IL,17039,426598,De Witt County,1029678324,19492326,397.561,7.526,40.181499,-88.901853                                                                                                                 
IL,17041,424222,Douglas County,1079117765,1441160,416.65,0.556,39.766078,-88.222866                                                                                                                   
IL,17043,422191,DuPage County,849119520,22123209,327.847,8.542,41.852058,-88.086039                                                                                                                   
IL,17045,424224,Edgar County,1614400671,1565052,623.324,0.604,39.679037,-87.74711                                                                                                                     
IL,17047,424225,Edwards County,576012470,781202,222.4,0.302,38.417095,-88.047941                                                                                                                      
IL,17049,424226,Effingham County,1240005912,3174585,478.769,1.226,39.047945,-88.592849                                                                                                                
