USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
IN,18001,450401,Adams County,877812924,2693850,338.925,1.04,40.74573,-84.936134                                                                                                                       
IN,18003,450402,Allen County,1702000549,7347952,657.146,2.837,41.091909,-85.071791                                                                                                                    
IN,18005,451683,Bartholomew County,1053968865,6715105,406.94,2.593,39.205843,-85.897999                                                                                                               
IN,18007,450403,Benton County,1052616459,236033,406.418,0.091,40.600939,-87.314786                                                                                                                    
IN,18009,450404,Blackford County,427559406,1298757,165.082,0.501,40.472672,-85.32373                                                                                                                  
IN,18011,450405,Boone County,1095260018,876741,422.882,0.339,40.050892,-86.469014                                                                                                                     
IN,18013,451684,Brown County,808043847,12025990,311.987,4.643,39.195113,-86.230121                                                                                                                    
IN,18015,450406,Carroll County,964057411,7236323,372.225,2.794,40.58498,-86.565141                                                                                                                    
IN,18017,450339,Cass County,1067448399,7002034,412.144,2.704,40.753799,-86.355168                                                                                                                     
IN,18019,450340,Clark County,964737729,10702951,372.487,4.132,38.476217,-85.711122                                                                                                                    
IN,18021,450341,Clay County,926180651,7047383,357.6,2.721,39.393928,-87.115858                                                                                                                        
IN,18023,450342,Clinton County,1049119187,461117,405.067,0.178,40.305944,-86.477567                                                                                                                   
IN,18025,451674,Crawford County,791534795,8201106,305.613,3.166,38.289433,-86.440871                                                                                                                  
IN,18027,450343,Daviess County,1112436829,19061974,429.514,7.36,38.69609,-87.076943                                                                                                                   
IN,18029,450344,Dearborn County,790171255,6019020,305.087,2.324,39.140897,-84.975868                                                                                                                  
IN,18031,450345,Decatur County,964946131,1955432,372.568,0.755,39.30598,-85.499831                                                                                                                    
IN,18033,450346,DeKalb County,939735804,2657419,362.834,1.026,41.39676,-85.002697                                                                                                                     
IN,18035,450347,Delaware County,1015558818,9841207,392.109,3.8,40.227543,-85.399262                                                                                                                   
IN,18037,451675,Dubois County,1106616363,20892924,427.267,8.067,38.373344,-86.873385                                                                                                                  
IN,18039,450348,Elkhart County,1199573658,12464379,463.158,4.813,41.600693,-85.863986                                                                                                                 
IN,18041,450349,Fayette County,556901575,366408,215.021,0.141,39.639654,-85.185034                                                                                                                    
IN,18043,450350,Floyd County,384577983,2669695,148.486,1.031,38.318081,-85.911847                                                                                                                     
IN,18045,450351,Fountain County,1024774339,5728993,395.668,2.212,40.121237,-87.234872                                                                                                                 
IN,18047,450352,Franklin County,995659495,17154637,384.426,6.623,39.409762,-85.066964                                                                                                                 
IN,18049,450353,Fulton County,954133332,7439345,368.393,2.872,41.050384,-86.265006                                                                                                                    
IN,18051,450354,Gibson County,1262302952,30891646,487.378,11.927,38.317398,-87.580523                                                                                                                 
IN,18053,450355,Grant County,1072484434,2101803,414.089,0.812,40.515758,-85.654946                                                                                                                    
IN,18055,451676,Greene County,1404983932,8919619,542.467,3.444,39.047147,-87.004771                                                                                                                   
IN,18057,450356,Hamilton County,1021459909,20924258,394.388,8.079,40.053513,-86.021709                                                                                                                
IN,18059,450357,Hancock County,792425271,2769690,305.957,1.069,39.822529,-85.77315                                                                                                                    
IN,18061,451677,Harrison County,1253763067,5276999,484.081,2.037,38.186454,-86.103766                                                                                                                 
IN,18063,450358,Hendricks County,1053849472,4880745,406.894,1.884,39.768963,-86.509908                                                                                                                
IN,18065,450359,Henry County,1014957930,7652084,391.877,2.954,39.929591,-85.397363                                                                                                                    
IN,18067,450360,Howard County,759058623,2194576,293.074,0.847,40.483537,-86.114118                                                                                                                    
IN,18069,450361,Huntington County,991031149,13127296,382.639,5.068,40.826394,-85.478597                                                                                                               
IN,18071,451678,Jackson County,1320837986,10172528,509.978,3.928,38.911957,-86.042516                                                                                                                 
IN,18073,450494,Jasper County,1449563753,4428654,559.68,1.71,41.017688,-87.118814                                                                                                                     
IN,18075,450362,Jay County,994310124,458556,383.905,0.177,40.434956,-85.002331                                                                                                                        
IN,18077,450363,Jefferson County,934205477,5991420,360.699,2.313,38.783604,-85.44009                                                                                                                  
IN,18079,450364,Jennings County,975382327,4528274,376.597,1.748,38.996229,-85.628103                                                                                                                  
IN,18081,450365,Johnson County,829871094,3563561,320.415,1.376,39.496092,-86.094264                                                                                                                   
IN,18083,450366,Knox County,1335995220,20908206,515.831,8.073,38.688381,-87.420358                                                                                                                    
IN,18085,450367,Kosciusko County,1376439341,59432000,531.446,22.947,41.244293,-85.861575                                                                                                              
IN,18087,450368,LaGrange County,983242853,18311996,379.632,7.07,41.642462,-85.427845                                                                                                                  
IN,18089,450495,Lake County,1292117897,330842544,498.89,127.739,41.472247,-87.374337                                                                                                                  
IN,18091,450507,LaPorte County,1549559364,38775325,598.288,14.971,41.549013,-86.744739                                                                                                                
IN,18093,451703,Lawrence County,1163282516,7207557,449.146,2.783,38.839815,-86.48782                                                                                                                  
IN,18095,450370,Madison County,1170470094,2546828,451.921,0.983,40.166203,-85.722454                                                                                                                  
IN,18097,450371,Marion County,1025624693,18162959,395.996,7.013,39.782976,-86.135794                                                                                                                  
IN,18099,450372,Marshall County,1148964732,15863826,443.618,6.125,41.325003,-86.269036                                                                                                                
IN,18101,451679,Martin County,869615719,12033245,335.761,4.646,38.705322,-86.801847                                                                                                                   
IN,18103,450373,Miami County,968246955,9184623,373.842,3.546,40.772883,-86.044258                                                                                                                     
IN,18105,451680,Monroe County,1021809763,43507762,394.523,16.798,39.160729,-86.52331                                                                                                                  
IN,18107,450374,Montgomery County,1307042310,2055936,504.652,0.794,40.040296,-86.892715                                                                                                               
IN,18109,450375,Morgan County,1045917300,14497513,403.831,5.598,39.482646,-86.447457                                                                                                                  
IN,18111,450376,Newton County,1040539826,4349506,401.755,1.679,40.962399,-87.402172                                                                                                                   
IN,18113,450377,Noble County,1064077378,17068591,410.843,6.59,41.404679,-85.417271                                                                                                                    
IN,18115,450378,Ohio County,223126824,3369528,86.15,1.301,38.940527,-84.964299                                                                                                                        
IN,18117,451681,Orange County,1031795759,25416478,398.379,9.813,38.547381,-86.489257                                                                                                                  
IN,18119,450379,Owen County,997909064,6568942,385.295,2.536,39.317339,-86.838845                                                                                                                      
IN,18121,450380,Parke County,1151832460,13645018,444.725,5.268,39.77425,-87.19695                                                                                                                     
IN,18123,451682,Perry County,988702372,11837413,381.74,4.57,38.081436,-86.62654                                                                                                                       
IN,18125,450381,Pike County,865964081,17466144,334.351,6.744,38.397961,-87.232547                                                                                                                     
