USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
KS,20001,484970,Allen County,1295764235,13021929,500.297,5.028,37.884228,-95.300945                                                                                                                   
KS,20003,484971,Anderson County,1501263984,10599676,579.641,4.093,38.215114,-95.292046                                                                                                                
KS,20005,484972,Atchison County,1116736556,6851102,431.174,2.645,39.532544,-95.313397                                                                                                                 
KS,20007,484973,Barber County,2937240775,5411508,1134.075,2.089,37.222906,-98.685052                                                                                                                  
KS,20009,484974,Barton County,2318705430,13926862,895.257,5.377,38.481239,-98.767837                                                                                                                  
KS,20011,484975,Bourbon County,1645836648,9402853,635.461,3.63,37.8561,-94.850928                                                                                                                     
KS,20013,484976,Brown County,1478550074,3196147,570.871,1.234,39.825931,-95.569905                                                                                                                    
KS,20015,484977,Butler County,3702946850,43541352,1429.716,16.811,37.773649,-96.83884                                                                                                                 
KS,20017,484978,Chase County,2002198770,12091093,773.053,4.668,38.299475,-96.594029                                                                                                                   
KS,20019,484979,Chautauqua County,1654694134,15243776,638.881,5.886,37.154259,-96.245396                                                                                                              
KS,20021,484980,Cherokee County,1521791033,8951464,587.567,3.456,37.169392,-94.845698                                                                                                                 
KS,20023,484981,Cheyenne County,2641501923,2738021,1019.89,1.057,39.789901,-101.727317                                                                                                                
KS,20025,484982,Clark County,2524300307,6603384,974.638,2.55,37.233831,-99.813869                                                                                                                     
KS,20027,484983,Clay County,1671314414,26701336,645.298,10.309,39.344964,-97.168853                                                                                                                   
KS,20029,484984,Cloud County,1852726653,6859888,715.342,2.649,39.487329,-97.64139                                                                                                                     
KS,20031,484985,Coffey County,1623623909,70470788,626.885,27.209,38.23645,-95.729137                                                                                                                  
KS,20033,484986,Comanche County,2041681087,3604155,788.298,1.392,37.181442,-99.251293                                                                                                                 
KS,20035,484987,Cowley County,2915648172,17322934,1125.738,6.688,37.234507,-96.837247                                                                                                                 
KS,20037,484988,Crawford County,1527499260,13573629,589.771,5.241,37.505821,-94.853897                                                                                                                
KS,20039,484989,Decatur County,2314199317,1631670,893.517,0.63,39.783542,-100.459708                                                                                                                  
KS,20041,484990,Dickinson County,2193895358,12632458,847.068,4.877,38.867735,-97.157943                                                                                                               
KS,20043,484991,Doniphan County,1019096302,12433564,393.475,4.801,39.788502,-95.147225                                                                                                                
KS,20045,484992,Douglas County,1180423633,48879513,455.764,18.872,38.896417,-95.290947                                                                                                                
KS,20047,484993,Edwards County,1610699241,206413,621.894,0.08,37.883595,-99.304746                                                                                                                    
KS,20049,484994,Elk County,1668637027,16060833,644.264,6.201,37.456026,-96.244642                                                                                                                     
KS,20051,484995,Ellis County,2330818743,1140645,899.934,0.44,38.914597,-99.317313                                                                                                                     
KS,20053,484996,Ellsworth County,1853331065,19969761,715.575,7.71,38.700845,-98.205355                                                                                                                
KS,20055,485326,Finney County,3372157850,1716371,1301.997,0.663,38.049808,-100.739967                                                                                                                 
KS,20057,484997,Ford County,2844508251,2097356,1098.271,0.81,37.68851,-99.884743                                                                                                                      
KS,20059,484998,Franklin County,1480882201,13893465,571.772,5.364,38.558019,-95.278962                                                                                                                
KS,20061,484999,Geary County,996243011,51658044,384.652,19.945,39.002139,-96.7681                                                                                                                     
KS,20063,485000,Gove County,2775601941,245369,1071.666,0.095,38.917239,-100.48736                                                                                                                     
KS,20065,481811,Graham County,2327173853,599356,898.527,0.231,39.354972,-99.879894                                                                                                                    
KS,20067,485099,Grant County,1488745953,871232,574.808,0.336,37.547537,-101.299362                                                                                                                    
KS,20069,485001,Gray County,2250356171,1113338,868.867,0.43,37.744513,-100.451716                                                                                                                     
KS,20071,485002,Greeley County,2016057909,0,778.404,0.0,38.480404,-101.80597                                                                                                                           
KS,20073,485003,Greenwood County,2961143637,24145021,1143.304,9.322,37.879347,-96.241732                                                                                                              
KS,20075,485327,Hamilton County,2580958336,2893322,996.514,1.117,37.995244,-101.793689                                                                                                                
KS,20077,485004,Harper County,2075290349,3899269,801.274,1.506,37.188184,-98.06659                                                                                                                    
KS,20079,485005,Harvey County,1397961185,2503283,539.756,0.967,38.050144,-97.436706                                                                                                                   
KS,20081,485328,Haskell County,1495772621,910409,577.521,0.352,37.554979,-100.879952                                                                                                                  
KS,20083,485006,Hodgeman County,2227369152,826344,859.992,0.319,38.087493,-99.898407                                                                                                                  
KS,20085,485007,Jackson County,1699600348,4666513,656.219,1.802,39.411096,-95.794492                                                                                                                  
KS,20087,485008,Jefferson County,1379494404,62293259,532.626,24.052,39.239644,-95.375314                                                                                                              
KS,20089,485009,Jewell County,2356813566,11367164,909.971,4.389,39.777005,-98.222619                                                                                                                  
KS,20091,485010,Johnson County,1226670341,16328380,473.62,6.304,38.883907,-94.82233                                                                                                                   
KS,20093,485011,Kearny County,2254696659,1133601,870.543,0.438,37.994461,-101.308136                                                                                                                  
KS,20095,485012,Kingman County,2236245123,8391920,863.419,3.24,37.552951,-98.144529                                                                                                                   
KS,20097,485013,Kiowa County,1871627808,596764,722.64,0.23,37.561231,-99.286539                                                                                                                       
KS,20099,485014,Labette County,1671559662,20007244,645.393,7.725,37.191468,-95.297473                                                                                                                 
KS,20101,485015,Lane County,1858080223,551220,717.409,0.213,38.481286,-100.466185                                                                                                                     
KS,20103,485016,Leavenworth County,1200222434,14334525,463.408,5.535,39.189511,-95.038977                                                                                                             
KS,20105,485017,Lincoln County,1863236817,2748359,719.4,1.061,39.04728,-98.214284                                                                                                                     
KS,20107,485018,Linn County,1538662703,31893232,594.081,12.314,38.216549,-94.844932                                                                                                                   
KS,20109,485019,Logan County,2779039726,274632,1072.993,0.106,38.91327,-101.157402                                                                                                                    
KS,20111,485020,Lyon County,2194958224,20561828,847.478,7.939,38.455403,-96.161641                                                                                                                    
KS,20113,485021,McPherson County,2326547432,6003328,898.285,2.318,38.395812,-97.647489                                                                                                                
KS,20115,485022,Marion County,2445722725,24432825,944.299,9.434,38.359647,-97.102771                                                                                                                  
KS,20117,485023,Marshall County,2331450541,12735557,900.178,4.917,39.782709,-96.521243                                                                                                                
KS,20119,485024,Meade County,2533222406,3258258,978.083,1.258,37.243886,-100.360094                                                                                                                   
KS,20121,485025,Miami County,1491523015,37231299,575.88,14.375,38.566772,-94.832963                                                                                                                   
KS,20123,485026,Mitchell County,1817632931,44979980,701.792,17.367,39.393026,-98.207362                                                                                                               
KS,20125,485027,Montgomery County,1666900096,20430012,643.594,7.888,37.189537,-95.742403                                                                                                              
KS,20127,485028,Morris County,1800929252,19545268,695.343,7.546,38.688204,-96.651448                                                                                                                  
KS,20129,485135,Morton County,1889993632,507796,729.731,0.196,37.185249,-101.809516                                                                                                                   
KS,20131,485029,Nemaha County,1858128456,5204921,717.427,2.01,39.791043,-96.005381                                                                                                                    
KS,20133,485030,Neosho County,1480129690,16350961,571.481,6.313,37.564283,-95.315682                                                                                                                  
KS,20135,485031,Ness County,2783562239,667491,1074.739,0.258,38.480437,-99.908745                                                                                                                     
KS,20137,485032,Norton County,2274122718,8421464,878.044,3.252,39.783867,-99.899235                                                                                                                   
KS,20139,485033,Osage County,1827253333,37137002,705.506,14.339,38.650215,-95.708255                                                                                                                  
