USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
KY,21001,516847,Adair County,1049702547,18391917,405.292,7.101,37.105559,-85.28138                                                                                                                    
KY,21003,516848,Allen County,890240991,21079866,343.724,8.139,36.75077,-86.192458                                                                                                                     
KY,21005,516849,Anderson County,523850042,5244533,202.26,2.025,38.005396,-84.986417                                                                                                                   
KY,21007,516850,Ballard County,639972655,69636340,247.095,26.887,37.051323,-89.010367                                                                                                                 
KY,21009,516851,Barren County,1262269998,32723250,487.365,12.635,36.962805,-85.932108                                                                                                                 
KY,21011,516852,Bath County,719997080,15570646,277.992,6.012,38.152249,-83.737641                                                                                                                     
KY,21013,516853,Bell County,929803430,5484276,358.999,2.117,36.728928,-83.680718                                                                                                                      
KY,21015,516854,Boone County,637830300,26513521,246.268,10.237,38.9589,-84.736371                                                                                                                     
KY,21017,516855,Bourbon County,750448654,4820688,289.75,1.861,38.202562,-84.20986                                                                                                                     
KY,21019,516856,Boyd County,414051773,5571590,159.866,2.151,38.360003,-82.681406                                                                                                                      
KY,21021,516857,Boyle County,467067884,6486677,180.336,2.505,37.618104,-84.868352                                                                                                                     
KY,21023,516858,Bracken County,524900457,16279752,202.665,6.286,38.680365,-84.115235                                                                                                                  
KY,21025,516859,Breathitt County,1275366506,7370804,492.422,2.846,37.517807,-83.317158                                                                                                                
KY,21027,516860,Breckinridge County,1475580266,41098834,569.725,15.868,37.777988,-86.432919                                                                                                           
KY,21029,516861,Bullitt County,769445708,8235855,297.085,3.18,37.969945,-85.702635                                                                                                                    
KY,21031,516862,Butler County,1103624033,13891042,426.112,5.363,37.207013,-86.682471                                                                                                                  
KY,21033,516863,Caldwell County,893117876,8584485,344.835,3.314,37.148642,-87.870509                                                                                                                  
KY,21035,516864,Calloway County,996789154,66909731,384.862,25.834,36.620978,-88.274086                                                                                                                
KY,21037,516865,Campbell County,391916805,20943965,151.32,8.087,38.946981,-84.379583                                                                                                                  
KY,21039,516866,Carlisle County,490706561,24648733,189.463,9.517,36.85718,-88.976614                                                                                                                  
KY,21041,516867,Carroll County,333331353,22186044,128.7,8.566,38.668394,-85.124024                                                                                                                    
KY,21043,516868,Carter County,1060593553,6782466,409.497,2.619,38.314094,-83.038988                                                                                                                   
KY,21045,516869,Casey County,1150621984,3842017,444.258,1.483,37.321962,-84.92822                                                                                                                     
KY,21047,516870,Christian County,1858731000,16530508,717.66,6.382,36.892059,-87.492986                                                                                                                
KY,21049,516871,Clark County,653924827,6943411,252.482,2.681,37.970314,-84.145115                                                                                                                     
KY,21051,516872,Clay County,1215470276,4754889,469.296,1.836,37.164273,-83.715454                                                                                                                     
KY,21053,516873,Clinton County,510391739,21636754,197.063,8.354,36.727258,-85.136098                                                                                                                  
KY,21055,516874,Crittenden County,931272391,30377986,359.566,11.729,37.358149,-88.10501                                                                                                               
KY,21057,516875,Cumberland County,790326358,14920717,305.147,5.761,36.782372,-85.388484                                                                                                               
KY,21059,516876,Daviess County,1187244307,46809288,458.398,18.073,37.731671,-87.087139                                                                                                                
KY,21061,516877,Edmonson County,784263760,13462746,302.806,5.198,37.227514,-86.218015                                                                                                                 
KY,21063,516878,Elliott County,606888298,2595857,234.321,1.002,38.116883,-83.096116                                                                                                                   
KY,21065,516879,Estill County,655477008,6549172,253.081,2.529,37.692449,-83.963983                                                                                                                    
KY,21067,516880,Fayette County,735179656,4436384,283.854,1.713,38.040678,-84.458272                                                                                                                   
KY,21069,516881,Fleming County,903057248,6844691,348.672,2.643,38.367848,-83.699205                                                                                                                   
KY,21071,516882,Floyd County,1018643078,6228697,393.3,2.405,37.552456,-82.739724                                                                                                                      
KY,21073,516883,Franklin County,538483441,10615088,207.91,4.099,38.234919,-84.868786                                                                                                                  
KY,21075,516884,Fulton County,533360972,64082320,205.932,24.742,36.552511,-89.187659                                                                                                                  
KY,21077,516885,Gallatin County,254548113,16451904,98.282,6.352,38.755663,-84.865143                                                                                                                  
KY,21079,516886,Garrard County,595501702,10415371,229.925,4.021,37.630162,-84.545856                                                                                                                  
KY,21081,516887,Grant County,668154706,7246425,257.976,2.798,38.649167,-84.625924                                                                                                                     
KY,21083,516888,Graves County,1429043468,13029522,551.757,5.031,36.723344,-88.649897                                                                                                                  
KY,21085,516889,Grayson County,1293793033,29766717,499.536,11.493,37.458577,-86.344011                                                                                                                
KY,21087,516890,Green County,740640299,7328706,285.963,2.83,37.278065,-85.537925                                                                                                                      
KY,21089,516891,Greenup County,892133133,25865288,344.455,9.987,38.563562,-82.93382                                                                                                                   
KY,21091,516892,Hancock County,486076270,29131626,187.675,11.248,37.843325,-86.792761                                                                                                                 
KY,21093,516893,Hardin County,1615903549,16111849,623.904,6.221,37.695836,-85.963183                                                                                                                  
KY,21095,516894,Harlan County,1206493478,6014134,465.83,2.322,36.859223,-83.221497                                                                                                                    
KY,21097,516895,Harrison County,793722604,8855951,306.458,3.419,38.444578,-84.334131                                                                                                                  
KY,21099,516896,Hart County,1068809187,13410821,412.67,5.178,37.305827,-85.878443                                                                                                                     
KY,21101,516897,Henderson County,1130168819,75607019,436.361,29.192,37.792542,-87.572577                                                                                                              
KY,21103,516898,Henry County,741386891,12616183,286.251,4.871,38.451383,-85.119647                                                                                                                    
KY,21105,516899,Hickman County,627634138,27735813,242.331,10.709,36.675896,-88.972084                                                                                                                 
KY,21107,516900,Hopkins County,1404258115,31671290,542.187,12.228,37.31107,-87.542196                                                                                                                 
KY,21109,516901,Jackson County,894134829,3328475,345.227,1.285,37.403458,-84.020576                                                                                                                   
KY,21111,516902,Jefferson County,986345231,43436214,380.83,16.771,38.189532,-85.657624                                                                                                                
KY,21113,516903,Jessamine County,445769723,6118923,172.113,2.363,37.873291,-84.58396                                                                                                                  
KY,21115,516904,Johnson County,678488581,5619568,261.966,2.17,37.847756,-82.830121                                                                                                                    
KY,21117,516905,Kenton County,415367448,10188508,160.374,3.934,38.930503,-84.533438                                                                                                                   
KY,21119,516906,Knott County,910442831,3438036,351.524,1.327,37.354368,-82.952546                                                                                                                     
KY,21121,516907,Knox County,1000591254,3676007,386.33,1.419,36.8885,-83.855551                                                                                                                        
KY,21123,516908,Larue County,676090984,6721198,261.04,2.595,37.544462,-85.696841                                                                                                                      
KY,21125,516909,Laurel County,1123286185,25873416,433.703,9.99,37.113268,-84.119395                                                                                                                   
KY,21127,516910,Lawrence County,1076393643,11576697,415.598,4.47,38.074453,-82.73829                                                                                                                  
KY,21129,516911,Lee County,540843067,6309608,208.821,2.436,37.608116,-83.719248                                                                                                                       
KY,21131,516912,Leslie County,1038270184,9125309,400.878,3.523,37.087846,-83.388617                                                                                                                   
KY,21133,516913,Letcher County,875245158,2846758,337.934,1.099,37.118536,-82.861251                                                                                                                   
KY,21135,516914,Lewis County,1250595455,31872267,482.858,12.306,38.535047,-83.370143                                                                                                                  
KY,21137,516915,Lincoln County,862216841,9035947,332.904,3.489,37.457174,-84.658335                                                                                                                   
KY,21139,516916,Livingston County,810561761,75614775,312.96,29.195,37.209517,-88.363426                                                                                                               
KY,21141,516917,Logan County,1430233037,12470164,552.216,4.815,36.859607,-86.881288                                                                                                                   
KY,21143,516918,Lyon County,553700579,110705475,213.785,42.744,37.023976,-88.083391                                                                                                                   
KY,21145,516925,McCracken County,644352844,49601574,248.786,19.151,37.054111,-88.712454                                                                                                               
KY,21147,516926,McCreary County,1105170770,10976665,426.709,4.238,36.731136,-84.491052                                                                                                                
KY,21149,516927,McLean County,654037067,9610577,252.525,3.711,37.526707,-87.265597                                                                                                                    
KY,21151,516919,Madison County,1134244276,13785578,437.934,5.323,37.725511,-84.278362                                                                                                                 
KY,21153,516920,Magoffin County,798864848,1848998,308.443,0.714,37.698983,-83.069721                                                                                                                  
KY,21155,516921,Marion County,889793042,8563275,343.551,3.306,37.552604,-85.268959                                                                                                                    
KY,21157,516922,Marshall County,782502718,98534943,302.126,38.045,36.882017,-88.332752                                                                                                                
KY,21159,516923,Martin County,594775705,2561300,229.644,0.989,37.796774,-82.506623                                                                                                                    
KY,21161,516924,Mason County,621926398,16274513,240.127,6.284,38.594137,-83.828125                                                                                                                    
KY,21163,516928,Meade County,791146216,49058513,305.463,18.942,37.967476,-86.200863                                                                                                                   
KY,21165,516929,Menifee County,527162212,6205679,203.538,2.396,37.935485,-83.589355                                                                                                                   
KY,21167,516930,Mercer County,645898189,10166125,249.383,3.925,37.812085,-84.879695                                                                                                                   
KY,21169,516931,Metcalfe County,750193213,3985177,289.651,1.539,36.99243,-85.633456                                                                                                                   
KY,21171,516932,Monroe County,853335722,6686907,329.475,2.582,36.714077,-85.713508                                                                                                                    
KY,21173,516933,Montgomery County,511202049,3786799,197.376,1.462,38.038109,-83.912416                                                                                                                
KY,21175,516934,Morgan County,987053730,6950463,381.104,2.684,37.92294,-83.258944                                                                                                                     
KY,21177,516935,Muhlenberg County,1210250704,31389301,467.28,12.119,37.213816,-87.134092                                                                                                              
KY,21179,516936,Nelson County,1084391549,13960880,418.686,5.39,37.80312,-85.465931                                                                                                                    
KY,21181,516937,Nicholas County,505839859,3936676,195.306,1.52,38.338031,-84.026223                                                                                                                   
KY,21183,516938,Ohio County,1520569117,23652967,587.095,9.132,37.477859,-86.844871                                                                                                                    
KY,21185,516939,Oldham County,485089203,23440362,187.294,9.05,38.400127,-85.45615                                                                                                                     
KY,21187,516940,Owen County,907757721,9735770,350.487,3.759,38.499395,-84.84159                                                                                                                       
KY,21189,516941,Owsley County,511268800,2299985,197.402,0.888,37.423622,-83.691637                                                                                                                    
KY,21191,516942,Pendleton County,717810240,12332855,277.148,4.762,38.696284,-84.351943                                                                                                                
KY,21193,516943,Perry County,879880330,7473919,339.724,2.886,37.241282,-83.217772                                                                                                                     
KY,21195,516944,Pike County,2036305634,6073018,786.222,2.345,37.486031,-82.410912                                                                                                                     
KY,21197,516945,Powell County,463508964,3003167,178.962,1.16,37.809567,-83.831235                                                                                                                     
KY,21199,516946,Pulaski County,1704469863,49351349,658.1,19.055,37.107428,-84.576969                                                                                                                  
KY,21201,516947,Robertson County,257938637,1333016,99.591,0.515,38.513473,-84.06423                                                                                                                   
KY,21203,516948,Rockcastle County,819904083,3961380,316.567,1.529,37.36105,-84.314368                                                                                                                 
KY,21205,516949,Rowan County,724888657,16537402,279.881,6.385,38.204266,-83.428079                                                                                                                    
KY,21207,516950,Russell County,655941463,76703032,253.26,29.615,36.990587,-85.05495                                                                                                                   
KY,21209,516951,Scott County,730879459,8342139,282.194,3.221,38.28571,-84.57834                                                                                                                       
KY,21211,516952,Shelby County,983652098,15210924,379.79,5.873,38.239011,-85.228247                                                                                                                    
KY,21213,516953,Simpson County,606511229,5930957,234.175,2.29,36.740929,-86.581787                                                                                                                    
KY,21215,516954,Spencer County,483474851,12915727,186.671,4.987,38.025313,-85.317312                                                                                                                  
KY,21217,516955,Taylor County,690009859,26953159,266.414,10.407,37.36621,-85.328059                                                                                                                   
KY,21219,516956,Todd County,969984710,6586059,374.513,2.543,36.840338,-87.183642                                                                                                                      
KY,21221,516957,Trigg County,1143305434,103336732,441.433,39.899,36.807681,-87.858652                                                                                                                 
KY,21223,516958,Trimble County,382724385,21257028,147.771,8.207,38.62004,-85.351208                                                                                                                   
KY,21225,516959,Union County,888050070,52667331,342.878,20.335,37.658029,-87.95165                                                                                                                    
KY,21227,516960,Warren County,1403072921,15112097,541.73,5.835,36.995634,-86.423579                                                                                                                   
KY,21229,516961,Washington County,769962860,10138826,297.284,3.915,37.754209,-85.175416                                                                                                               
KY,21231,516962,Wayne County,1186326542,67647953,458.043,26.119,36.800772,-84.82659                                                                                                                   
KY,21233,516963,Webster County,859944623,9398697,332.026,3.629,37.520375,-87.685206                                                                                                                   
KY,21235,516964,Whitley County,1134211586,18639649,437.922,7.197,36.758024,-84.144648                                                                                                                 
KY,21237,516965,Wolfe County,575390049,1534248,222.159,0.592,37.743893,-83.49511                                                                                                                      
KY,21239,516966,Woodford County,490993054,6380990,189.573,2.464,38.043103,-84.748855                                                                                                                  
