USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
LA,22001,558389,Acadia Parish,1697073812,5934788,655.244,2.291,30.291497,-92.411037                                                                                                                   
LA,22003,558397,Allen Parish,1973790911,10455560,762.085,4.037,30.652744,-92.819605                                                                                                                   
LA,22005,558403,Ascension Parish,751104015,32882679,290.003,12.696,30.206444,-90.912502                                                                                                               
LA,22007,558414,Assumption Parish,891009957,67104891,344.021,25.909,29.9033,-91.065219                                                                                                                
LA,22009,558424,Avoyelles Parish,2153219962,88761321,831.363,34.271,31.088503,-91.983275                                                                                                              
LA,22011,558436,Beauregard Parish,2997854119,21942931,1157.478,8.472,30.645018,-93.340253                                                                                                             
LA,22013,558445,Bienville Parish,2101370399,27972980,811.344,10.8,32.340952,-93.041151                                                                                                                
LA,22015,558453,Bossier Parish,2174607057,70690676,839.621,27.294,32.698481,-93.626561                                                                                                                
LA,22017,558458,Caddo Parish,2277984207,148927901,879.535,57.501,32.580106,-93.88497                                                                                                                  
LA,22019,558468,Calcasieu Parish,2755966342,77906134,1064.085,30.08,30.229559,-93.358015                                                                                                              
LA,22021,558477,Caldwell Parish,1372098436,29104196,529.77,11.237,32.101219,-92.114231                                                                                                                
LA,22023,558488,Cameron Parish,3327199807,1688890170,1284.639,652.084,29.871812,-93.164948                                                                                                            
LA,22025,558495,Catahoula Parish,1836953695,78178418,709.252,30.185,31.666517,-91.846703                                                                                                              
LA,22027,558505,Claiborne Parish,1954908517,32473223,754.794,12.538,32.82716,-92.989728                                                                                                               
LA,22029,558515,Concordia Parish,1801869540,133813661,695.706,51.666,31.469805,-91.626315                                                                                                             
LA,22031,558521,De Soto Parish,2269992573,46989269,876.449,18.143,32.059248,-93.740797                                                                                                                
LA,22033,558530,East Baton Rouge Parish,1179744885,38443657,455.502,14.843,30.54393,-91.093131                                                                                                        
LA,22035,558534,East Carroll Parish,1090092485,56411688,420.887,21.781,32.73017,-91.234141                                                                                                            
LA,22037,558542,East Feliciana Parish,1174022930,6150607,453.293,2.375,30.839784,-91.043434                                                                                                           
LA,22039,558551,Evangeline Parish,1715688315,44661244,662.431,17.244,30.720693,-92.404086                                                                                                             
LA,22041,558557,Franklin Parish,1616925546,28050179,624.298,10.83,32.139076,-91.672371                                                                                                                
LA,22043,558567,Grant Parish,1667305574,54548379,643.75,21.061,31.597787,-92.561716                                                                                                                   
LA,22045,558576,Iberia Parish,1488569313,1205961184,574.74,465.624,29.606013,-91.842706                                                                                                               
LA,22047,558582,Iberville Parish,1598734777,92400695,617.275,35.676,30.270658,-91.36587                                                                                                               
LA,22049,558592,Jackson Parish,1474915028,28413854,569.468,10.971,32.30429,-92.5617                                                                                                                   
LA,22051,558027,Jefferson Parish,779233472,883630908,300.864,341.172,29.5033,-90.036231                                                                                                               
LA,22053,558039,Jefferson Davis Parish,1687430142,18666917,651.52,7.207,30.269529,-92.816221                                                                                                          
LA,22055,558059,Lafayette Parish,696257609,1149127,268.827,0.444,30.206507,-92.06417                                                                                                                  
LA,22057,558065,Lafourche Parish,2765571305,1037643577,1067.793,400.636,29.491992,-90.394849                                                                                                          
LA,22059,558049,LaSalle Parish,1618363238,97655624,624.854,37.705,31.680083,-92.161596                                                                                                                
LA,22061,558077,Lincoln Parish,1221532396,1897706,471.636,0.733,32.601823,-92.662303                                                                                                                  
LA,22063,558083,Livingston Parish,1678652696,112175420,648.131,43.311,30.440419,-90.727474                                                                                                            
LA,22065,558088,Madison Parish,1615854948,68460376,623.885,26.433,32.346878,-91.231932                                                                                                                
LA,22067,558097,Morehouse Parish,2058910717,28888046,794.95,11.154,32.820008,-91.800399                                                                                                               
LA,22069,558108,Natchitoches Parish,3245276855,120549024,1253.008,46.544,31.732509,-93.082546                                                                                                         
LA,22071,558113,Orleans Parish,439001672,467102619,169.5,180.349,30.05342,-89.934502                                                                                                                  
LA,22073,558114,Ouachita Parish,1580797958,55327711,610.35,21.362,32.480932,-92.151581                                                                                                                
LA,22075,558125,Plaquemines Parish,2021731565,4627380285,780.595,1786.642,29.282447,-89.576068                                                                                                        
LA,22077,559449,Pointe Coupee Parish,1438726037,90290883,555.495,34.862,30.708319,-91.604621                                                                                                          
LA,22079,559460,Rapides Parish,3429428124,96893609,1324.11,37.411,31.193204,-92.535953                                                                                                                
LA,22081,559472,Red River Parish,1007453088,34259705,388.98,13.228,32.101213,-93.34905                                                                                                                
LA,22083,559481,Richland Parish,1439031396,22771218,555.613,8.792,32.413158,-91.748353                                                                                                                
LA,22085,559489,Sabine Parish,2244564120,375297082,866.631,144.903,31.560402,-93.559579                                                                                                               
LA,22087,1629542,St. Bernard Parish,977763283,4604190778,377.517,1777.688,29.91811,-89.263494                                                                                                          
LA,22089,1629449,St. Charles Parish,719347894,308635082,277.742,119.165,29.905722,-90.357855                                                                                                           
LA,22091,1629457,St. Helena Parish,1058078903,2796358,408.527,1.08,30.822539,-90.708307                                                                                                                
LA,22093,1629464,St. James Parish,616057913,38773983,237.861,14.971,30.024777,-90.793956                                                                                                               
LA,22095,1629472,St. John the Baptist Parish,555484723,506440075,214.474,195.538,30.144068,-90.49096                                                                                                   
LA,22097,1629479,St. Landry Parish,2391536698,40700812,923.378,15.715,30.583441,-91.989274                                                                                                             
LA,22099,1629486,St. Martin Parish,1910243674,205089900,737.549,79.186,30.121433,-91.611481                                                                                                            
LA,22101,1629492,St. Mary Parish,1446581820,1453489232,558.528,561.195,29.629349,-91.463804                                                                                                            
