USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
MA,25001,606927,Barnstable County,1020973583,2360362409,394.2,911.341,41.706123,-70.164823                                                                                                            
MA,25003,606928,Berkshire County,2400592147,50709767,926.874,19.579,42.371493,-73.217928                                                                                                              
MA,25005,606929,Bristol County,1432555935,357450957,553.113,138.013,41.748588,-71.088894                                                                                                              
MA,25007,606930,Dukes County,267292993,1004291415,103.202,387.759,41.38097,-70.701499                                                                                                                 
MA,25009,606931,Essex County,1275604956,870173087,492.514,335.976,42.642708,-70.864909                                                                                                                
MA,25011,606932,Franklin County,1810943461,65594687,699.209,25.326,42.584504,-72.591792                                                                                                               
MA,25013,606933,Hampden County,1598035447,44416565,617.005,17.149,42.136198,-72.635648                                                                                                                
MA,25015,606934,Hampshire County,1365533874,46625894,527.236,18.002,42.339459,-72.663694                                                                                                              
MA,25017,606935,Middlesex County,2118293312,75289849,817.878,29.07,42.481718,-71.394916                                                                                                               
MA,25019,606936,Nantucket County,119637317,666826385,46.192,257.463,41.293392,-70.102164                                                                                                              
MA,25021,606937,Norfolk County,1025902103,124954020,396.103,48.245,42.171738,-71.18111                                                                                                                
MA,25023,606938,Plymouth County,1705513086,1126113558,658.502,434.795,41.987196,-70.741942                                                                                                            
MA,25025,606939,Suffolk County,150885698,160491323,58.257,61.966,42.338551,-71.018253                                                                                                                 
MA,25027,606940,Worcester County,3912636723,177350055,1510.678,68.475,42.311693,-71.940282                                                                                                            
