USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
MD,24001,1713506,Allegany County,1093489886,14710933,422.199,5.68,39.612313,-78.703104                                                                                                                 
MD,24003,1710958,Anne Arundel County,1074343715,448054686,414.806,172.995,38.991617,-76.560894                                                                                                         
MD,24005,1695314,Baltimore County,1549740649,215957832,598.358,83.382,39.443167,-76.616569                                                                                                             
MD,24009,1676636,Calvert County,552158537,341580669,213.19,131.885,38.522719,-76.529762                                                                                                                
MD,24011,595737,Caroline County,827350254,16777065,319.442,6.478,38.871531,-75.831662                                                                                                                 
MD,24013,1696228,Carroll County,1159317311,13111616,447.615,5.062,39.563328,-77.01533                                                                                                                  
MD,24015,596115,Cecil County,896912542,185281256,346.3,71.537,39.562354,-75.941585                                                                                                                    
MD,24017,1676992,Charles County,1185745253,479451413,457.819,185.117,38.472853,-77.015427                                                                                                              
MD,24019,596495,Dorchester County,1400573750,1145353067,540.765,442.223,38.429196,-76.047433                                                                                                          
MD,24021,1711211,Frederick County,1711011017,17624710,660.625,6.805,39.470177,-77.397636                                                                                                               
MD,24023,1711058,Garrett County,1681102438,22498420,649.077,8.687,39.547299,-79.274619                                                                                                                 
MD,24025,1698178,Harford County,1132149298,231888421,437.125,89.533,39.537429,-76.299789                                                                                                               
MD,24027,1709077,Howard County,649957177,6336170,250.95,2.446,39.252264,-76.924406                                                                                                                     
MD,24029,593907,Kent County,717268761,353549972,276.939,136.506,39.241279,-76.125987                                                                                                                  
MD,24031,1712500,Montgomery County,1277238908,35640935,493.145,13.761,39.137381,-77.203063                                                                                                             
MD,24033,1714670,Prince George's County,1249914204,42053184,482.595,16.237,38.829278,-76.848188                                                                                                        
MD,24035,596089,Queen Anne's County,962618588,360075353,371.669,139.026,39.040693,-76.082405                                                                                                          
MD,24037,1697853,St. Mary's County,928676346,1050726154,358.564,405.688,38.223077,-76.534487                                                                                                           
MD,24039,596907,Somerset County,828145299,752652887,319.749,290.601,38.07445,-75.853323                                                                                                               
MD,24041,592947,Talbot County,695556093,539369000,268.556,208.252,38.748349,-76.178476                                                                                                                
MD,24043,1714220,Washington County,1185655256,24820607,457.784,9.583,39.603621,-77.814671                                                                                                              
MD,24045,1668606,Wicomico County,969761875,66769937,374.427,25.78,38.367368,-75.632084                                                                                                                 
MD,24047,1668802,Worcester County,1212887337,586800206,468.298,226.565,38.222133,-75.309931                                                                                                            
MD,24510,1702381,Baltimore city,209649328,28758743,80.946,11.104,39.300032,-76.610476                                                                                                                  
