USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
ME,23001,581286,Androscoggin County,1211995418,75541705,467.954,29.167,44.167681,-70.207435                                                                                                           
ME,23003,581287,Aroostook County,17278254267,404986869,6671.172,156.366,46.709193,-68.612409                                                                                                          
ME,23005,581288,Cumberland County,2165743897,987468030,836.198,381.264,43.808348,-70.330375                                                                                                           
ME,23007,581289,Franklin County,4395226705,121284631,1697.007,46.828,44.976724,-70.414935                                                                                                             
ME,23009,581290,Hancock County,4110645606,1962696193,1587.129,757.801,44.564906,-68.370703                                                                                                            
ME,23011,581291,Kennebec County,2246739232,216791392,867.471,83.704,44.417012,-69.765764                                                                                                              
ME,23013,581292,Knox County,945086114,1987492766,364.9,767.375,44.042045,-69.038514                                                                                                                   
ME,23015,581293,Lincoln County,1180688993,631299424,455.867,243.746,43.994781,-69.513624                                                                                                              
ME,23017,581294,Oxford County,5379296162,255883190,2076.958,98.797,44.4945,-70.734421                                                                                                                 
ME,23019,581295,Penobscot County,8798671486,414011334,3397.186,159.851,45.409284,-68.666616                                                                                                           
ME,23021,581296,Piscataquis County,10258545867,1080517302,3960.847,417.19,45.915639,-69.102231                                                                                                        
ME,23023,581297,Sagadahoc County,657801805,300571247,253.979,116.051,43.916845,-69.844227                                                                                                             
ME,23025,581298,Somerset County,10163811939,437942553,3924.27,169.091,45.503646,-69.95611                                                                                                             
ME,23027,581299,Waldo County,1891279833,347573350,730.227,134.199,44.475023,-69.117429                                                                                                                
ME,23029,581300,Washington County,6637427361,1799648495,2562.725,694.848,44.967009,-67.609354                                                                                                         
ME,23031,581301,York County,2567181935,721357012,991.195,278.518,43.426019,-70.668425                                                                                                                 
