USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
MI,26001,1622943,Alcona County,1747349242,2890404966,674.655,1115.992,44.657509,-83.29458                                                                                                              
MI,26003,1622944,Alger County,2369927688,10703517569,915.034,4132.651,46.521736,-86.657119                                                                                                             
MI,26005,1622945,Allegan County,2137395687,2610802937,825.253,1008.037,42.421251,-86.261403                                                                                                            
MI,26007,1622946,Alpena County,1481211410,2908626983,571.899,1123.027,44.894954,-83.426574                                                                                                             
MI,26009,1622947,Antrim County,1232002283,326537164,475.679,126.077,45.005455,-85.175639                                                                                                               
MI,26011,1622948,Arenac County,940627659,822313309,363.178,317.497,44.036833,-83.740675                                                                                                                
MI,26013,1622949,Baraga County,2326915096,441618700,898.427,170.51,46.695859,-88.36181                                                                                                                 
MI,26015,1622950,Barry County,1432533270,61999481,553.104,23.938,42.582811,-85.31455                                                                                                                   
MI,26017,1622951,Bay County,1145834942,487713372,442.409,188.307,43.699711,-83.978701                                                                                                                  
MI,26019,1622952,Benzie County,828011954,1398248181,319.697,539.867,44.636844,-86.231999                                                                                                               
MI,26021,1622953,Berrien County,1470581606,2625411979,567.795,1013.677,41.791382,-86.742543                                                                                                            
MI,26023,1622954,Branch County,1311597690,34428004,506.411,13.293,41.918455,-85.066885                                                                                                                 
MI,26025,1622955,Calhoun County,1829201515,31257733,706.259,12.069,42.24299,-85.012385                                                                                                                 
MI,26027,1622956,Cass County,1269418180,47096776,490.125,18.184,41.917243,-86.000142                                                                                                                   
MI,26029,1622957,Charlevoix County,1078288791,2522931117,416.33,974.109,45.618554,-85.543684                                                                                                           
MI,26031,1622958,Cheboygan County,1852563996,440607444,715.279,170.119,45.476022,-84.495431                                                                                                            
MI,26033,1622959,Chippewa County,4036530069,2952489353,1558.513,1139.963,46.321819,-84.52063                                                                                                           
MI,26035,1622960,Clare County,1461704502,28496223,564.367,11.002,43.991137,-84.838325                                                                                                                  
MI,26037,1622961,Clinton County,1469427626,18687990,567.349,7.215,42.950455,-84.591695                                                                                                                 
MI,26039,1622962,Crawford County,1441108448,17887265,556.415,6.906,44.680175,-84.611343                                                                                                                
MI,26041,1622963,Delta County,3033120257,2124407010,1171.094,820.238,45.805229,-86.901938                                                                                                              
MI,26043,1622964,Dickinson County,1970851991,40499097,760.95,15.637,46.012833,-87.866139                                                                                                               
MI,26045,1622965,Eaton County,1489783264,10942054,575.209,4.225,42.58953,-84.84645                                                                                                                     
MI,26047,1622966,Emmet County,1210937829,1073422144,467.546,414.451,45.590094,-84.986822                                                                                                               
MI,26049,1622967,Genesee County,1649677902,32744787,636.944,12.643,43.021077,-83.706372                                                                                                                
MI,26051,1622968,Gladwin County,1299622802,36674665,501.787,14.16,43.98975,-84.389816                                                                                                                  
MI,26053,1622969,Gogebic County,2854517947,970153215,1102.136,374.578,46.488054,-89.788314                                                                                                             
MI,26055,1622970,Grand Traverse County,1202625102,354771223,464.336,136.978,44.718688,-85.553848                                                                                                       
MI,26057,1622971,Gratiot County,1472105381,8362680,568.383,3.229,43.292326,-84.60469                                                                                                                   
MI,26059,1622972,Hillsdale County,1549207172,22939100,598.152,8.857,41.927461,-84.637479                                                                                                               
MI,26061,1622973,Houghton County,2613563871,1275349279,1009.103,492.415,46.998427,-88.651903                                                                                                           
MI,26063,1622974,Huron County,2165276749,3369017439,836.018,1300.785,43.907616,-82.857045                                                                                                              
MI,26065,1622975,Ingham County,1440243334,11999082,556.081,4.633,42.603534,-84.373811                                                                                                                  
MI,26067,1622976,Ionia County,1479710874,22590324,571.32,8.722,42.94465,-85.073766                                                                                                                     
MI,26069,1622977,Iosco County,1423138614,3472103967,549.477,1340.587,44.386912,-83.380141                                                                                                              
MI,26071,1622978,Iron County,3020175217,116800609,1166.096,45.097,46.170254,-88.540526                                                                                                                 
MI,26073,1622979,Isabella County,1483287228,12943517,572.7,4.998,43.645233,-84.839424                                                                                                                  
MI,26075,1622980,Jackson County,1817919505,55918789,701.903,21.59,42.248474,-84.420868                                                                                                                 
MI,26077,1622981,Kalamazoo County,1455466317,47506805,561.959,18.342,42.246266,-85.532854                                                                                                              
MI,26079,1622982,Kalkaska County,1449729129,28020186,559.744,10.819,44.678881,-85.088992                                                                                                               
MI,26081,1622983,Kent County,2198722375,59597499,848.931,23.011,43.032497,-85.547446                                                                                                                   
MI,26083,1622984,Keweenaw County,1398883240,14053673396,540.112,5426.154,47.367297,-88.351332                                                                                                          
MI,26085,1622985,Lake County,1470063806,17480501,567.595,6.749,43.995187,-85.8114                                                                                                                      
MI,26087,1622986,Lapeer County,1675677867,41080675,646.983,15.861,43.088633,-83.224325                                                                                                                 
MI,26089,1622987,Leelanau County,899244064,5659103150,347.2,2184.992,45.146182,-86.051574                                                                                                              
MI,26091,1622988,Lenawee County,1941553493,30470229,749.638,11.765,41.896022,-84.074356                                                                                                                
MI,26093,1622989,Livingston County,1464078927,52115360,565.284,20.122,42.602532,-83.911718                                                                                                             
MI,26095,1622990,Luce County,2328593560,2624711552,899.075,1013.407,46.510988,-85.517552                                                                                                               
MI,26097,1622991,Mackinac County,2646654800,2793754478,1021.879,1078.675,46.167868,-85.303762                                                                                                          
MI,26099,1622992,Macomb County,1241511528,237166830,479.35,91.571,42.671553,-82.911456                                                                                                                 
MI,26101,1622993,Manistee County,1404616368,1912438857,542.325,738.397,44.245268,-86.327537                                                                                                            
MI,26103,1622994,Marquette County,4685463544,4185295221,1809.068,1615.952,46.656596,-87.584028                                                                                                         
MI,26105,1622995,Mason County,1281963203,1935616622,494.969,747.346,43.957196,-86.442937                                                                                                               
MI,26107,1622996,Mecosta County,1437843579,41665709,555.155,16.087,43.635295,-85.332751                                                                                                                
MI,26109,1622997,Menominee County,2704053649,761798350,1044.041,294.132,45.535568,-87.501457                                                                                                           
MI,26111,1622998,Midland County,1342738431,24953314,518.434,9.635,43.648203,-84.379414                                                                                                                 
MI,26113,1622999,Missaukee County,1462793664,23588781,564.788,9.108,44.325424,-85.085471                                                                                                               
MI,26115,1623000,Monroe County,1422841177,338180469,549.362,130.572,41.916097,-83.487106                                                                                                               
MI,26117,1623001,Montcalm County,1826793471,39944685,705.329,15.423,43.312782,-85.149468                                                                                                               
MI,26119,1623002,Montmorency County,1415881030,41352700,546.675,15.966,45.024134,-84.130107                                                                                                            
MI,26121,1623003,Muskegon County,1305130150,2476314283,503.914,956.11,43.428739,-86.420908                                                                                                             
MI,26123,1623004,Newaygo County,2172706357,59083043,838.887,22.812,43.562712,-85.791372                                                                                                                
MI,26125,1623005,Oakland County,2246553235,103179766,867.399,39.838,42.660452,-83.38421                                                                                                                
MI,26127,1623006,Oceana County,1393686390,1988709489,538.105,767.845,43.603954,-86.467177                                                                                                              
MI,26129,1623007,Ogemaw County,1459473135,29634783,563.506,11.442,44.33328,-84.128073                                                                                                                  
MI,26131,1623008,Ontonagon County,3395416358,6292279244,1310.978,2429.463,46.835203,-89.276943                                                                                                         
MI,26133,1623009,Osceola County,1466674408,17425113,566.286,6.728,43.997552,-85.322283                                                                                                                 
MI,26135,1623010,Oscoda County,1465088042,15136485,565.674,5.844,44.687257,-84.126905                                                                                                                  
MI,26137,1623011,Otsego County,1333860411,29050564,515.006,11.216,45.021787,-84.576603                                                                                                                 
MI,26139,1623012,Ottawa County,1459508865,2765824532,563.52,1067.891,43.054969,-86.219349                                                                                                              
MI,26141,1623013,Presque Isle County,1706071286,4957325477,658.718,1914.034,45.252397,-83.432283                                                                                                       
MI,26143,1623014,Roscommon County,1346526240,155723123,519.897,60.125,44.339517,-84.611271                                                                                                             
MI,26145,1623015,Saginaw County,2074080705,39260622,800.807,15.159,43.328267,-84.05541                                                                                                                 
MI,26147,1625033,St. Clair County,1868679901,297835534,721.501,114.995,42.928803,-82.668913                                                                                                            
MI,26149,1625034,St. Joseph County,1296649452,52802551,500.639,20.387,41.911488,-85.52287                                                                                                              
MI,26151,1623016,Sanilac County,2493048507,1624879474,962.571,627.369,43.449155,-82.642815                                                                                                             
MI,26153,1623017,Schoolcraft County,3035145673,1844210517,1171.876,712.054,46.021122,-86.197029                                                                                                        
MI,26155,1623018,Shiawassee County,1375198052,25833528,530.967,9.974,42.951545,-84.146352                                                                                                              
MI,26157,1623019,Tuscola County,2084527021,282490891,804.84,109.07,43.487902,-83.436618                                                                                                                
MI,26159,1623020,Van Buren County,1574177248,1248660328,607.793,482.11,42.28215,-86.306076                                                                                                             
MI,26161,1623021,Washtenaw County,1828539923,42523115,706.003,16.418,42.252217,-83.843423                                                                                                              
MI,26163,1623022,Wayne County,1584657752,156827018,611.84,60.551,42.284664,-83.261953                                                                                                                  
MI,26165,1623023,Wexford County,1463146658,27184070,564.924,10.496,44.331375,-85.570046                                                                                                                
