USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
MN,27001,663198,Aitkin County,4717189397,449252849,1821.317,173.458,46.602409,-93.419694                                                                                                              
MN,27003,659447,Anoka County,1092906198,62439490,421.973,24.108,45.27411,-93.242723                                                                                                                   
MN,27005,659448,Becker County,3405929557,336989906,1315.037,130.113,46.937629,-95.741757                                                                                                              
MN,27007,659449,Beltrami County,6486994903,1425755980,2504.643,550.487,47.879508,-95.00505                                                                                                            
MN,27009,659450,Benton County,1057499903,12286827,408.303,4.744,45.701225,-94.00144                                                                                                                   
MN,27011,659451,Big Stone County,1292738450,74945835,499.129,28.937,45.419925,-96.402226                                                                                                              
MN,27013,659452,Blue Earth County,1936886801,45960599,747.836,17.745,44.03371,-94.064012                                                                                                              
MN,27015,659453,Brown County,1582765944,18533953,611.109,7.156,44.246541,-94.733647                                                                                                                   
MN,27017,659454,Carlton County,2230473956,36173451,861.191,13.967,46.603818,-92.671044                                                                                                                
MN,27019,659455,Carver County,916541651,57071065,353.879,22.035,44.82132,-93.800091                                                                                                                   
MN,27021,659456,Cass County,5235561713,1016597904,2021.462,392.511,46.951745,-94.333705                                                                                                               
MN,27023,659457,Chippewa County,1505366467,17238350,581.225,6.656,45.028625,-95.564108                                                                                                                
MN,27025,659458,Chisago County,1074588565,71179900,414.901,27.483,45.505444,-92.903849                                                                                                                
MN,27027,659459,Clay County,2706993096,19303392,1045.176,7.453,46.898377,-96.494901                                                                                                                   
MN,27029,659460,Clearwater County,2587406740,80628708,999.003,31.131,47.575873,-95.371117                                                                                                             
MN,27031,659461,Cook County,3762153874,4887906439,1452.576,1887.231,47.758556,-90.344319                                                                                                              
MN,27033,659462,Cottonwood County,1657522339,22249931,639.973,8.591,44.010639,-95.183152                                                                                                              
MN,27035,659463,Crow Wing County,2585870548,409831831,998.41,158.237,46.491653,-94.070718                                                                                                             
MN,27037,659464,Dakota County,1457016678,62995344,562.557,24.323,44.670893,-93.062481                                                                                                                 
MN,27039,659465,Dodge County,1138031306,804838,439.396,0.311,44.020706,-92.869353                                                                                                                     
MN,27041,659466,Douglas County,1649506206,215746557,636.878,83.3,45.936835,-95.462155                                                                                                                 
MN,27043,659467,Faribault County,1845313173,24410687,712.479,9.425,43.676522,-93.947234                                                                                                               
MN,27045,659468,Fillmore County,2230843180,2055817,861.333,0.794,43.679187,-92.093937                                                                                                                 
MN,27047,659469,Freeborn County,1831756451,39305227,707.245,15.176,43.674202,-93.350289                                                                                                               
MN,27049,659470,Goodhue County,1959877521,59113685,756.713,22.824,44.406178,-92.716                                                                                                                   
MN,27051,659471,Grant County,1418795379,71705190,547.8,27.686,45.930743,-96.010699                                                                                                                    
MN,27053,659472,Hennepin County,1434901813,136571331,554.019,52.73,45.006121,-93.475228                                                                                                               
MN,27055,659473,Houston County,1429972103,43308596,552.115,16.722,43.66699,-91.501556                                                                                                                 
MN,27057,659474,Hubbard County,2398382427,190308493,926.021,73.479,47.095551,-94.91329                                                                                                                
MN,27059,659475,Isanti County,1128667913,41203726,435.781,15.909,45.562431,-93.296339                                                                                                                 
MN,27061,659476,Itasca County,6908835292,674103102,2667.516,260.273,47.490817,-93.611102                                                                                                              
MN,27063,659477,Jackson County,1820689885,42120424,702.972,16.263,43.671111,-95.149731                                                                                                                
MN,27065,659478,Kanabec County,1350962866,31252180,521.61,12.067,45.94776,-93.297788                                                                                                                  
MN,27067,659479,Kandiyohi County,2065173481,168373784,797.368,65.009,45.152714,-95.004981                                                                                                             
MN,27069,659480,Kittson County,2846395551,12419291,1099.0,4.795,48.77604,-96.780349                                                                                                                    
MN,27071,659481,Koochiching County,8041150184,132757600,3104.706,51.258,48.245374,-93.782896                                                                                                          
MN,27073,659482,Lac qui Parle County,1981394721,33649043,765.021,12.992,44.999826,-96.176851                                                                                                          
MN,27075,659484,Lake County,5462563492,2283905085,2109.108,881.821,47.517111,-91.411704                                                                                                               
MN,27077,659483,Lake of the Woods County,3360906040,1248825401,1297.653,482.174,48.7681,-94.904633                                                                                                    
MN,27079,659485,Le Sueur County,1162323399,65222240,448.776,25.182,44.373421,-93.730106                                                                                                               
MN,27081,659486,Lincoln County,1390269890,30163010,536.786,11.646,44.408238,-96.272032                                                                                                                
MN,27083,659487,Lyon County,1850315111,18794794,714.411,7.257,44.409195,-95.847268                                                                                                                    
MN,27085,659491,McLeod County,1273004666,36432583,491.51,14.067,44.821657,-94.272323                                                                                                                  
MN,27087,659488,Mahnomen County,1444868083,64851532,557.867,25.039,47.328387,-95.811089                                                                                                               
MN,27089,659489,Marshall County,4597384205,98012348,1775.06,37.843,48.362728,-96.357761                                                                                                               
MN,27091,659490,Martin County,1844928112,44669375,712.331,17.247,43.677173,-94.547096                                                                                                                 
MN,27093,659492,Meeker County,1574629035,94913816,607.968,36.646,45.123155,-94.527346                                                                                                                 
MN,27095,659493,Mille Lacs County,1482265593,282932802,572.306,109.241,45.929266,-93.632748                                                                                                           
MN,27097,659494,Morrison County,2913980992,73275240,1125.094,28.292,46.020484,-94.266619                                                                                                              
MN,27099,659495,Mower County,1842188271,617123,711.273,0.238,43.666249,-92.759514                                                                                                                     
MN,27101,659496,Murray County,1825079943,38432252,704.667,14.839,44.015594,-95.761581                                                                                                                 
MN,27103,659497,Nicollet County,1161618800,47471116,448.504,18.329,44.35882,-94.245684                                                                                                                
MN,27105,659498,Nobles County,1852143786,19253011,715.117,7.434,43.677686,-95.763132                                                                                                                  
MN,27107,659499,Norman County,2260512788,10208059,872.789,3.941,47.329453,-96.463776                                                                                                                  
MN,27109,659500,Olmsted County,1692580704,3226186,653.509,1.246,43.9995,-92.410096                                                                                                                    
MN,27111,659501,Otter Tail County,5106510663,654470600,1971.635,252.693,46.405727,-95.714581                                                                                                          
MN,27113,659502,Pennington County,1596779102,4338967,616.52,1.675,48.069247,-96.037725                                                                                                                
MN,27115,659503,Pine County,3655344666,60270933,1411.337,23.271,46.10094,-92.763094                                                                                                                   
MN,27117,659504,Pipestone County,1204481398,2347613,465.053,0.906,44.015361,-96.257015                                                                                                                
MN,27119,659505,Polk County,5104864820,69390824,1970.999,26.792,47.774254,-96.400027                                                                                                                  
MN,27121,659506,Pope County,1747100312,109705986,674.559,42.358,45.589623,-95.446705                                                                                                                  
MN,27123,659507,Ramsey County,394344222,45988411,152.257,17.756,45.015204,-93.099965                                                                                                                  
MN,27125,659508,Red Lake County,1119930041,227116,432.407,0.088,47.865487,-96.08718                                                                                                                   
MN,27127,659509,Redwood County,2275493206,8220946,878.573,3.174,44.403536,-95.254241                                                                                                                  
MN,27129,659510,Renville County,2545689676,10873495,982.896,4.198,44.723697,-94.955617                                                                                                                
MN,27131,659511,Rice County,1284233686,52063538,495.845,20.102,44.350775,-93.298513                                                                                                                   
MN,27133,659512,Rock County,1249562274,698231,482.459,0.27,43.669587,-96.263238                                                                                                                       
MN,27135,659513,Roseau County,4329782927,16924046,1671.739,6.534,48.761068,-95.821504                                                                                                                 
