USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
MO,29001,765805,Adair County,1469362058,5468507,567.324,2.111,40.190666,-92.603592                                                                                                                    
MO,29003,758456,Andrew County,1120518033,9669777,432.634,3.734,39.988863,-94.803551                                                                                                                   
MO,29005,758457,Atchison County,1417462628,7359186,547.285,2.841,40.431846,-95.437555                                                                                                                 
MO,29007,758458,Audrain County,1792918420,11843439,692.25,4.573,39.214481,-91.843418                                                                                                                  
MO,29009,758459,Barry County,2015326671,32912693,778.122,12.708,36.699376,-93.834334                                                                                                                  
MO,29011,758460,Barton County,1533351028,12152201,592.03,4.692,37.500799,-94.344089                                                                                                                   
MO,29013,758461,Bates County,2167033437,38030738,836.696,14.684,38.257217,-94.339246                                                                                                                  
MO,29015,758462,Benton County,1823437752,125605711,704.033,48.497,38.301036,-93.287942                                                                                                                
MO,29017,758463,Bollinger County,1600364576,8530122,617.904,3.293,37.318427,-90.024645                                                                                                                
MO,29019,758464,Boone County,1775569567,14222019,685.551,5.491,38.989861,-92.310202                                                                                                                   
MO,29021,758465,Buchanan County,1057361281,17942874,408.249,6.928,39.660369,-94.808173                                                                                                                
MO,29023,758466,Butler County,1799405245,11196956,694.754,4.323,36.71518,-90.40313                                                                                                                    
MO,29025,758467,Caldwell County,1104353494,8399237,426.393,3.243,39.658998,-93.979179                                                                                                                 
MO,29027,758468,Callaway County,2161513203,33194432,834.565,12.816,38.835547,-91.923446                                                                                                               
MO,29029,758469,Camden County,1699124112,136304761,656.036,52.628,38.026504,-92.765328                                                                                                                
MO,29031,758470,Cape Girardeau County,1498351218,20284964,578.517,7.832,37.384141,-89.685658                                                                                                          
MO,29033,758471,Carroll County,1799061890,17533392,694.622,6.77,39.427375,-93.500227                                                                                                                  
MO,29035,758472,Carter County,1314052440,4304986,507.359,1.662,36.944858,-90.945705                                                                                                                   
MO,29037,758473,Cass County,1804223594,14962905,696.615,5.777,38.646474,-94.354547                                                                                                                    
MO,29039,758474,Cedar County,1228870903,62637821,474.47,24.185,37.733655,-93.850014                                                                                                                   
MO,29041,758475,Chariton County,1945541994,40353307,751.178,15.58,39.517968,-92.96162                                                                                                                 
MO,29043,758476,Christian County,1457134692,3048446,562.603,1.177,36.969739,-93.187614                                                                                                                
MO,29045,758477,Clark County,1306924728,18695974,504.606,7.219,40.407275,-91.729472                                                                                                                   
MO,29047,758478,Clay County,1029930130,28484518,397.658,10.998,39.315551,-94.421502                                                                                                                   
MO,29049,758479,Clinton County,1085049761,11764909,418.94,4.542,39.608723,-94.395803                                                                                                                  
MO,29051,758480,Cole County,1014062403,19148560,391.532,7.393,38.503233,-92.280027                                                                                                                    
MO,29053,758481,Cooper County,1462684613,11486534,564.746,4.435,38.847093,-92.810069                                                                                                                  
MO,29055,758482,Crawford County,1923005886,3306286,742.477,1.277,37.966559,-91.313936                                                                                                                 
MO,29057,758483,Dade County,1269120978,42072597,490.01,16.244,37.43235,-93.854878                                                                                                                     
MO,29059,758484,Dallas County,1401057564,4909180,540.951,1.895,37.683583,-93.033815                                                                                                                   
MO,29061,758485,Daviess County,1458893650,14926596,563.282,5.763,39.962839,-93.970053                                                                                                                 
MO,29063,758486,DeKalb County,1091312448,11560688,421.358,4.464,39.894665,-94.40719                                                                                                                   
MO,29065,758487,Dent County,1949641179,4518781,752.761,1.745,37.603072,-91.489717                                                                                                                     
MO,29067,758488,Douglas County,2107274104,2520175,813.623,0.973,36.946517,-92.515892                                                                                                                  
MO,29069,758489,Dunklin County,1403538813,13708531,541.909,5.293,36.153025,-90.062254                                                                                                                 
MO,29071,758490,Franklin County,2389741238,20929353,922.684,8.081,38.413003,-91.072832                                                                                                                
MO,29073,758491,Gasconade County,1344216318,18008168,519.005,6.953,38.441183,-91.50578                                                                                                                
MO,29075,758492,Gentry County,1272776755,762384,491.422,0.294,40.208127,-94.405321                                                                                                                    
MO,29077,758493,Greene County,1749093456,6607713,675.329,2.551,37.258196,-93.340641                                                                                                                   
MO,29079,758494,Grundy County,1127403257,7116081,435.293,2.748,40.112541,-93.565054                                                                                                                   
MO,29081,758495,Harrison County,1871309888,10070644,722.517,3.888,40.34562,-93.992582                                                                                                                 
MO,29083,758496,Henry County,1805056177,91656115,696.936,35.389,38.386491,-93.792628                                                                                                                  
MO,29085,758497,Hickory County,1032908448,33454640,398.808,12.917,37.93691,-93.322988                                                                                                                 
MO,29087,758498,Holt County,1198369590,19839054,462.693,7.66,40.095724,-95.219072                                                                                                                     
MO,29089,758499,Howard County,1201239500,19854374,463.801,7.666,39.143365,-92.695926                                                                                                                  
MO,29091,758500,Howell County,2401376472,2920041,927.177,1.127,36.774369,-91.887368                                                                                                                   
MO,29093,758501,Iron County,1425174276,4665920,550.263,1.802,37.625971,-90.699587                                                                                                                     
