USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
MS,28001,695726,Adams County,1197464268,65273639,462.344,25.202,31.486224,-91.351797                                                                                                                  
MS,28003,711755,Alcorn County,1036110409,3408033,400.044,1.316,34.886569,-88.581109                                                                                                                   
MS,28005,695727,Amite County,1890950868,3877823,730.1,1.497,31.203933,-90.795542                                                                                                                      
MS,28007,695728,Attala County,1903529295,4425860,734.957,1.709,33.090468,-89.588622                                                                                                                   
MS,28009,695729,Benton County,1053131424,5279184,406.616,2.038,34.809593,-89.200213                                                                                                                   
MS,28011,695730,Bolivar County,2270141682,81446732,876.507,31.447,33.799139,-90.88412                                                                                                                 
MS,28013,695731,Calhoun County,1519218292,3590388,586.573,1.386,33.936634,-89.337114                                                                                                                  
MS,28015,695732,Carroll County,1627517130,16050556,628.388,6.197,33.440795,-89.918887                                                                                                                 
MS,28017,695733,Chickasaw County,1299608408,6380767,501.782,2.464,33.933277,-88.947558                                                                                                                
MS,28019,695734,Choctaw County,1083125336,4295085,418.197,1.658,33.345964,-89.251332                                                                                                                  
MS,28021,695735,Claiborne County,1262400025,35711134,487.415,13.788,31.97281,-90.915424                                                                                                               
MS,28023,695736,Clarke County,1791173034,5073931,691.576,1.959,32.045374,-88.687976                                                                                                                   
MS,28025,695737,Clay County,1062098110,15361008,410.078,5.931,33.65967,-88.782468                                                                                                                     
MS,28027,695738,Coahoma County,1432526490,77525442,553.102,29.933,34.230316,-90.60401                                                                                                                 
MS,28029,695739,Copiah County,2013158772,5644780,777.285,2.179,31.866915,-90.448758                                                                                                                   
MS,28031,695740,Covington County,1071784951,2880713,413.819,1.112,31.633331,-89.548897                                                                                                                
MS,28033,695741,DeSoto County,1233855810,50232356,476.394,19.395,34.874922,-89.991211                                                                                                                 
MS,28035,695742,Forrest County,1207042886,10872917,466.042,4.198,31.18858,-89.259447                                                                                                                  
MS,28037,695743,Franklin County,1460658822,7250805,563.964,2.8,31.477773,-90.895457                                                                                                                   
MS,28039,695744,George County,1239824223,12830813,478.699,4.954,30.855431,-88.642268                                                                                                                  
MS,28041,695745,Greene County,1845983901,15430619,712.738,5.958,31.212845,-88.634811                                                                                                                  
MS,28043,695746,Grenada County,1093291104,70659566,422.122,27.282,33.770031,-89.80274                                                                                                                 
MS,28045,711756,Hancock County,1227562871,204093898,473.965,78.801,30.391641,-89.482791                                                                                                               
MS,28047,695747,Harrison County,1485711451,1064620596,573.636,411.052,30.416536,-89.083376                                                                                                            
MS,28049,695748,Hinds County,2252888305,19259532,869.845,7.436,32.267788,-90.466017                                                                                                                   
MS,28051,695749,Holmes County,1959776830,20568825,756.674,7.942,33.125942,-90.091197                                                                                                                  
MS,28053,695750,Humphreys County,1084375633,32514314,418.68,12.554,33.130996,-90.523421                                                                                                               
MS,28055,695751,Issaquena County,1069614257,73664788,412.98,28.442,32.755539,-91.003535                                                                                                               
MS,28057,695752,Itawamba County,1379932999,19825536,532.795,7.655,34.281075,-88.363127                                                                                                                
MS,28059,695753,Jackson County,1872109196,830292614,722.825,320.578,30.456005,-88.625101                                                                                                              
MS,28061,695754,Jasper County,1751636189,3130850,676.311,1.209,32.016748,-89.119176                                                                                                                   
MS,28063,695755,Jefferson County,1346620554,18988092,519.933,7.331,31.733633,-91.043878                                                                                                               
MS,28065,695756,Jefferson Davis County,1057871277,1791496,408.446,0.692,31.564808,-89.827086                                                                                                          
MS,28067,695757,Jones County,1799639019,12681687,694.845,4.896,31.616601,-89.168532                                                                                                                   
MS,28069,695758,Kemper County,1984403151,2182350,766.182,0.843,32.750136,-88.625631                                                                                                                   
MS,28071,695759,Lafayette County,1636088510,123105438,631.697,47.531,34.353078,-89.485385                                                                                                             
