USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
MT,30001,1719627,Beaverhead County,14355492119,78345288,5542.687,30.249,45.133863,-112.892869                                                                                                          
MT,30003,1716521,Big Horn County,12944183984,47395459,4997.778,18.299,45.407868,-107.518162                                                                                                            
MT,30005,1722470,Blaine County,10949218326,29079295,4227.517,11.228,48.428282,-108.967648                                                                                                              
MT,30007,1719625,Broadwater County,3088195857,118487318,1192.359,45.748,46.329849,-111.497873                                                                                                          
MT,30009,1720111,Carbon County,5304007482,35017697,2047.889,13.52,45.224468,-109.028554                                                                                                                
MT,30011,1688746,Carter County,8651796246,19503322,3340.477,7.53,45.516825,-104.515324                                                                                                                 
MT,30013,1719622,Cascade County,6988320233,34314468,2698.206,13.249,47.316575,-111.350262                                                                                                              
MT,30015,1719619,Chouteau County,10288778621,62611691,3972.52,24.175,47.886834,-110.4362                                                                                                               
MT,30017,1720109,Custer County,9798723728,25612454,3783.309,9.889,46.261414,-105.550352                                                                                                                
MT,30019,1637566,Daniels County,3694021958,1021697,1426.27,0.394,48.794429,-105.541739                                                                                                                 
MT,30021,1715632,Dawson County,6143260035,29884287,2371.926,11.538,47.26613,-104.898271                                                                                                                
MT,30023,1719617,Deer Lodge County,1907998869,12199890,736.683,4.71,46.094672,-113.141624                                                                                                              
MT,30025,1688745,Fallon County,4197320397,5915331,1620.595,2.284,46.318184,-104.405718                                                                                                                 
MT,30027,1719614,Fergus County,11238811039,27700317,4339.329,10.695,47.221816,-109.232956                                                                                                              
MT,30029,1719611,Flathead County,13176051588,436959228,5087.302,168.711,48.295422,-114.052059                                                                                                          
MT,30031,1720053,Gallatin County,6747835735,73611270,2605.354,28.421,45.518054,-111.163921                                                                                                             
MT,30033,1716058,Garfield County,12112233249,446864356,4676.56,172.535,47.267184,-106.995991                                                                                                           
MT,30035,1719607,Glacier County,7757405145,105684958,2995.151,40.805,48.705671,-112.990502                                                                                                             
MT,30037,1723078,Golden Valley County,3041740574,2621792,1174.423,1.012,46.380624,-109.174586                                                                                                          
MT,30039,1719605,Granite County,4473328974,14546367,1727.162,5.616,46.395955,-113.427356                                                                                                               
MT,30041,1720048,Hill County,7509401941,44199217,2899.396,17.065,48.631959,-110.106321                                                                                                                 
MT,30043,1720045,Jefferson County,4291603021,6256292,1656.997,2.416,46.124232,-112.059428                                                                                                              
MT,30045,1719602,Judith Basin County,4842466557,2066740,1869.687,0.798,47.032558,-110.30532                                                                                                            
MT,30047,1796943,Lake County,3860298502,423536127,1490.47,163.528,47.642901,-114.083687                                                                                                                
MT,30049,793926,Lewis and Clark County,8957164719,101496098,3458.381,39.188,47.122105,-112.38289                                                                                                      
MT,30051,1720036,Liberty County,3703651372,44411471,1429.988,17.147,48.559654,-111.036924                                                                                                              
MT,30053,1720038,Lincoln County,9356484228,161555792,3612.559,62.377,48.552385,-115.463185                                                                                                             
MT,30055,1716270,McCone County,6843332032,103024685,2642.225,39.778,47.629628,-105.757222                                                                                                              
MT,30057,1720033,Madison County,9293281833,39849039,3588.156,15.386,45.32529,-111.913791                                                                                                               
MT,30059,1719600,Meagher County,6194909927,7475979,2391.868,2.886,46.5857,-110.92174                                                                                                                   
MT,30061,1720030,Mineral County,3158799815,9897218,1219.619,3.821,47.129687,-115.085385                                                                                                                
MT,30063,1719596,Missoula County,6715867255,64580010,2593.011,24.934,47.027263,-113.892691                                                                                                             
MT,30065,1719593,Musselshell County,4840577739,7118682,1868.958,2.749,46.505281,-108.439763                                                                                                            
MT,30067,1720027,Park County,7258388273,27861799,2802.479,10.758,45.463081,-110.53493                                                                                                                  
MT,30069,1719590,Petroleum County,4288047859,48927318,1655.625,18.891,47.141917,-108.226575                                                                                                            
MT,30071,1720023,Phillips County,13313630167,185493135,5140.422,71.619,48.250143,-107.928897                                                                                                           
MT,30073,1719587,Pondera County,4207608377,43980663,1624.567,16.981,48.228604,-112.220761                                                                                                              
MT,30075,1719584,Powder River County,8542288816,1565958,3298.196,0.605,45.408926,-105.555344                                                                                                           
MT,30077,1720021,Powell County,6024423559,16245447,2326.043,6.272,46.844225,-112.9311                                                                                                                  
MT,30079,1715847,Prairie County,4497780200,15092932,1736.603,5.827,46.812388,-105.503938                                                                                                               
