USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
NC,37001,1008531,Alamance County,1096763237,27913357,423.463,10.777,36.043954,-79.400573                                                                                                               
NC,37003,1008532,Alexander County,673368516,9435656,259.989,3.643,35.920951,-81.177467                                                                                                                 
NC,37005,1008533,Alleghany County,608220278,3687222,234.835,1.424,36.489356,-81.132299                                                                                                                 
NC,37007,1008534,Anson County,1376478141,14603213,531.461,5.638,34.974972,-80.109763                                                                                                                   
NC,37009,1008535,Ashe County,1104023356,8058446,426.266,3.111,36.443469,-81.499334                                                                                                                     
NC,37011,1008536,Avery County,640602137,445285,247.338,0.172,36.07209,-81.920285                                                                                                                       
NC,37013,1026333,Beaufort County,2156776424,336988229,832.736,130.112,35.482313,-76.842014                                                                                                             
NC,37015,1026334,Bertie County,1810858562,109120751,699.176,42.132,36.059043,-76.962364                                                                                                                
NC,37017,1026336,Bladen County,2266124566,33022256,874.956,12.75,34.591938,-78.539489                                                                                                                  
NC,37019,1026340,Brunswick County,2201668770,516634715,850.069,199.474,34.038754,-78.227765                                                                                                            
NC,37021,1008538,Buncombe County,1700301514,8941579,656.49,3.452,35.609371,-82.530423                                                                                                                  
NC,37023,1008539,Burke County,1311146878,20719897,506.237,8.0,35.746182,-81.70618                                                                                                                       
NC,37025,1008540,Cabarrus County,935587423,6985702,361.232,2.697,35.388346,-80.552728                                                                                                                  
NC,37027,1008541,Caldwell County,1222176567,7060445,471.885,2.726,35.966396,-81.51254                                                                                                                  
NC,37029,1026335,Camden County,622441458,181120132,240.326,69.931,36.342344,-76.162488                                                                                                                 
NC,37031,1026337,Carteret County,1314694122,2131056469,507.606,822.806,34.858343,-76.53586                                                                                                             
NC,37033,1008542,Caswell County,1101995790,8340796,425.483,3.22,36.394298,-79.339609                                                                                                                   
NC,37035,1008543,Catawba County,1039552776,37943182,401.374,14.65,35.661883,-81.214906                                                                                                                 
NC,37037,1008544,Chatham County,1765030860,70580568,681.482,27.251,35.704994,-79.251454                                                                                                                
NC,37039,1008545,Cherokee County,1179842036,28813680,455.54,11.125,35.13715,-84.061449                                                                                                                 
NC,37041,1025822,Chowan County,447179939,157966156,172.657,60.991,36.128979,-76.602752                                                                                                                 
NC,37043,1008546,Clay County,556849483,15046554,215.001,5.81,35.052997,-83.752264                                                                                                                      
NC,37045,1008547,Cleveland County,1202409706,10168594,464.253,3.926,35.33463,-81.557114                                                                                                                
NC,37047,1026339,Columbus County,2429920494,43711694,938.198,16.877,34.261602,-78.639308                                                                                                               
NC,37049,1026123,Craven County,1829934615,172857594,706.542,66.741,35.116829,-77.08132                                                                                                                 
NC,37051,1026124,Cumberland County,1690137276,15312233,652.566,5.912,35.050192,-78.828719                                                                                                              
NC,37053,1026125,Currituck County,678344374,685095432,261.91,264.517,36.372174,-75.941224                                                                                                              
