USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
ND,38001,1034210,Adams County,2557733897,2894336,987.547,1.118,46.096815,-102.533198                                                                                                                   
ND,38003,1034225,Barnes County,3863120991,56577969,1491.559,21.845,46.94255,-98.070195                                                                                                                 
ND,38005,1034216,Benson County,3596341571,131677670,1388.555,50.841,48.071743,-99.351152                                                                                                               
ND,38007,1035616,Billings County,2974571266,11986463,1148.488,4.628,47.007044,-103.364016                                                                                                              
ND,38009,1034227,Bottineau County,4322321781,74690378,1668.858,28.838,48.794412,-100.831257                                                                                                            
ND,38011,1035619,Bowman County,3009070650,13583664,1161.809,5.245,46.110144,-103.505943                                                                                                                
ND,38013,1034235,Burke County,2858360397,65734594,1103.619,25.38,48.786453,-102.520087                                                                                                                 
ND,38015,1035614,Burleigh County,4228659157,92691314,1632.694,35.788,46.978829,-100.469533                                                                                                             
ND,38017,1034226,Cass County,4571159546,7449098,1764.935,2.876,46.927003,-97.252375                                                                                                                    
ND,38019,1035304,Cavalier County,3856816538,53639348,1489.125,20.71,48.768439,-98.46379                                                                                                                
ND,38021,1035622,Dickey County,2930554410,27619632,1131.493,10.664,46.107756,-98.496518                                                                                                                
ND,38023,1034234,Divide County,3266310795,86676913,1261.13,33.466,48.814754,-103.509326                                                                                                                
ND,38025,1035623,Dunn County,5201969453,190528747,2008.492,73.564,47.354557,-102.612322                                                                                                                
ND,38027,1034222,Eddy County,1632310789,36012924,630.239,13.905,47.723436,-98.900474                                                                                                                   
ND,38029,1035615,Emmons County,3906739859,121497556,1508.401,46.91,46.284255,-100.237842                                                                                                               
ND,38031,1034223,Foster County,1642258768,33103934,634.08,12.782,47.471431,-98.872876                                                                                                                  
ND,38033,1035617,Golden Valley County,2592280438,4148883,1000.885,1.602,46.938924,-103.844612                                                                                                          
ND,38035,1034218,Grand Forks County,3719781789,8292175,1436.216,3.202,47.926003,-97.450851                                                                                                             
ND,38037,1035300,Grant County,4297393834,17563451,1659.233,6.781,46.357827,-101.639049                                                                                                                 
ND,38039,1034219,Griggs County,1835486230,20446712,708.685,7.895,47.456334,-98.232286                                                                                                                  
ND,38041,1034209,Hettinger County,2932485807,4008872,1132.239,1.548,46.435704,-102.454238                                                                                                              
ND,38043,1034206,Kidder County,3499233939,211737414,1351.062,81.752,46.938273,-99.731198                                                                                                               
ND,38045,1035621,LaMoure County,2968139578,12824671,1146.005,4.952,46.464195,-98.526057                                                                                                                
ND,38047,1035620,Logan County,2570819014,47710154,992.599,18.421,46.469278,-99.504585                                                                                                                  
ND,38049,1035305,McHenry County,4853487958,97323497,1873.942,37.577,48.233842,-100.633267                                                                                                              
ND,38051,1034211,McIntosh County,2524106805,51795568,974.563,19.998,46.108682,-99.416487                                                                                                               
ND,38053,1035299,McKenzie County,7148711642,260120464,2760.133,100.433,47.742475,-103.403215                                                                                                           
ND,38055,1034232,McLean County,5465578831,563811097,2110.272,217.689,47.653206,-101.421914                                                                                                             
ND,38057,1034233,Mercer County,2700790016,180823535,1042.781,69.816,47.307147,-101.833328                                                                                                              
ND,38059,1034207,Morton County,4988026118,49931491,1925.888,19.279,46.710029,-101.310041                                                                                                               
ND,38061,1035307,Mountrail County,4727150575,301102217,1825.163,116.256,48.210073,-102.364895                                                                                                          
ND,38063,1034217,Nelson County,2542889239,70073746,981.815,27.056,47.918667,-98.204428                                                                                                                 
ND,38065,1034205,Oliver County,1871017447,22475760,722.404,8.678,47.118079,-101.33142                                                                                                                  
ND,38067,1034212,Pembina County,2896993135,7008436,1118.535,2.706,48.766896,-97.545405                                                                                                                 
ND,38069,1034230,Pierce County,2637345130,166227811,1018.285,64.181,48.238883,-99.966497                                                                                                               
ND,38071,1034215,Ramsey County,3070086476,299504065,1185.367,115.639,48.266163,-98.739031                                                                                                              
ND,38073,1035301,Ransom County,2233792872,3582338,862.472,1.383,46.449276,-97.647554                                                                                                                   
ND,38075,1034229,Renville County,2272050279,40658500,877.244,15.698,48.712781,-101.658152                                                                                                              
ND,38077,1035302,Richland County,3718378994,25035244,1435.674,9.666,46.265219,-96.93796                                                                                                                
ND,38079,1034228,Rolette County,2338867336,94423047,903.042,36.457,48.768271,-99.840463                                                                                                                
ND,38081,1035303,Sargent County,2223461624,21731925,858.483,8.391,46.108204,-97.630051                                                                                                                 
ND,38083,1034203,Sheridan County,2518053313,86198847,972.226,33.282,47.581359,-100.330986                                                                                                              
ND,38085,1034208,Sioux County,2833580512,88449896,1094.052,34.151,46.110618,-101.061284                                                                                                                
