USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
NE,31001,835823,Adams County,1458836771,2513742,563.26,0.971,40.520632,-98.500044                                                                                                                     
NE,31003,835824,Antelope County,2220026333,3715966,857.157,1.435,42.183225,-98.058037                                                                                                                 
NE,31005,835825,Arthur County,1852234562,7644718,715.152,2.952,41.57193,-101.695917                                                                                                                   
NE,31007,835826,Banner County,1932231569,392060,746.039,0.151,41.53975,-103.726263                                                                                                                    
NE,31009,835827,Blaine County,1840709884,9415061,710.702,3.635,41.931945,-99.996407                                                                                                                   
NE,31011,835828,Boone County,1778104027,1780542,686.53,0.687,41.703934,-98.070476                                                                                                                     
NE,31013,835991,Box Butte County,2784653173,7115630,1075.161,2.747,42.21038,-103.081779                                                                                                               
NE,31015,835829,Boyd County,1396957277,13360589,539.368,5.159,42.894448,-98.773022                                                                                                                    
NE,31017,835830,Brown County,3163423492,9687309,1221.405,3.74,42.359562,-99.92392                                                                                                                     
NE,31019,835831,Buffalo County,2507745799,18526719,968.246,7.153,40.855265,-99.074984                                                                                                                 
NE,31021,835832,Burt County,1273203510,14184088,491.587,5.477,41.854179,-96.337746                                                                                                                    
NE,31023,835833,Butler County,1514595610,15598406,584.789,6.023,41.226054,-97.132003                                                                                                                  
NE,31025,835834,Cass County,1442381477,23270413,556.907,8.985,40.909878,-96.140609                                                                                                                    
NE,31027,835835,Cedar County,1917080039,14653906,740.189,5.658,42.60456,-97.25687                                                                                                                     
NE,31029,835836,Chase County,2316548815,7962797,894.425,3.074,40.53039,-101.694192                                                                                                                    
NE,31031,835837,Cherry County,15436585718,128192826,5960.099,49.496,42.571323,-101.047653                                                                                                             
NE,31033,835838,Cheyenne County,3097645443,292549,1196.008,0.113,41.214236,-103.011929                                                                                                                
NE,31035,835839,Clay County,1482222874,3234876,572.289,1.249,40.523669,-98.050858                                                                                                                     
NE,31037,835840,Colfax County,1065675354,13096487,411.46,5.057,41.57496,-97.088945                                                                                                                    
NE,31039,835841,Cuming County,1477563042,10772508,570.49,4.159,41.915865,-96.788517                                                                                                                   
NE,31041,835842,Custer County,6670405021,1285152,2575.458,0.496,41.393893,-99.726866                                                                                                                  
NE,31043,835843,Dakota County,684472406,8143543,264.276,3.144,42.391624,-96.561327                                                                                                                    
NE,31045,835844,Dawes County,3616756317,11755838,1396.437,4.539,42.713038,-103.135436                                                                                                                 
NE,31047,835845,Dawson County,2625694521,14624602,1013.786,5.647,40.86784,-99.815583                                                                                                                  
NE,31049,835846,Deuel County,1139142625,2295555,439.825,0.886,41.111903,-102.332609                                                                                                                   
NE,31051,835847,Dixon County,1231852118,18379775,475.621,7.096,42.485086,-96.855784                                                                                                                   
NE,31053,835848,Dodge County,1369700570,36668440,528.844,14.158,41.577008,-96.645852                                                                                                                  
NE,31055,835849,Douglas County,845753516,33157919,326.547,12.802,41.297091,-96.154066                                                                                                                 
NE,31057,835850,Dundy County,2381956207,3046331,919.678,1.176,40.180165,-101.681133                                                                                                                   
NE,31059,835851,Fillmore County,1490200737,2991991,575.37,1.155,40.52504,-97.596705                                                                                                                   
NE,31061,835852,Franklin County,1491355858,487899,575.816,0.188,40.183203,-98.96208                                                                                                                   
NE,31063,835853,Frontier County,2524345615,14047824,974.655,5.424,40.530947,-100.406683                                                                                                               
NE,31065,835854,Furnas County,1862730830,3727356,719.204,1.439,40.192252,-99.908637                                                                                                                   
NE,31067,835855,Gage County,2205292876,21993057,851.468,8.492,40.255234,-96.683453                                                                                                                    
NE,31069,835856,Garden County,4415478551,67450146,1704.826,26.043,41.633364,-102.302985                                                                                                               
NE,31071,835857,Garfield County,1474624515,5255328,569.356,2.029,41.906912,-98.951283                                                                                                                 
NE,31073,835858,Gosper County,1186729977,11718014,458.199,4.524,40.509095,-99.823206                                                                                                                  
NE,31075,835859,Grant County,2011633360,17249018,776.696,6.66,41.913957,-101.755965                                                                                                                   
NE,31077,835860,Greeley County,1475843022,2150066,569.826,0.83,41.567563,-98.530567                                                                                                                   
NE,31079,835861,Hall County,1415504336,14542805,546.529,5.615,40.866027,-98.502664                                                                                                                    
NE,31081,835862,Hamilton County,1403851003,7017550,542.03,2.709,40.872817,-98.022329                                                                                                                  
NE,31083,835863,Harlan County,1433471184,53339808,553.466,20.595,40.178766,-99.403418                                                                                                                 
NE,31085,835864,Hayes County,1846829900,562429,713.065,0.217,40.537234,-101.047963                                                                                                                    
NE,31087,835865,Hitchcock County,1838765330,22080715,709.951,8.525,40.176896,-101.044217                                                                                                              
NE,31089,835866,Holt County,6246663903,14619277,2411.851,5.645,42.459287,-98.784766                                                                                                                   
NE,31091,835867,Hooker County,1867293650,1385457,720.966,0.535,41.920317,-101.117324                                                                                                                  
NE,31093,835868,Howard County,1474401357,16376495,569.27,6.323,41.216851,-98.513342                                                                                                                   
NE,31095,835869,Jefferson County,1476765644,14202900,570.182,5.484,40.175736,-97.143103                                                                                                               
NE,31097,835870,Johnson County,974059402,1675330,376.086,0.647,40.394955,-96.265264                                                                                                                   
NE,31099,835871,Kearney County,1336933472,404663,516.193,0.156,40.50912,-98.947602                                                                                                                    
NE,31101,835872,Keith County,2750729960,123802447,1062.063,47.8,41.194245,-101.644449                                                                                                                 
NE,31103,835873,Keya Paha County,2001740192,2710300,772.876,1.046,42.87548,-99.718351                                                                                                                 
NE,31105,835874,Kimball County,2465517102,1448446,951.942,0.559,41.199274,-103.703153                                                                                                                 
NE,31107,835875,Knox County,2870314746,81551358,1108.235,31.487,42.634404,-97.891349                                                                                                                  
NE,31109,835876,Lancaster County,2169269508,22850511,837.56,8.823,40.783547,-96.688658                                                                                                                
NE,31111,835877,Lincoln County,6641131934,28397612,2564.155,10.964,41.050322,-100.744481                                                                                                              
NE,31113,835878,Logan County,1478101926,1203586,570.698,0.465,41.542155,-100.443665                                                                                                                   
NE,31115,835879,Loup County,1459046157,20032911,563.341,7.735,41.898204,-99.514525                                                                                                                    
NE,31117,835881,McPherson County,2225470205,2671077,859.259,1.031,41.648414,-101.120851                                                                                                               
NE,31119,835880,Madison County,1483057694,7352795,572.612,2.839,41.909929,-97.606856                                                                                                                  
NE,31121,835882,Merrick County,1263381774,23270576,487.794,8.985,41.16979,-98.031057                                                                                                                  
