USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
NJ,34001,882270,Atlantic County,1438939255,301106094,555.578,116.258,39.469355,-74.633759                                                                                                             
NJ,34003,882271,Bergen County,602934378,35371524,232.794,13.657,40.959698,-74.074727                                                                                                                  
NJ,34005,882272,Burlington County,2070137466,54604075,799.285,21.083,39.875786,-74.663006                                                                                                             
NJ,34007,882273,Camden County,573329867,15919264,221.364,6.146,39.802407,-74.961249                                                                                                                   
NJ,34009,882274,Cape May County,651437187,955149827,251.521,368.785,39.085841,-74.846354                                                                                                              
NJ,34011,882275,Cumberland County,1251948171,503663195,483.38,194.465,39.328434,-75.121628                                                                                                            
NJ,34013,882276,Essex County,326552231,8653266,126.083,3.341,40.7874,-74.246292                                                                                                                       
NJ,34015,882277,Gloucester County,833999181,38137129,322.009,14.725,39.722875,-75.145679                                                                                                              
NJ,34017,882278,Hudson County,119638045,41839269,46.193,16.154,40.731375,-74.078601                                                                                                                   
NJ,34019,882228,Hunterdon County,1108086283,24761599,427.835,9.561,40.565283,-74.911969                                                                                                               
NJ,34021,882229,Mercer County,581404579,11327997,224.482,4.374,40.282503,-74.703724                                                                                                                   
NJ,34023,882230,Middlesex County,800957688,35286675,309.252,13.624,40.439621,-74.40743                                                                                                                
NJ,34025,882910,Monmouth County,1212642640,500373881,468.204,193.195,40.287048,-74.152446                                                                                                             
NJ,34027,882231,Morris County,1194051047,53100988,461.026,20.502,40.858896,-74.547292                                                                                                                 
NJ,34029,882279,Ocean County,1627264184,742150453,628.29,286.546,39.865669,-74.258864                                                                                                                 
NJ,34031,882232,Passaic County,482078672,32001148,186.132,12.356,41.036655,-74.299408                                                                                                                 
NJ,34033,882233,Salem County,859515221,105389623,331.861,40.691,39.573828,-75.357356                                                                                                                  
NJ,34035,882234,Somerset County,781832066,7993021,301.867,3.086,40.565527,-74.619938                                                                                                                  
NJ,34037,882236,Sussex County,1342879999,43881034,518.489,16.943,41.137461,-74.691914                                                                                                                 
NJ,34039,882235,Union County,266165786,6839053,102.767,2.641,40.659871,-74.308696                                                                                                                     
NJ,34041,882237,Warren County,923435920,15825325,356.541,6.11,40.853491,-75.009498                                                                                                                    
