USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
NV,32001,858638,Churchill County,12820847800,190742991,4950.157,73.646,39.53771,-118.264166                                                                                                           
NV,32003,863600,Clark County,20439308560,438384090,7891.661,169.261,36.21413,-115.014398                                                                                                              
NV,32005,858643,Douglas County,1840283025,72182210,710.537,27.87,38.905129,-119.609019                                                                                                                
NV,32007,857664,Elko County,44478647073,75156805,17173.302,29.018,41.141133,-115.351424                                                                                                               
NV,32009,858641,Esmeralda County,9277050177,18552010,3581.889,7.163,37.778966,-117.632382                                                                                                             
NV,32011,858640,Eureka County,10814982420,11058701,4175.688,4.27,39.977788,-116.272208                                                                                                                
NV,32013,863310,Humboldt County,24969535383,44194899,9640.792,17.064,41.407914,-118.127591                                                                                                            
NV,32015,863368,Lander County,14294783207,662270,5519.247,0.256,39.90021,-117.04724                                                                                                                   
NV,32017,863992,Lincoln County,27540342258,9802713,10633.386,3.785,37.634605,-114.863037                                                                                                              
NV,32019,858645,Lyon County,5187884841,59489121,2003.054,22.969,39.022213,-119.197425                                                                                                                 
NV,32021,858644,Mineral County,9715777469,155864513,3751.283,60.18,38.516647,-118.416279                                                                                                              
NV,32023,863599,Nye County,47090939240,43207981,18181.914,16.683,37.965864,-116.459011                                                                                                                
NV,32027,858646,Pershing County,15634691981,79934815,6036.589,30.863,40.439639,-118.409477                                                                                                            
NV,32029,858642,Storey County,683238145,1881143,263.8,0.726,39.438385,-119.524646                                                                                                                     
NV,32031,858608,Washoe County,16358036307,582745905,6315.873,224.999,40.73132,-119.663269                                                                                                             
NV,32033,858615,White Pine County,23016356487,23426584,8886.665,9.045,39.418176,-114.900565                                                                                                           
NV,32510,863219,Carson City,374341370,32594082,144.534,12.585,39.15306,-119.747368                                                                                                                    
