USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
NY,36001,974099,Albany County,1354273425,26971925,522.888,10.414,42.58824,-73.97401                                                                                                                   
NY,36003,974100,Allegany County,2666410173,12989704,1029.507,5.015,42.247853,-78.026153                                                                                                               
NY,36005,974101,Bronx County,109235672,39353304,42.176,15.194,40.848711,-73.852939                                                                                                                    
NY,36007,974102,Broome County,1827626589,25078245,705.651,9.683,42.161977,-75.830283                                                                                                                  
NY,36009,974103,Cattaraugus County,3388177068,36783591,1308.183,14.202,42.239099,-78.662332                                                                                                           
NY,36011,974104,Cayuga County,1791207571,445691131,691.589,172.082,43.008546,-76.574587                                                                                                               
NY,36013,974105,Chautauqua County,2746450221,1139029655,1060.41,439.782,42.304216,-79.407595                                                                                                          
NY,36015,974106,Chemung County,1054988439,8875327,407.333,3.427,42.148697,-76.752471                                                                                                                  
NY,36017,974107,Chenango County,2314006880,13433905,893.443,5.187,42.478024,-75.602241                                                                                                                
NY,36019,974108,Clinton County,2687763025,206581998,1037.751,79.762,44.752712,-73.705643                                                                                                              
NY,36021,974109,Columbia County,1643770715,35071400,634.663,13.541,42.247696,-73.626718                                                                                                               
NY,36023,974110,Cortland County,1291817952,7110638,498.774,2.745,42.594039,-76.07624                                                                                                                  
NY,36025,974111,Delaware County,3736306657,64163829,1442.596,24.774,42.193986,-74.966728                                                                                                              
NY,36027,974112,Dutchess County,2060598611,76906718,795.602,29.694,41.754825,-73.740014                                                                                                               
NY,36029,974113,Erie County,2700743425,476876396,1042.763,184.123,42.752759,-78.778192                                                                                                                
NY,36031,974114,Essex County,4646753184,316350563,1794.122,122.144,44.109601,-73.778431                                                                                                               
NY,36033,974115,Franklin County,4219857156,176622254,1629.296,68.194,44.594376,-74.31067                                                                                                              
NY,36035,974116,Fulton County,1283234687,96916403,495.46,37.42,43.115609,-74.423678                                                                                                                   
NY,36037,974117,Genesee County,1276803036,6136678,492.976,2.369,43.00091,-78.192778                                                                                                                   
NY,36039,974118,Greene County,1676140498,28201061,647.161,10.888,42.28697,-74.149542                                                                                                                  
NY,36041,974119,Hamilton County,4447989312,234204425,1717.378,90.427,43.657879,-74.502456                                                                                                             
NY,36043,974120,Herkimer County,3653400323,120358452,1410.586,46.471,43.571009,-74.841097                                                                                                             
NY,36045,974121,Jefferson County,3283924240,1524538853,1267.93,588.628,43.996389,-76.052968                                                                                                           
NY,36047,974122,Kings County,179684481,71158757,69.377,27.475,40.635045,-73.95064                                                                                                                     
NY,36049,974123,Lewis County,3305625876,39648337,1276.309,15.308,43.782706,-75.444132                                                                                                                 
NY,36051,974124,Livingston County,1635976564,22076449,631.654,8.524,42.729042,-77.778463                                                                                                              
NY,36053,974125,Madison County,1696054034,16691322,654.85,6.445,42.910026,-75.663575                                                                                                                  
NY,36055,974126,Monroe County,1701477037,1838269506,656.944,709.76,43.250347,-77.700518                                                                                                               
NY,36057,974127,Montgomery County,1044052636,18613523,403.111,7.187,42.900891,-74.435357                                                                                                              
NY,36059,974128,Nassau County,736965432,437285877,284.544,168.837,40.729612,-73.589414                                                                                                                
NY,36061,974129,New York County,58683879,29010416,22.658,11.201,40.776642,-73.970187                                                                                                                  
NY,36063,974130,Niagara County,1352876142,1598772310,522.348,617.289,43.272672,-78.812943                                                                                                             
NY,36065,974131,Oneida County,3140211189,117357244,1212.442,45.312,43.242727,-75.434282                                                                                                               
NY,36067,974132,Onondaga County,2016027798,70512842,778.393,27.225,43.006516,-76.196134                                                                                                               
NY,36069,974133,Ontario County,1668148125,47853412,644.076,18.476,42.856357,-77.303497                                                                                                                
NY,36071,974134,Orange County,2103272844,67953621,812.078,26.237,41.40241,-74.306252                                                                                                                  
NY,36073,974135,Orleans County,1013364725,1103744014,391.262,426.158,43.339906,-78.207028                                                                                                             
NY,36075,974136,Oswego County,2464685608,933435238,951.62,360.401,43.461443,-76.209262                                                                                                                
NY,36077,974137,Otsego County,2594488424,36312826,1001.738,14.02,42.629776,-75.028841                                                                                                                 
NY,36079,974138,Putnam County,596350119,41229629,230.252,15.919,41.427907,-73.743861                                                                                                                  
NY,36081,974139,Queens County,281594051,188444349,108.724,72.759,40.654658,-73.841209                                                                                                                 
NY,36083,974140,Rensselaer County,1689861305,33524231,652.459,12.944,42.710421,-73.513845                                                                                                             
NY,36085,974141,Richmond County,148982679,117441532,57.523,45.344,40.561263,-74.1399                                                                                                                  
NY,36087,974142,Rockland County,449840998,66919666,173.685,25.838,41.154628,-74.024662                                                                                                                
NY,36089,977309,St. Lawrence County,6939939685,366960962,2679.526,141.684,44.488112,-75.074311                                                                                                        
NY,36091,974143,Saratoga County,2097812305,87488004,809.97,33.779,43.106135,-73.855387                                                                                                                
NY,36093,974144,Schenectady County,530089711,12366944,204.669,4.775,42.817552,-74.043559                                                                                                              
NY,36095,974145,Schoharie County,1610503551,11676951,621.819,4.508,42.591294,-74.438172                                                                                                               
NY,36097,974146,Schuyler County,850405403,36246373,328.343,13.995,42.419776,-76.938603                                                                                                                
NY,36099,974147,Seneca County,838372771,172818533,323.698,66.726,42.782294,-76.827088                                                                                                                 
NY,36101,974148,Steuben County,3601403378,35034921,1390.51,13.527,42.266725,-77.385525                                                                                                                
NY,36103,974149,Suffolk County,2359306969,3787388317,910.934,1462.319,40.943554,-72.692218                                                                                                            
NY,36105,974150,Sullivan County,2507484144,73737482,968.145,28.47,41.719993,-74.771577                                                                                                                
NY,36107,974151,Tioga County,1343600016,11044570,518.767,4.264,42.178057,-76.297456                                                                                                                   
NY,36109,974152,Tompkins County,1229321859,43780760,474.644,16.904,42.453006,-76.473483                                                                                                               
NY,36111,974153,Ulster County,2911757764,94596810,1124.236,36.524,41.947212,-74.265458                                                                                                                
NY,36113,974154,Warren County,2246093482,166839689,867.222,64.417,43.555105,-73.838139                                                                                                                
NY,36115,974155,Washington County,2152773113,38123569,831.19,14.72,43.312377,-73.439428                                                                                                               
NY,36117,974156,Wayne County,1563913374,2018184725,603.83,779.226,43.218114,-77.049402                                                                                                                
NY,36119,974157,Westchester County,1115811940,179391718,430.817,69.264,41.152686,-73.745753                                                                                                           
NY,36121,974158,Wyoming County,1535086366,9085228,592.7,3.508,42.701365,-78.228576                                                                                                                    
NY,36123,974159,Yates County,875777224,97488350,338.139,37.64,42.638237,-77.104324                                                                                                                    
