USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
OH,39001,1074014,Adams County,1512221259,6250109,583.872,2.413,38.834468,-83.478082                                                                                                                    
OH,39003,1074015,Allen County,1042587391,11152061,402.545,4.306,40.771627,-84.106103                                                                                                                   
OH,39005,1074016,Ashland County,1095528191,9969109,422.986,3.849,40.843273,-82.270127                                                                                                                  
OH,39007,1074017,Ashtabula County,1819252264,1724330055,702.417,665.768,41.906637,-80.745592                                                                                                           
OH,39009,1074018,Athens County,1304429460,12364206,503.643,4.774,39.332755,-82.045885                                                                                                                  
OH,39011,1074019,Auglaize County,1039590222,1339586,401.388,0.517,40.561309,-84.224018                                                                                                                 
OH,39013,1065575,Belmont County,1378201570,23693388,532.127,9.148,40.017682,-80.967727                                                                                                                 
OH,39015,1074020,Brown County,1267911783,8879057,489.543,3.428,38.931377,-83.866772                                                                                                                    
OH,39017,1074021,Butler County,1208270096,9196537,466.516,3.551,39.439747,-84.565734                                                                                                                   
OH,39019,1074022,Carroll County,1022040905,11183048,394.612,4.318,40.579884,-81.090787                                                                                                                 
OH,39021,1074023,Champaign County,1111045220,2180178,428.977,0.842,40.132775,-83.767604                                                                                                                
OH,39023,1074024,Clark County,1025322040,14608568,395.879,5.64,39.917032,-83.783676                                                                                                                    
OH,39025,1074025,Clermont County,1172125416,19874908,452.56,7.674,39.052054,-84.149485                                                                                                                 
OH,39027,1074026,Clinton County,1058609497,9329331,408.731,3.602,39.416681,-83.804583                                                                                                                  
OH,39029,1074027,Columbiana County,1377658468,7277033,531.917,2.81,40.770073,-80.778455                                                                                                                
OH,39031,1074028,Coshocton County,1460521588,9127208,563.911,3.524,40.29671,-81.930109                                                                                                                 
OH,39033,1074029,Crawford County,1040619655,2359514,401.786,0.911,40.848524,-82.924783                                                                                                                 
OH,39035,1074030,Cuyahoga County,1184173024,2041731514,457.212,788.317,41.555037,-81.604957                                                                                                            
OH,39037,1074031,Darke County,1549077539,4244898,598.102,1.639,40.131467,-84.621191                                                                                                                    
OH,39039,1074032,Defiance County,1065623073,7100811,411.439,2.742,41.321679,-84.486433                                                                                                                 
OH,39041,1074033,Delaware County,1147743707,36698376,443.146,14.169,40.278941,-83.007462                                                                                                               
OH,39043,1074034,Erie County,650833151,969939816,251.288,374.496,41.394143,-82.586835                                                                                                                  
OH,39045,1074035,Fairfield County,1306299932,10869534,504.365,4.197,39.747694,-82.626685                                                                                                               
OH,39047,1074036,Fayette County,1052469885,1694038,406.361,0.654,39.555246,-83.461893                                                                                                                  
OH,39049,1074037,Franklin County,1378959684,29020073,532.419,11.205,39.969875,-83.009086                                                                                                               
OH,39051,1074038,Fulton County,1050110444,4579039,405.45,1.768,41.597264,-84.124267                                                                                                                    
OH,39053,1074039,Gallia County,1208305869,12087309,466.53,4.667,38.817046,-82.301746                                                                                                                   
OH,39055,1074040,Geauga County,1037107805,20701156,400.43,7.993,41.499322,-81.173505                                                                                                                   
OH,39057,1074041,Greene County,1071302627,6798109,413.632,2.625,39.687479,-83.894894                                                                                                                   
OH,39059,1074042,Guernsey County,1352599522,15666081,522.242,6.049,40.056665,-81.497875                                                                                                                
OH,39061,1074043,Hamilton County,1050120459,18612564,405.454,7.186,39.196927,-84.544187                                                                                                                
OH,39063,1074044,Hancock County,1376122055,6024245,531.324,2.326,41.000217,-83.665947                                                                                                                  
OH,39065,1074045,Hardin County,1218033117,630279,470.285,0.243,40.660415,-83.664077                                                                                                                    
OH,39067,1074046,Harrison County,1042032638,21847163,402.331,8.435,40.292318,-81.091565                                                                                                                
OH,39069,1074047,Henry County,1077469003,9680060,416.013,3.737,41.331584,-84.0689                                                                                                                      
OH,39071,1074048,Highland County,1432479978,12194983,553.084,4.709,39.184422,-83.601359                                                                                                                
OH,39073,1074049,Hocking County,1091289822,5955974,421.349,2.3,39.490342,-82.483447                                                                                                                    
OH,39075,1074050,Holmes County,1094566305,3694365,422.614,1.426,40.565597,-81.930001                                                                                                                   
OH,39077,1074051,Huron County,1274906337,8626249,492.244,3.331,41.14508,-82.594641                                                                                                                     
OH,39079,1074052,Jackson County,1088598926,3167846,420.31,1.223,39.013477,-82.614142                                                                                                                   
OH,39081,1074053,Jefferson County,1057037102,7335056,408.124,2.832,40.399384,-80.763527                                                                                                                
OH,39083,1074054,Knox County,1361036421,10721050,525.499,4.139,40.40362,-82.422393                                                                                                                     
OH,39085,1074055,Lake County,594129618,1942308103,229.395,749.929,41.778142,-81.19733                                                                                                                  
OH,39087,1074056,Lawrence County,1174282179,10029914,453.393,3.873,38.603866,-82.517186                                                                                                                
