USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
OK,40001,1101788,Adair County,1486345558,8864933,573.881,3.423,35.898043,-94.651026                                                                                                                    
OK,40003,1101789,Alfalfa County,2244392661,38546676,866.565,14.883,36.729703,-98.323445                                                                                                                
OK,40005,1101790,Atoka County,2526412626,37269115,975.453,14.39,34.392469,-96.036558                                                                                                                   
OK,40007,1101791,Beaver County,4700407089,7347161,1814.837,2.837,36.748334,-100.483056                                                                                                                 
OK,40009,1101792,Beckham County,2335328722,5521744,901.675,2.132,35.270601,-99.690057                                                                                                                  
OK,40011,1101793,Blaine County,2404706843,26921320,928.463,10.394,35.877795,-98.429031                                                                                                                 
OK,40013,1101794,Bryan County,2342251263,101807807,904.348,39.308,33.964004,-96.265135                                                                                                                 
OK,40015,1101795,Caddo County,3309366434,32099077,1277.754,12.394,35.16792,-98.381045                                                                                                                  
OK,40017,1101796,Canadian County,2322112749,23146754,896.573,8.937,35.543354,-97.979889                                                                                                                
OK,40019,1101797,Carter County,2129750449,29733323,822.301,11.48,34.251848,-97.287927                                                                                                                  
OK,40021,1101798,Cherokee County,1940229542,69660639,749.127,26.896,35.904367,-94.996796                                                                                                               
OK,40023,1101799,Choctaw County,1995281896,75475686,770.383,29.141,34.027699,-95.554079                                                                                                                
OK,40025,1101800,Cimarron County,4752131820,15923999,1834.808,6.148,36.74839,-102.517698                                                                                                               
OK,40027,1101801,Cleveland County,1395764796,49209650,538.908,19.0,35.206376,-97.323088                                                                                                                 
OK,40029,1101802,Coal County,1338434465,12075986,516.772,4.663,34.582861,-96.288039                                                                                                                    
OK,40031,1101803,Comanche County,2769531015,37661894,1069.322,14.541,34.66263,-98.476612                                                                                                               
OK,40033,1101804,Cotton County,1638523151,23986260,632.637,9.261,34.290676,-98.373438                                                                                                                  
OK,40035,1101805,Craig County,1971642565,3649781,761.255,1.409,36.76389,-95.201553                                                                                                                     
OK,40037,1101806,Creek County,2460214797,50817254,949.894,19.621,35.907398,-96.380177                                                                                                                  
OK,40039,1101807,Custer County,2560924945,34326632,988.779,13.254,35.645601,-98.997386                                                                                                                 
OK,40041,1101808,Delaware County,1910774937,140487351,737.754,54.242,36.393437,-94.808189                                                                                                              
OK,40043,1101809,Dewey County,2589024034,22668882,999.628,8.753,35.97796,-99.014385                                                                                                                    
OK,40045,1101810,Ellis County,3189509979,952235,1231.477,0.368,36.224258,-99.750139                                                                                                                    
OK,40047,1101811,Garfield County,2741521324,4075930,1058.507,1.574,36.378132,-97.788741                                                                                                                
OK,40049,1101812,Garvin County,2077548134,30018274,802.146,11.59,34.70935,-97.312723                                                                                                                   
OK,40051,1101813,Grady County,2850386656,11374380,1100.54,4.392,35.021058,-97.88689                                                                                                                    
OK,40053,1101814,Grant County,2591904430,7042653,1000.74,2.719,36.788254,-97.788151                                                                                                                    
OK,40055,1101815,Greer County,1655740226,11148547,639.285,4.304,34.933853,-99.552968                                                                                                                   
OK,40057,1101816,Harmon County,1391491971,3800411,537.258,1.467,34.745971,-99.844194                                                                                                                   
OK,40059,1101817,Harper County,2689919590,5259447,1038.584,2.031,36.80035,-99.662805                                                                                                                   
OK,40061,1101818,Haskell County,1493711222,126247870,576.725,48.745,35.232431,-95.109642                                                                                                               
OK,40063,1101819,Hughes County,2083575246,26461993,804.473,10.217,35.052934,-96.251183                                                                                                                 
OK,40065,1101820,Jackson County,2078860497,4114418,802.653,1.589,34.594006,-99.412235                                                                                                                  
OK,40067,1101821,Jefferson County,1965685986,39417590,758.956,15.219,34.105082,-97.83889                                                                                                               
OK,40069,1101822,Johnston County,1665492483,39645099,643.05,15.307,34.313455,-96.654254                                                                                                                
OK,40071,1101823,Kay County,2381778878,65545215,919.61,25.307,36.814885,-97.143862                                                                                                                     
OK,40073,1101824,Kingfisher County,2326031241,20586906,898.086,7.949,35.949436,-97.934557                                                                                                              
OK,40075,1101825,Kiowa County,2629039887,40296743,1015.078,15.559,34.921489,-98.981617                                                                                                                 
OK,40077,1101826,Latimer County,1870264427,18222341,722.113,7.036,34.875137,-95.272262                                                                                                                 
OK,40079,1101827,Le Flore County,4116567831,49740071,1589.416,19.205,34.897356,-94.695074                                                                                                              
OK,40081,1101828,Lincoln County,2466632863,34719571,952.372,13.405,35.703117,-96.881392                                                                                                                
OK,40083,1101829,Logan County,1926268078,13203700,743.736,5.098,35.914277,-97.450952                                                                                                                   
OK,40085,1101830,Love County,1331031197,47500219,513.914,18.34,33.957804,-97.245093                                                                                                                    
OK,40087,1101834,McClain County,1478156679,24706038,570.72,9.539,35.016436,-97.449803                                                                                                                  
OK,40089,1101835,McCurtain County,4793503044,133936249,1850.782,51.713,34.117073,-94.766086                                                                                                            
OK,40091,1101836,McIntosh County,1601364434,242862429,618.29,93.77,35.369108,-95.671787                                                                                                                
OK,40093,1101831,Major County,2473438572,7651009,955.0,2.954,36.313119,-98.542015                                                                                                                       
OK,40095,1101832,Marshall County,962153977,143719930,371.49,55.491,34.027007,-96.770533                                                                                                                
OK,40097,1101833,Mayes County,1697286678,73073740,655.326,28.214,36.303804,-95.235638                                                                                                                  
OK,40099,1101837,Murray County,1078405800,22710693,416.375,8.769,34.485766,-97.071557                                                                                                                  
OK,40101,1101838,Muskogee County,2099548041,76078026,810.64,29.374,35.617551,-95.383911                                                                                                                
OK,40103,1101839,Noble County,1895126491,28100441,731.712,10.85,36.384901,-97.236335                                                                                                                   
OK,40105,1101840,Nowata County,1465460409,38903890,565.817,15.021,36.789615,-95.613312                                                                                                                 
OK,40107,1101841,Okfuskee County,1601800030,26649343,618.458,10.289,35.466804,-96.327762                                                                                                               
OK,40109,1101842,Oklahoma County,1836043266,24713348,708.9,9.542,35.554611,-97.409401                                                                                                                  
OK,40111,1101843,Okmulgee County,1806369916,12960866,697.443,5.004,35.6435,-95.965947                                                                                                                  
OK,40113,1101844,Osage County,5818878289,148530638,2246.682,57.348,36.624299,-96.408112                                                                                                                
OK,40115,1101845,Ottawa County,1219410535,35714103,470.817,13.789,36.835764,-94.802681                                                                                                                 
OK,40117,1101846,Pawnee County,1472027961,68849518,568.353,26.583,36.313704,-96.696669                                                                                                                 
OK,40119,1101847,Payne County,1773885849,31991880,684.901,12.352,36.079225,-96.975255                                                                                                                  
OK,40121,1101848,Pittsburg County,3381261521,187443330,1305.512,72.372,34.92554,-95.74813                                                                                                              
OK,40123,1101849,Pontotoc County,1865705452,12725534,720.353,4.913,34.721421,-96.691804                                                                                                                
OK,40125,1101850,Pottawatomie County,2040375638,14845673,787.793,5.732,35.211391,-96.957004                                                                                                            
OK,40127,1101851,Pushmataha County,3614431958,69989390,1395.54,27.023,34.377899,-95.408082                                                                                                             
OK,40129,1101852,Roger Mills County,2955524813,13688537,1141.135,5.285,35.708554,-99.741572                                                                                                            
OK,40131,1101853,Rogers County,1750176499,92946097,675.747,35.887,36.377794,-95.601383                                                                                                                 
OK,40133,1101854,Seminole County,1638993887,19960707,632.819,7.707,35.158366,-96.602857                                                                                                                
OK,40135,1101855,Sequoyah County,1744556598,105070319,673.577,40.568,35.502435,-94.750757                                                                                                              
OK,40137,1101856,Stephens County,2253839275,54824812,870.212,21.168,34.481361,-97.855607                                                                                                               
OK,40139,1101857,Texas County,5286923168,19169341,2041.293,7.401,36.746317,-101.483855                                                                                                                 
OK,40141,1101858,Tillman County,2256226949,20895054,871.134,8.068,34.371085,-98.931701                                                                                                                 
OK,40143,1101859,Tulsa County,1476919086,42923482,570.242,16.573,36.120318,-95.941813                                                                                                                  
OK,40145,1101860,Wagoner County,1455356138,74815302,561.916,28.886,35.963388,-95.514201                                                                                                                
