USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
OR,41001,1135845,Baker County,7945996816,51832631,3067.967,20.013,44.703427,-117.691933                                                                                                                
OR,41003,1155126,Benton County,1748781824,7670897,675.208,2.962,44.493882,-123.424664                                                                                                                  
OR,41005,1155127,Clackamas County,4845119042,31863500,1870.711,12.303,45.160493,-122.195127                                                                                                            
OR,41007,1135846,Clatsop County,2145128705,661372778,828.239,255.357,46.024509,-123.705037                                                                                                             
OR,41009,1135847,Columbia County,1705984350,78256731,658.684,30.215,45.941932,-123.081079                                                                                                              
OR,41011,1135848,Coos County,4133733924,544707630,1596.044,210.313,43.18591,-124.094133                                                                                                                
OR,41013,1155128,Crook County,7715390875,21004473,2978.929,8.11,44.163054,-120.371585                                                                                                                  
OR,41015,1155129,Curry County,4217523678,934580665,1628.395,360.844,42.466439,-124.210929                                                                                                              
OR,41017,1155130,Deschutes County,7815573278,94727627,3017.61,36.575,43.915118,-121.225575                                                                                                             
OR,41019,1135849,Douglas County,13042340043,251960048,5035.676,97.282,43.286328,-123.154476                                                                                                            
OR,41021,1135850,Gilliam County,3120213757,46914702,1204.721,18.114,45.382955,-120.276246                                                                                                              
OR,41023,1135851,Grant County,11726925885,1893807,4527.792,0.731,44.496326,-119.014057                                                                                                                 
OR,41025,1135852,Harney County,26248072906,241568254,10134.438,93.27,43.064449,-118.987169                                                                                                             
OR,41027,1155131,Hood River County,1352477354,29044350,522.194,11.214,45.511775,-121.655976                                                                                                            
OR,41029,1135853,Jackson County,7208586552,46777807,2783.251,18.061,42.411621,-122.675611                                                                                                              
OR,41031,1155132,Jefferson County,4614570976,26212115,1781.696,10.121,44.645151,-121.178632                                                                                                            
OR,41033,1155133,Josephine County,4244080749,5631773,1638.649,2.174,42.386983,-123.57162                                                                                                               
OR,41035,1155134,Klamath County,15410161575,485164893,5949.897,187.323,42.683761,-121.646168                                                                                                           
OR,41037,1135854,Lake County,21078901114,568489460,8138.61,219.495,42.788401,-120.38979                                                                                                                
OR,41039,1135855,Lane County,11795044832,436058218,4554.092,168.363,43.928334,-122.897581                                                                                                              
OR,41041,1135856,Lincoln County,2540733353,553145247,980.983,213.571,44.641061,-123.911212                                                                                                             
OR,41043,1135857,Linn County,5929797337,50130717,2289.508,19.356,44.488898,-122.537208                                                                                                                 
OR,41045,1135858,Malheur County,25609041940,109006699,9887.707,42.088,43.188625,-117.603191                                                                                                            
OR,41047,1135859,Marion County,3058360793,26468479,1180.84,10.22,44.900898,-122.57626                                                                                                                  
OR,41049,1135860,Morrow County,5259046263,44372727,2030.529,17.132,45.425496,-119.602311                                                                                                               
OR,41051,1135861,Multnomah County,1116334865,88031749,431.019,33.989,45.547711,-122.417363                                                                                                             
OR,41053,1135862,Polk County,1918983619,8331775,740.924,3.217,44.900372,-123.39864                                                                                                                     
OR,41055,1135863,Sherman County,2133151631,19617472,823.614,7.574,45.399216,-120.678512                                                                                                                
OR,41057,1135864,Tillamook County,2857229734,593692069,1103.183,229.226,45.45589,-123.759299                                                                                                           
OR,41059,1156673,Umatilla County,8327976994,41618632,3215.45,16.069,45.5912,-118.73388                                                                                                                 
OR,41061,1164165,Union County,5275651491,4936782,2036.941,1.906,45.304081,-117.999149                                                                                                                  
OR,41063,1155135,Wallowa County,8147835329,14191752,3145.897,5.479,45.593753,-117.18558                                                                                                                
OR,41065,1155136,Wasco County,6167069229,35743076,2381.119,13.8,45.164536,-121.165069                                                                                                                  
OR,41067,1155137,Washington County,1875855600,6118186,724.272,2.362,45.553542,-123.097615                                                                                                              
OR,41069,1135865,Wheeler County,4444475010,1241033,1716.021,0.479,44.736415,-120.026861                                                                                                                
OR,41071,1135866,Yamhill County,1854269943,6382616,715.938,2.464,45.247827,-123.316399                                                                                                                 
