USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
PA,42001,1213656,Adams County,1343104820,8147590,518.576,3.146,39.869437,-77.21775                                                                                                                     
PA,42003,1213657,Allegheny County,1890567432,37048381,729.952,14.304,40.469757,-79.980451                                                                                                              
PA,42005,1213658,Armstrong County,1692093660,27586719,653.321,10.651,40.81238,-79.464129                                                                                                               
PA,42007,1214112,Beaver County,1125854807,24162293,434.695,9.329,40.68414,-80.350721                                                                                                                   
PA,42009,1209171,Bedford County,2621037920,11998904,1011.988,4.633,39.998634,-78.494747                                                                                                                
PA,42011,1209172,Berks County,2218077223,24220126,856.404,9.351,40.413957,-75.92686                                                                                                                    
PA,42013,1213659,Blair County,1359916301,3294803,525.067,1.272,40.498683,-78.309597                                                                                                                    
PA,42015,1213660,Bradford County,2971688853,35331261,1147.376,13.641,41.791504,-76.502123                                                                                                              
PA,42017,1209173,Bucks County,1565511250,45291664,604.447,17.487,40.336887,-75.10706                                                                                                                   
PA,42019,1213661,Butler County,2044750109,16004632,789.482,6.179,40.913847,-79.918978                                                                                                                  
PA,42021,1213662,Cambria County,1781816295,13645124,687.963,5.268,40.510209,-78.710488                                                                                                                 
PA,42023,1213663,Cameron County,1026241974,5651188,396.234,2.182,41.438291,-78.198323                                                                                                                  
PA,42025,1213664,Carbon County,987706484,15918751,381.356,6.146,40.918367,-75.705039                                                                                                                   
PA,42027,1214720,Centre County,2867787635,11295681,1107.259,4.361,40.909322,-77.847667                                                                                                                 
PA,42029,1209174,Chester County,1943917207,22400866,750.551,8.649,39.974029,-75.749751                                                                                                                 
PA,42031,1210234,Clarion County,1556156937,23330902,600.836,9.008,41.198159,-79.420369                                                                                                                 
PA,42033,1209175,Clearfield County,2965691642,24125719,1145.06,9.315,41.006862,-78.477724                                                                                                              
PA,42035,1214721,Clinton County,2304129980,23182058,889.63,8.951,41.239508,-77.629009                                                                                                                  
PA,42037,1213665,Columbia County,1251636166,18574480,483.259,7.172,41.045517,-76.40426                                                                                                                 
