USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
PR,72001,1804480,Adjuntas Municipio,172707653,1051110,66.683,0.406,18.181611,-66.758165                                                                                                                
PR,72003,1804481,Aguada Municipio,79923635,38025989,30.859,14.682,18.375673,-67.185745                                                                                                                 
PR,72005,1804482,Aguadilla Municipio,94642779,101102905,36.542,39.036,18.480191,-67.143762                                                                                                             
PR,72007,1804483,Aguas Buenas Municipio,77919500,28383,30.085,0.011,18.256524,-66.128496                                                                                                               
PR,72009,1804484,Aibonito Municipio,81098530,67829,31.312,0.026,18.130723,-66.26446                                                                                                                    
PR,72011,1804485,Añasco Municipio,101768273,14586805,39.293,5.632,18.286905,-67.131282                                                                                                                 
PR,72013,1804486,Arecibo Municipio,326441294,116989540,126.04,45.17,18.434004,-66.674994                                                                                                               
PR,72015,1804487,Arroyo Municipio,38872745,53456651,15.009,20.64,17.97206,-66.041945                                                                                                                   
PR,72017,1804488,Barceloneta Municipio,48391985,31649616,18.684,12.22,18.469989,-66.55823                                                                                                              
PR,72019,1804489,Barranquitas Municipio,88714044,77812,34.253,0.03,18.200018,-66.309282                                                                                                                
PR,72021,1804490,Bayamón Municipio,115097582,314191,44.439,0.121,18.34942,-66.168626                                                                                                                   
PR,72023,1804491,Cabo Rojo Municipio,182247776,277245345,70.366,107.045,17.997138,-67.180862                                                                                                           
PR,72025,1804492,Caguas Municipio,151783114,1201073,58.604,0.464,18.211109,-66.050964                                                                                                                  
PR,72027,1804493,Camuy Municipio,120259577,40304880,46.432,15.562,18.445469,-66.863134                                                                                                                 
PR,72029,1804494,Canóvanas Municipio,85130269,362179,32.869,0.14,18.330044,-65.886021                                                                                                                  
PR,72031,1804495,Carolina Municipio,117529651,38717131,45.378,14.949,18.396776,-65.968778                                                                                                              
PR,72033,1804496,Cataño Municipio,12515853,5614795,4.832,2.168,18.444614,-66.148819                                                                                                                    
PR,72035,1804497,Cayey Municipio,134509880,68570,51.935,0.026,18.103624,-66.151667                                                                                                                     
PR,72037,1804498,Ceiba Municipio,75201649,336178484,29.036,129.799,18.253265,-65.620765                                                                                                                
PR,72039,1804499,Ciales Municipio,172310534,459604,66.529,0.177,18.295913,-66.515588                                                                                                                   
PR,72041,1804500,Cidra Municipio,93297947,1120363,36.023,0.433,18.174391,-66.161618                                                                                                                    
PR,72043,1804501,Coamo Municipio,202053291,38061,78.013,0.015,18.1038,-66.357586                                                                                                                       
PR,72045,1804502,Comerío Municipio,73558550,318383,28.401,0.123,18.225032,-66.219481                                                                                                                   
PR,72047,1804503,Corozal Municipio,110244080,16284,42.565,0.006,18.30391,-66.326179                                                                                                                    
PR,72049,1804504,Culebra Municipio,30166574,407107287,11.647,157.185,18.326611,-65.307771                                                                                                              
PR,72051,1804505,Dorado Municipio,59869070,79239770,23.116,30.595,18.474376,-66.261973                                                                                                                 
PR,72053,1804506,Fajardo Municipio,77458701,195342715,29.907,75.422,18.386378,-65.588454                                                                                                               
PR,72054,1804507,Florida Municipio,39430436,21333,15.224,0.008,18.368659,-66.562734                                                                                                                    
PR,72055,1804508,Guánica Municipio,96022557,109831778,37.075,42.406,17.948209,-66.922935                                                                                                               
PR,72057,1804509,Guayama Municipio,168447006,108208766,65.038,41.78,17.973929,-66.137467                                                                                                               
PR,72059,1804510,Guayanilla Municipio,109421577,56912432,42.248,21.974,18.005338,-66.798293                                                                                                            
PR,72061,1804511,Guaynabo Municipio,71444635,468302,27.585,0.181,18.344357,-66.114056                                                                                                                  
PR,72063,1804512,Gurabo Municipio,72220853,1108805,27.885,0.428,18.272581,-65.981177                                                                                                                   
PR,72065,1804513,Hatillo Municipio,108117626,43968812,41.744,16.976,18.441141,-66.79821                                                                                                                
PR,72067,1804514,Hormigueros Municipio,29384895,481,11.346,0.0,18.134695,-67.116199                                                                                                                     
PR,72069,1804515,Humacao Municipio,115821799,69096343,44.719,26.678,18.135403,-65.786229                                                                                                               
PR,72071,1804516,Isabela Municipio,143256003,94636772,55.311,36.539,18.483998,-67.013978                                                                                                               
PR,72073,1804517,Jayuya Municipio,115331984,3091,44.53,0.001,18.211152,-66.58687                                                                                                                       
PR,72075,1804518,Juana Díaz Municipio,156319866,121350086,60.355,46.854,17.997974,-66.490496                                                                                                           
PR,72077,1804519,Juncos Municipio,68609109,323994,26.49,0.125,18.224133,-65.908542                                                                                                                     
PR,72079,1804520,Lajas Municipio,155298281,106642415,59.961,41.175,17.978511,-67.040111                                                                                                                
PR,72081,1804521,Lares Municipio,159167733,485277,61.455,0.187,18.276925,-66.869587                                                                                                                    
PR,72083,1804522,Las Marías Municipio,120071823,376224,46.36,0.145,18.227594,-66.97758                                                                                                                 
PR,72085,1804523,Las Piedras Municipio,87748419,32509,33.88,0.013,18.187148,-65.871189                                                                                                                 
PR,72087,1804524,Loíza Municipio,50179424,119730395,19.374,46.228,18.445503,-65.942649                                                                                                                 
PR,72089,1804525,Luquillo Municipio,66851394,53659425,25.811,20.718,18.367996,-65.709904                                                                                                               
PR,72091,1804526,Manatí Municipio,116913019,66163823,45.14,25.546,18.444803,-66.493137                                                                                                                 
PR,72093,1804527,Maricao Municipio,94852003,12228,36.623,0.005,18.173956,-66.935547                                                                                                                    
PR,72095,1804528,Maunabo Municipio,54816717,44549509,21.165,17.201,17.999786,-65.896403                                                                                                                
PR,72097,1804529,Mayagüez Municipio,200954973,508925231,77.589,196.497,18.08385,-67.886337                                                                                                             
PR,72099,1804530,Moca Municipio,130383563,56474,50.341,0.022,18.377637,-67.079574                                                                                                                      
PR,72101,1804531,Morovis Municipio,100676192,139537,38.871,0.054,18.318017,-66.420392                                                                                                                  
PR,72103,1804532,Naguabo Municipio,133801408,53350090,51.661,20.599,18.21107,-65.735749                                                                                                                
PR,72105,1804533,Naranjito Municipio,70969175,898340,27.401,0.347,18.28992,-66.25344                                                                                                                   
PR,72107,1804534,Orocovis Municipio,164765813,402899,63.616,0.156,18.218733,-66.436899                                                                                                                 
PR,72109,1804535,Patillas Municipio,120704457,74065750,46.604,28.597,18.000311,-65.986642                                                                                                              
PR,72111,1804536,Peñuelas Municipio,115643096,60126691,44.65,23.215,18.026618,-66.728125                                                                                                               
PR,72113,1804537,Ponce Municipio,297620970,203747443,114.912,78.667,18.001717,-66.606662                                                                                                               
PR,72115,1804538,Quebradillas Municipio,58710455,30204027,22.668,11.662,18.466357,-66.927603                                                                                                           
PR,72117,1804539,Rincón Municipio,37005462,103924382,14.288,40.125,18.33898,-67.250771                                                                                                                 
PR,72119,1804540,Río Grande Municipio,157008571,74876349,60.621,28.91,18.376369,-65.798434                                                                                                             
PR,72121,1804541,Sabana Grande Municipio,94011778,25323,36.298,0.01,18.084483,-66.947609                                                                                                               
PR,72123,1804542,Salinas Municipio,179755401,115816412,69.404,44.717,17.971485,-66.262252                                                                                                              
PR,72125,1804543,San Germán Municipio,141145285,29099,54.497,0.011,18.1078,-67.037263                                                                                                                  
PR,72127,1804544,San Juan Municipio,124024380,75273472,47.886,29.063,18.422249,-66.069081                                                                                                              
PR,72129,1804545,San Lorenzo Municipio,137547961,256428,53.108,0.099,18.147107,-65.976167                                                                                                              
PR,72131,1804546,San Sebastián Municipio,182403558,2063106,70.426,0.797,18.331064,-66.969064                                                                                                           
PR,72133,1804547,Santa Isabel Municipio,88189167,111096016,34.05,42.894,17.952922,-66.387588                                                                                                           
