USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
SC,45001,1245666,Abbeville County,1272188745,53216416,491.195,20.547,34.229041,-82.454058                                                                                                              
SC,45003,1247979,Aiken County,2773033446,24559163,1070.674,9.482,33.550013,-81.632983                                                                                                                  
SC,45005,1247980,Allendale County,1056960701,11194313,408.095,4.322,32.979757,-81.363265                                                                                                               
SC,45007,1247981,Anderson County,1848873804,108547582,713.854,41.91,34.521235,-82.638603                                                                                                               
SC,45009,1247982,Bamberg County,1018815101,5686290,393.367,2.195,33.203021,-81.053161                                                                                                                  
SC,45011,1247983,Barnwell County,1420305102,22997961,548.383,8.88,33.260552,-81.434228                                                                                                                 
SC,45013,1247984,Beaufort County,1491889118,900045230,576.022,347.509,32.358112,-80.689422                                                                                                             
SC,45015,1247985,Berkeley County,2858335682,339019658,1103.61,130.896,33.2077,-79.953655                                                                                                               
SC,45017,1247986,Calhoun County,987164244,29365859,381.146,11.338,33.67478,-80.780347                                                                                                                  
SC,45019,1252740,Charleston County,2378035235,1162309705,918.165,448.77,32.800458,-79.94248                                                                                                            
SC,45021,1247987,Cherokee County,1017762613,11810936,392.96,4.56,35.049796,-81.607647                                                                                                                  
SC,45023,1247988,Chester County,1504432381,14514845,580.865,5.604,34.689339,-81.161213                                                                                                                 
SC,45025,1247989,Chesterfield County,2069364022,17265236,798.986,6.666,34.637018,-80.159227                                                                                                            
SC,45027,1247990,Clarendon County,1572659562,229094635,607.207,88.454,33.664682,-80.217889                                                                                                             
SC,45029,1247991,Colleton County,2736217578,196986795,1056.46,76.057,32.849386,-80.656402                                                                                                              
SC,45031,1247992,Darlington County,1452022412,14563160,560.629,5.623,34.332185,-79.962115                                                                                                              
SC,45033,1247993,Dillon County,1049143220,4515866,405.076,1.744,34.390164,-79.37521                                                                                                                    
SC,45035,1247998,Dorchester County,1472130993,6775985,568.393,2.616,33.082186,-80.404697                                                                                                               
SC,45037,1247999,Edgefield County,1296776317,16307326,500.688,6.296,33.779453,-81.959637                                                                                                               
SC,45039,1248000,Fairfield County,1777525447,61045167,686.306,23.57,34.395669,-81.127001                                                                                                               
SC,45041,1248001,Florence County,2073307058,9759348,800.508,3.768,34.028535,-79.710233                                                                                                                 
SC,45043,1248002,Georgetown County,2107383729,550477433,813.665,212.541,33.417531,-79.296333                                                                                                           
SC,45045,1245489,Greenville County,2035566804,24964755,785.937,9.639,34.892645,-82.372077                                                                                                              
SC,45047,1248003,Greenwood County,1180013604,21255542,455.606,8.207,34.155796,-82.127876                                                                                                               
SC,45049,1248004,Hampton County,1450327691,7072733,559.975,2.731,32.778334,-81.143822                                                                                                                  
SC,45051,1248005,Horry County,2934864511,314859967,1133.158,121.568,33.909269,-78.976675                                                                                                               
SC,45053,1248006,Jasper County,1696790801,120163761,655.135,46.395,32.430591,-81.021629                                                                                                                
SC,45055,1248007,Kershaw County,1881916510,35348695,726.612,13.648,34.338356,-80.590885                                                                                                                
SC,45057,1248008,Lancaster County,1422354438,15699873,549.174,6.062,34.686818,-80.703688                                                                                                               
SC,45059,1248009,Laurens County,1846327197,26061191,712.871,10.062,34.483676,-82.005498                                                                                                                
SC,45061,1245652,Lee County,1062378291,2709092,410.187,1.046,34.15864,-80.251209                                                                                                                       
SC,45063,1244251,Lexington County,1809330225,151711176,698.586,58.576,33.892309,-81.272974                                                                                                             
SC,45065,1248012,McCormick County,929521239,89977092,358.89,34.74,33.897599,-82.316196                                                                                                                 
SC,45067,1248010,Marion County,1267466471,12418901,489.372,4.795,34.08362,-79.354001                                                                                                                   
SC,45069,1248011,Marlboro County,1242867250,14489019,479.874,5.594,34.60167,-79.679435                                                                                                                 
SC,45071,1248013,Newberry County,1632484450,44099986,630.306,17.027,34.289881,-81.599676                                                                                                               
SC,45073,1244832,Oconee County,1622797504,121709713,626.566,46.992,34.748766,-83.06154                                                                                                                 
SC,45075,1248014,Orangeburg County,2865509345,55697625,1106.379,21.505,33.436135,-80.802913                                                                                                            
SC,45077,1248015,Pickens County,1287059791,40968135,496.937,15.818,34.885368,-82.723377                                                                                                                
SC,45079,1249299,Richland County,1961420496,37960905,757.309,14.657,34.029095,-80.898037                                                                                                               
SC,45081,1248016,Saluda County,1173694743,22987429,453.166,8.875,34.005278,-81.727903                                                                                                                  
SC,45083,1248592,Spartanburg County,2093764801,29439104,808.407,11.367,34.932014,-81.991624                                                                                                            
SC,45085,1244717,Sumter County,1722544866,44046815,665.078,17.007,33.91614,-80.382376                                                                                                                  
SC,45087,1248017,Union County,1330228701,4488751,513.604,1.733,34.690374,-81.615864                                                                                                                    
SC,45089,1248018,Williamsburg County,2419477850,7461200,934.166,2.881,33.626462,-79.716474                                                                                                             
SC,45091,1248019,York County,1762629134,39130525,680.555,15.108,34.970188,-81.183187                                                                                                                   
