USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
SD,46003,1266983,Aurora County,1834902864,11201379,708.46,4.325,43.724719,-98.577587                                                                                                                   
SD,46005,1266986,Beadle County,3260011479,15834717,1258.698,6.114,44.418265,-98.279422                                                                                                                 
SD,46007,1265812,Bennett County,3068208298,15044356,1184.642,5.809,43.186912,-101.677181                                                                                                               
SD,46009,1266997,Bon Homme County,1459586270,46799495,563.549,18.069,42.985714,-97.884175                                                                                                              
SD,46011,1265779,Brookings County,2051833292,32942236,792.217,12.719,44.376675,-96.797797                                                                                                              
SD,46013,1265785,Brown County,4436728205,46414569,1713.03,17.921,45.589254,-98.352175                                                                                                                  
SD,46015,1265768,Brule County,2116594418,75770829,817.222,29.255,43.729873,-99.092909                                                                                                                  
SD,46017,1265767,Buffalo County,1220933806,42362357,471.405,16.356,44.044306,-99.203998                                                                                                                
SD,46019,1265793,Butte County,5827498564,42750488,2250.01,16.506,44.896226,-103.501436                                                                                                                 
SD,46021,1266974,Campbell County,1900214169,96243697,733.677,37.16,45.785575,-100.002107                                                                                                               
SD,46023,1266976,Charles Mix County,2841580912,137517024,1097.141,53.096,43.206185,-98.595143                                                                                                          
SD,46025,1266985,Clark County,2479944304,25864874,957.512,9.986,44.855211,-97.724912                                                                                                                   
SD,46027,1265764,Clay County,1067132267,13978087,412.022,5.397,42.91615,-96.980468                                                                                                                     
SD,46029,1265791,Codington County,1780837002,76608853,687.585,29.579,44.966285,-97.198837                                                                                                              
SD,46031,1265811,Corson County,6396478592,155287098,2469.694,59.957,45.685671,-101.179665                                                                                                              
SD,46033,1265788,Custer County,4032464144,5490769,1556.943,2.12,43.684943,-103.46225                                                                                                                   
SD,46035,1266980,Davison County,1128285060,3404450,435.633,1.314,43.680439,-98.155868                                                                                                                  
SD,46037,1265790,Day County,2663777414,162139506,1028.49,62.602,45.355161,-97.58143                                                                                                                    
SD,46039,1265781,Deuel County,1612885714,35935421,622.739,13.875,44.75629,-96.690239                                                                                                                   
SD,46041,1266994,Dewey County,5963127471,370089902,2302.376,142.893,45.148049,-100.837953                                                                                                              
SD,46043,1266978,Douglas County,1118358781,4832944,431.801,1.866,43.391506,-98.358433                                                                                                                  
SD,46045,1266972,Edmunds County,2916275921,64969684,1125.98,25.085,45.41168,-99.205362                                                                                                                 
SD,46047,1265787,Fall River County,4506292112,24021148,1739.889,9.275,43.221619,-103.512609                                                                                                            
SD,46049,1265760,Faulk County,2542625555,62622903,981.713,24.179,45.065476,-99.153564                                                                                                                  
SD,46051,1265782,Grant County,1764937284,15765681,681.446,6.087,45.172637,-96.772261                                                                                                                   
SD,46053,1265765,Gregory County,2628707540,99900744,1014.95,38.572,43.175142,-99.206591                                                                                                                
SD,46055,1266988,Haakon County,4689279889,42452623,1810.541,16.391,44.288097,-101.540856                                                                                                               
SD,46057,1265766,Hamlin County,1313301309,80297277,507.068,31.003,44.680619,-97.178598                                                                                                                 
SD,46059,1265783,Hand County,3720862891,9284294,1436.633,3.585,44.546713,-99.004575                                                                                                                    
SD,46061,1266979,Hanson County,1125562867,2003166,434.582,0.773,43.680612,-97.796845                                                                                                                   
SD,46063,1265792,Harding County,6919333290,16954253,2671.57,6.546,45.596611,-103.473871                                                                                                                
SD,46065,1265774,Hughes County,1920546196,153323261,741.527,59.198,44.384452,-99.975684                                                                                                                
SD,46067,1265771,Hutchinson County,2105694668,3644220,813.013,1.407,43.33671,-97.749383                                                                                                                
SD,46069,1266984,Hyde County,2229019409,14541548,860.629,5.615,44.537174,-99.472736                                                                                                                    
SD,46071,1265794,Jackson County,4827433507,19106096,1863.883,7.377,43.677506,-101.626323                                                                                                               
SD,46073,1265778,Jerauld County,1362677256,16727973,526.133,6.459,44.06341,-98.62317                                                                                                                   
SD,46075,1266981,Jones County,2511427872,3147180,969.668,1.215,43.951991,-100.686138                                                                                                                   
SD,46077,1265780,Kingsbury County,2155483579,81655106,832.237,31.527,44.362969,-97.499313                                                                                                              
SD,46079,1265776,Lake County,1457879903,31783045,562.891,12.272,44.02845,-97.123223                                                                                                                    
SD,46081,1266996,Lawrence County,2072127356,667509,800.053,0.258,44.348514,-103.806362                                                                                                                 
SD,46083,1265769,Lincoln County,1495182118,1179561,577.293,0.455,43.27942,-96.722286                                                                                                                   
SD,46085,1265789,Lyman County,4253498698,167300444,1642.285,64.595,43.894812,-99.841925                                                                                                                
SD,46087,1265773,McCook County,1487184885,6895715,574.205,2.662,43.680416,-97.358048                                                                                                                   
SD,46089,1265762,McPherson County,2943956443,38506560,1136.668,14.867,45.784249,-99.211421                                                                                                             
SD,46091,1265759,Marshall County,2170620938,124689684,838.081,48.143,45.737044,-97.58087                                                                                                               
SD,46093,1266991,Meade County,8989677172,30742173,3470.934,11.87,44.605282,-102.714169                                                                                                                 
SD,46095,1267177,Mellette County,3385920520,9210222,1307.311,3.556,43.581334,-100.75521                                                                                                                
SD,46097,1265777,Miner County,1476734132,4537900,570.17,1.752,44.021541,-97.608122                                                                                                                     
SD,46099,1265772,Minnehaha County,2089725024,18165219,806.847,7.014,43.667472,-96.795726                                                                                                               
SD,46101,1265775,Moody County,1345185721,3690537,519.379,1.425,44.012429,-96.676054                                                                                                                    
SD,46102,1266992,Oglala Lakota County,5422402222,7126155,2093.601,2.751,43.333393,-102.561486                                                                                                          
SD,46103,1266995,Pennington County,7191788280,19926710,2776.765,7.694,44.002349,-102.823801                                                                                                            
SD,46105,1266990,Perkins County,7434457141,50539948,2870.46,19.514,45.483387,-102.467995                                                                                                               
SD,46107,1265761,Potter County,2230336533,97172021,861.138,37.518,45.052713,-99.962003                                                                                                                 
SD,46109,1265786,Roberts County,2851720400,89929974,1101.055,34.722,45.623397,-96.947551                                                                                                               
SD,46111,1266977,Sanborn County,1474329217,3132216,569.242,1.209,44.018942,-98.091709                                                                                                                  
