USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
TN,47001,1639722,Anderson County,873359909,19657734,337.206,7.59,36.116731,-84.195418                                                                                                                  
TN,47003,1639723,Bedford County,1226719752,2980759,473.639,1.151,35.51366,-86.458294                                                                                                                   
TN,47005,1639724,Benton County,1021248369,108583505,394.306,41.924,36.070948,-88.071232                                                                                                                
TN,47007,1639725,Bledsoe County,1052973468,858669,406.555,0.332,35.593561,-85.20591                                                                                                                    
TN,47009,1639726,Blount County,1447398701,20133735,558.844,7.774,35.688185,-83.922973                                                                                                                  
TN,47011,1639727,Bradley County,851489211,6959141,328.762,2.687,35.153914,-84.859414                                                                                                                   
TN,47013,1639728,Campbell County,1243685305,46425147,480.19,17.925,36.401592,-84.159249                                                                                                                
TN,47015,1648572,Cannon County,687992379,156144,265.635,0.06,35.808394,-86.062404                                                                                                                      
TN,47017,1639729,Carroll County,1547925979,6308712,597.658,2.436,35.965748,-88.452379                                                                                                                  
TN,47019,1639730,Carter County,883854427,16670692,341.258,6.437,36.284744,-82.126593                                                                                                                   
TN,47021,1639731,Cheatham County,783466439,11821692,302.498,4.564,36.255169,-87.100808                                                                                                                 
TN,47023,1639732,Chester County,740053475,575590,285.736,0.222,35.420253,-88.611353                                                                                                                    
TN,47025,1639733,Claiborne County,1125619421,18052387,434.604,6.97,36.501572,-83.660698                                                                                                                
TN,47027,1648573,Clay County,612608183,59089285,236.529,22.815,36.545749,-85.545717                                                                                                                    
TN,47029,1639734,Cocke County,1129584562,17932684,436.135,6.924,35.916198,-83.119224                                                                                                                   
TN,47031,1639735,Coffee County,1111010403,14479480,428.964,5.591,35.488765,-86.078202                                                                                                                  
TN,47033,1648574,Crockett County,687714872,545783,265.528,0.211,35.818795,-89.132494                                                                                                                   
TN,47035,1639736,Cumberland County,1764581460,9092132,681.309,3.51,35.952398,-84.994761                                                                                                                
TN,47037,1639737,Davidson County,1304009580,56414158,503.481,21.782,36.169129,-86.78479                                                                                                                
TN,47039,1639739,Decatur County,864741777,28501002,333.879,11.004,35.603136,-88.110292                                                                                                                 
TN,47041,1639738,DeKalb County,788475293,63639368,304.432,24.571,35.982219,-85.833596                                                                                                                  
TN,47043,1639740,Dickson County,1268833487,3679792,489.899,1.421,36.145533,-87.364155                                                                                                                  
TN,47045,1639741,Dyer County,1326982067,35839863,512.351,13.838,36.054196,-89.398306                                                                                                                   
TN,47047,1639742,Fayette County,1823673514,3692989,704.124,1.426,35.196993,-89.413803                                                                                                                  
TN,47049,1639743,Fentress County,1291385620,841022,498.607,0.325,36.369892,-84.937764                                                                                                                  
TN,47051,1639744,Franklin County,1425977401,55050145,550.573,21.255,35.155926,-86.099203                                                                                                               
TN,47053,1639745,Gibson County,1561102696,2345193,602.745,0.905,35.991632,-88.933812                                                                                                                   
