USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
TX,48001,1383786,Anderson County,2752164823,39845046,1062.617,15.384,31.841261,-95.661727                                                                                                              
TX,48003,1383787,Andrews County,3886758050,1049250,1500.686,0.405,32.312258,-102.640206                                                                                                                
TX,48005,1383788,Angelina County,2066462047,173298854,797.865,66.911,31.251896,-94.611134                                                                                                              
TX,48007,1383789,Aransas County,652854899,714540288,252.069,275.886,28.122621,-96.967501                                                                                                               
TX,48009,1383790,Archer County,2339508193,57767719,903.289,22.304,33.616305,-98.687267                                                                                                                 
TX,48011,1383791,Armstrong County,2354617584,12183672,909.123,4.704,34.964179,-101.356636                                                                                                              
TX,48013,1383792,Atascosa County,3158599705,4992623,1219.542,1.928,28.891478,-98.535381                                                                                                                
TX,48015,1383793,Austin County,1674415877,25596214,646.496,9.883,29.891901,-96.27017                                                                                                                   
TX,48017,1383794,Bailey County,2141847189,1775275,826.972,0.685,34.067521,-102.830345                                                                                                                  
TX,48019,1383795,Bandera County,2048663908,17291422,790.994,6.676,29.756389,-99.248285                                                                                                                 
TX,48021,1383796,Bastrop County,2300500051,19009784,888.228,7.34,30.100772,-97.310639                                                                                                                  
TX,48023,1383797,Baylor County,2246764590,86991035,867.481,33.587,33.618802,-99.208189                                                                                                                 
TX,48025,1383798,Bee County,2279809489,246409,880.239,0.095,28.416077,-97.742586                                                                                                                       
TX,48027,1383799,Bell County,2729423360,94370432,1053.836,36.437,31.042734,-97.48126                                                                                                                   
TX,48029,1383800,Bexar County,3212517260,40698142,1240.36,15.714,29.448671,-98.520147                                                                                                                  
TX,48031,1383801,Blanco County,1836953707,10813186,709.252,4.175,30.266203,-98.399332                                                                                                                  
TX,48033,1383802,Borden County,2324366072,22297606,897.443,8.609,32.73859,-101.439199                                                                                                                  
TX,48035,1383803,Bosque County,2545883877,50838528,982.971,19.629,31.900819,-97.637641                                                                                                                 
TX,48037,1383804,Bowie County,2291982022,98385599,884.939,37.987,33.446065,-94.422393                                                                                                                  
TX,48039,1383805,Brazoria County,3530893148,635502987,1363.286,245.369,29.167817,-95.434647                                                                                                            
TX,48041,1383806,Brazos County,1518090937,13210254,586.138,5.101,30.656713,-96.302394                                                                                                                  
TX,48043,1383807,Brewster County,16015872747,22061017,6183.763,8.518,29.808997,-103.252458                                                                                                             
TX,48045,1383808,Briscoe County,2330991073,4068657,900.001,1.571,34.525172,-101.205893                                                                                                                 
TX,48047,1383809,Brooks County,2443277014,741627,943.355,0.286,27.034994,-98.215276                                                                                                                    
TX,48049,1383810,Brown County,2446120254,32375524,944.452,12.5,31.764137,-98.998456                                                                                                                    
TX,48051,1383811,Burleson County,1707015415,46043534,659.082,17.778,30.493487,-96.622091                                                                                                               
TX,48053,1383812,Burnet County,2576613155,69768878,994.836,26.938,30.78963,-98.201187                                                                                                                  
TX,48055,1383813,Caldwell County,1410355148,4949869,544.541,1.911,29.832399,-97.628141                                                                                                                 
TX,48057,1383814,Calhoun County,1312947260,1361644522,506.932,525.734,28.441719,-96.579574                                                                                                             
TX,48059,1383815,Callahan County,2329363243,4898783,899.372,1.891,32.29315,-99.372249                                                                                                                  
TX,48061,1383816,Cameron County,2309546780,1004825707,891.721,387.965,26.102923,-97.478958                                                                                                             
TX,48063,1383817,Camp County,507242364,19129375,195.847,7.386,32.974581,-94.979085                                                                                                                     
TX,48065,1383818,Carson County,2383397226,10026604,920.235,3.871,35.405496,-101.355356                                                                                                                 
TX,48067,1383819,Cass County,2426682342,60495293,936.947,23.357,33.083698,-94.357579                                                                                                                   
TX,48069,1383820,Castro County,2316600394,12557414,894.444,4.848,34.533621,-102.258786                                                                                                                 
TX,48071,1383821,Chambers County,1546772773,709489352,597.212,273.935,29.696374,-94.669445                                                                                                             
TX,48073,1383822,Cherokee County,2727137884,23876781,1052.954,9.219,31.843881,-95.156343                                                                                                               
TX,48075,1383823,Childress County,1803954628,44560655,696.511,17.205,34.524624,-100.208166                                                                                                             
TX,48077,1383824,Clay County,2819873723,72504932,1088.759,27.994,33.785904,-98.212917                                                                                                                  
TX,48079,1383825,Cochran County,2007453830,229068,775.082,0.088,33.60844,-102.830449                                                                                                                   
TX,48081,1383826,Coke County,2361153198,42331832,911.646,16.344,31.87711,-100.635231                                                                                                                   
TX,48083,1383827,Coleman County,3270933230,47963343,1262.914,18.519,31.914205,-99.346622                                                                                                               
TX,48085,1383828,Collin County,2179124834,115254448,841.365,44.5,33.194494,-96.579428                                                                                                                  
TX,48087,1383829,Collingsworth County,2378750407,2278703,918.441,0.88,34.963358,-100.272135                                                                                                            
TX,48089,1383830,Colorado County,2487142714,34691167,960.291,13.394,29.596296,-96.508935                                                                                                               
TX,48091,1383831,Comal County,1449193858,39744161,559.537,15.345,29.812377,-98.258129                                                                                                                  
TX,48093,1383832,Comanche County,2428768926,25719485,937.753,9.93,31.951645,-98.549617                                                                                                                 
TX,48095,1383833,Concho County,2547914005,25740025,983.755,9.938,31.318883,-99.863649                                                                                                                  
TX,48097,1383834,Cooke County,2265789888,61319327,874.826,23.676,33.639196,-97.210343                                                                                                                  
TX,48099,1383835,Coryell County,2725307440,11833644,1052.247,4.569,31.391177,-97.798022                                                                                                                
TX,48101,1383836,Cottle County,2332448732,2723997,900.564,1.052,34.091906,-100.276442                                                                                                                  
TX,48103,1383837,Crane County,2033319685,1695980,785.069,0.655,31.422796,-102.487774                                                                                                                   
TX,48105,1383838,Crockett County,7270935061,53329,2807.324,0.021,30.717532,-101.404211                                                                                                                 
TX,48107,1383839,Crosby County,2331503444,3873557,900.199,1.496,33.609144,-101.29871                                                                                                                   
TX,48109,1383840,Culberson County,9873439555,556134,3812.156,0.215,31.445908,-104.526945                                                                                                               
TX,48111,1383841,Dallam County,3893666619,4609040,1503.353,1.78,36.28637,-102.59402                                                                                                                    
TX,48113,1383842,Dallas County,2261472801,91902249,873.16,35.484,32.766987,-96.778424                                                                                                                  
TX,48115,1383843,Dawson County,2331781562,4720730,900.306,1.823,32.742528,-101.948771                                                                                                                  
TX,48117,1383845,Deaf Smith County,3876750569,3926557,1496.822,1.516,34.940766,-102.607564                                                                                                             
TX,48119,1383846,Delta County,665192724,54647564,256.832,21.1,33.385933,-95.67335                                                                                                                      
TX,48121,1383847,Denton County,2275952556,188838351,878.75,72.911,33.205132,-97.12114                                                                                                                  
TX,48123,1383844,DeWitt County,2354237964,3919919,908.976,1.513,29.082346,-97.361654                                                                                                                   
TX,48125,1383848,Dickens County,2335454676,9057848,901.724,3.497,33.615363,-100.787617                                                                                                                 
TX,48127,1383849,Dimmit County,3441795902,14575999,1328.885,5.628,28.423587,-99.765871                                                                                                                 
TX,48129,1383850,Donley County,2401014207,15563758,927.037,6.009,34.955036,-100.815846                                                                                                                 
TX,48131,1383851,Duval County,4645084669,5478267,1793.477,2.115,27.681123,-98.497393                                                                                                                   
TX,48133,1383852,Eastland County,2399644791,14002299,926.508,5.406,32.324645,-98.83656                                                                                                                 
TX,48135,1383853,Ector County,2325508554,10188915,897.884,3.934,31.865301,-102.542507                                                                                                                  
TX,48137,1383854,Edwards County,5485263220,5196312,2117.872,2.006,29.985933,-100.3074                                                                                                                  
TX,48139,1383856,Ellis County,2423644484,41912177,935.774,16.182,32.346878,-96.79694                                                                                                                   
TX,48141,1383855,El Paso County,2625018848,4548525,1013.525,1.756,31.766456,-106.24152                                                                                                                 
TX,48143,1383857,Erath County,2805419712,17166727,1083.179,6.628,32.236669,-98.220545                                                                                                                  
TX,48145,1383858,Falls County,1982623104,21693054,765.495,8.376,31.25193,-96.934127                                                                                                                    
TX,48147,1383859,Fannin County,2273850338,54247784,877.939,20.945,33.591161,-96.104988                                                                                                                 
TX,48149,1383860,Fayette County,2460316915,25574662,949.934,9.874,29.877886,-96.921231                                                                                                                 
TX,48151,1383861,Fisher County,2328272083,7258480,898.951,2.803,32.740473,-100.40312                                                                                                                   
TX,48153,1383862,Floyd County,2569637282,983737,992.143,0.38,34.07373,-101.303274                                                                                                                      
TX,48155,1383863,Foard County,1824378631,8514741,704.397,3.288,33.963306,-99.816828                                                                                                                    
TX,48157,1383864,Fort Bend County,2232012416,60775073,861.785,23.465,29.526602,-95.771015                                                                                                              
TX,48159,1383865,Franklin County,736569934,26875120,284.391,10.377,33.175846,-95.219066                                                                                                                
TX,48161,1383866,Freestone County,2273311865,36936963,877.731,14.261,31.701749,-96.144957                                                                                                              
TX,48163,1383867,Frio County,2935753502,2193621,1133.501,0.847,28.869383,-99.109005                                                                                                                    
TX,48165,1383868,Gaines County,3891102466,1262946,1502.363,0.488,32.743942,-102.631561                                                                                                                 
TX,48167,1383869,Galveston County,982674728,1280831813,379.413,494.532,29.233927,-94.888197                                                                                                            
TX,48169,1383870,Garza County,2313937122,7209242,893.416,2.784,33.183792,-101.301134                                                                                                                   
TX,48171,1383871,Gillespie County,2740733391,8998524,1058.203,3.474,30.325093,-98.94185                                                                                                                
TX,48173,1383872,Glasscock County,2331552974,2245302,900.218,0.867,31.868006,-101.521494                                                                                                               
TX,48175,1383873,Goliad County,2206698612,19050015,852.011,7.355,28.6607,-97.430415                                                                                                                    
TX,48177,1383874,Gonzales County,2762704899,8204086,1066.686,3.168,29.461912,-97.49192                                                                                                                 
TX,48179,1383875,Gray County,2398261679,8700790,925.974,3.359,35.402542,-100.812374                                                                                                                    
TX,48181,1383876,Grayson County,2416024355,120093895,932.832,46.369,33.624548,-96.675777                                                                                                               
TX,48183,1383877,Gregg County,708052134,6206460,273.38,2.396,32.486401,-94.816277                                                                                                                      
TX,48185,1383878,Grimes County,2039529876,36607972,787.467,14.134,30.543231,-95.988082                                                                                                                 
TX,48187,1383879,Guadalupe County,1842133774,9159633,711.252,3.537,29.582671,-97.948995                                                                                                                
TX,48189,1383880,Hale County,2602109424,246678,1004.68,0.095,34.068436,-101.822888                                                                                                                     
TX,48191,1383881,Hall County,2288233614,53366403,883.492,20.605,34.453189,-100.576343                                                                                                                  
TX,48193,1383882,Hamilton County,2165008743,1238628,835.915,0.478,31.707342,-98.111756                                                                                                                 
TX,48195,1383883,Hansford County,2382296646,1548341,919.81,0.598,36.272847,-101.35693                                                                                                                  
TX,48197,1383884,Hardeman County,1800337386,4548860,695.114,1.756,34.289904,-99.745697                                                                                                                 
TX,48199,1383885,Hardin County,2306583500,17999226,890.577,6.95,30.329648,-94.393178                                                                                                                   
TX,48201,1383886,Harris County,4421854725,181483397,1707.288,70.071,29.857273,-95.393037                                                                                                               
TX,48203,1383887,Harrison County,2331141024,40649337,900.059,15.695,32.547991,-94.374434                                                                                                               
TX,48205,1383888,Hartley County,3786445016,3013675,1461.955,1.164,35.840244,-102.610047                                                                                                                
TX,48207,1383889,Haskell County,2339103808,18465208,903.133,7.129,33.175964,-99.730774                                                                                                                 
TX,48209,1383890,Hays County,1753038663,5043723,676.852,1.947,30.061225,-98.029267                                                                                                                     
TX,48211,1383891,Hemphill County,2347270015,15205586,906.286,5.871,35.815956,-100.27921                                                                                                                
TX,48213,1383892,Henderson County,2263061904,193353703,873.773,74.654,32.211633,-95.853418                                                                                                             
TX,48215,1383893,Hidalgo County,4069467430,30046707,1571.23,11.601,26.396384,-98.18099                                                                                                                 
TX,48217,1383894,Hill County,2483430537,69544386,958.858,26.851,31.982641,-97.130632                                                                                                                   
TX,48219,1383895,Hockley County,2352723974,446119,908.392,0.172,33.605932,-102.343398                                                                                                                  
TX,48221,1383896,Hood County,1089711889,41748777,420.74,16.119,32.430149,-97.831677                                                                                                                    
TX,48223,1383897,Hopkins County,1987637219,65631763,767.431,25.341,33.148967,-95.565434                                                                                                                
TX,48225,1383898,Houston County,3188268195,14446047,1230.997,5.578,31.323036,-95.4216                                                                                                                  
TX,48227,1383899,Howard County,2333034781,8846149,900.79,3.416,32.30343,-101.438721                                                                                                                    
TX,48229,1383900,Hudspeth County,11837584064,2114586,4570.517,0.816,31.450868,-105.377549                                                                                                              
TX,48231,1383901,Hunt County,2176683250,107758299,840.422,41.606,33.123308,-96.08423                                                                                                                   
TX,48233,1383902,Hutchinson County,2298418616,19497034,887.424,7.528,35.837047,-101.362746                                                                                                             
TX,48235,1383903,Irion County,2723485993,176317,1051.544,0.068,31.303424,-100.981304                                                                                                                   
TX,48237,1383904,Jack County,2359405672,23704614,910.972,9.152,33.23216,-98.171177                                                                                                                     
TX,48239,1383905,Jackson County,2148246693,71039573,829.443,27.429,28.959802,-96.58908                                                                                                                 
TX,48241,1383906,Jasper County,2431105362,80399907,938.655,31.043,30.752932,-94.022294                                                                                                                 
TX,48243,1383907,Jeff Davis County,5865172239,206206,2264.556,0.08,30.625357,-104.191873                                                                                                               
TX,48245,1383908,Jefferson County,2270733846,611203762,876.735,235.987,29.854,-94.149331                                                                                                               
TX,48247,1383909,Jim Hogg County,2942674728,92565,1136.173,0.036,27.053231,-98.747572                                                                                                                  
TX,48249,1383910,Jim Wells County,2240795374,8723372,865.176,3.368,27.733516,-98.090814                                                                                                                
TX,48251,1383911,Johnson County,1877895037,23786930,725.059,9.184,32.379654,-97.364906                                                                                                                 
TX,48253,1383912,Jones County,2405078243,22095884,928.606,8.531,32.743709,-99.87443                                                                                                                    
TX,48255,1383913,Karnes County,1936669680,15010315,747.752,5.796,28.908996,-97.852205                                                                                                                  
TX,48257,1383914,Kaufman County,2022025387,69426826,780.708,26.806,32.598944,-96.288377                                                                                                                
TX,48259,1383915,Kendall County,1715747611,1496797,662.454,0.578,29.943525,-98.709269                                                                                                                  
TX,48261,1383916,Kenedy County,3777657843,1261927310,1458.562,487.233,26.890213,-97.591143                                                                                                             
TX,48263,1383917,Kent County,2337482031,1065195,902.507,0.411,33.18478,-100.76972                                                                                                                      
TX,48265,1383918,Kerr County,2857619178,10230198,1103.333,3.95,30.059953,-99.353339                                                                                                                    
