USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
UT,49001,1448015,Beaver County,6689710369,5298466,2582.912,2.046,38.357535,-113.238948                                                                                                                 
UT,49003,1455966,Box Elder County,14973507313,2455159793,5781.304,947.943,41.622623,-113.060252                                                                                                        
UT,49005,1448017,Cache County,3016525068,21115037,1164.687,8.153,41.734118,-111.745394                                                                                                                 
UT,49007,1448018,Carbon County,3831481453,15484604,1479.343,5.979,39.673284,-110.588484                                                                                                                
UT,49009,1448019,Daggett County,1803965918,61230034,696.515,23.641,40.890099,-109.505785                                                                                                               
UT,49011,1448020,Davis County,841107033,804149067,324.753,310.484,41.037559,-112.201943                                                                                                                
UT,49013,1448021,Duchesne County,8379965573,38811228,3235.523,14.985,40.289393,-110.429584                                                                                                             
UT,49015,1448022,Emery County,11558171971,24695314,4462.635,9.535,39.009025,-110.7211                                                                                                                  
UT,49017,1448023,Garfield County,13414986703,75978582,5179.556,29.335,37.831663,-111.450907                                                                                                            
UT,49019,1448024,Grand County,9512657345,30634870,3672.858,11.828,38.974326,-109.57345                                                                                                                 
UT,49021,1448025,Iron County,8537032446,11390957,3296.167,4.398,37.909304,-113.30674                                                                                                                   
UT,49023,1455158,Juab County,8784753342,36271581,3391.812,14.005,39.71412,-112.790471                                                                                                                  
UT,49025,1448026,Kane County,10344775613,292843946,3994.14,113.068,37.275089,-111.815329                                                                                                               
UT,49027,1448027,Millard County,17574316027,133292861,6785.482,51.465,38.956744,-113.133092                                                                                                            
UT,49029,1448028,Morgan County,1577814088,4437369,609.197,1.713,41.091027,-111.577885                                                                                                                  
UT,49031,1448029,Piute County,1963753824,20286511,758.21,7.833,38.335881,-112.129375                                                                                                                   
UT,49033,1448030,Rich County,2664471792,149106409,1028.758,57.57,41.627598,-111.240227                                                                                                                 
UT,49035,1448031,Salt Lake County,1949876460,136855044,752.852,52.84,40.667883,-111.92424                                                                                                              
UT,49037,1448032,San Juan County,20263457815,285011859,7823.765,110.044,37.602633,-109.791574                                                                                                          
UT,49039,1448033,Sanpete County,4117605578,32165095,1589.816,12.419,39.373426,-111.576933                                                                                                              
UT,49041,1448034,Sevier County,4948109947,20139931,1910.476,7.776,38.746824,-111.81193                                                                                                                 
UT,49043,1448035,Summit County,4845023362,26030792,1870.674,10.051,40.87206,-110.968486                                                                                                                
UT,49045,1448036,Tooele County,18234216269,636477482,7040.271,245.745,40.467753,-113.123979                                                                                                            
UT,49047,1448037,Uintah County,11610607593,55966014,4482.881,21.609,40.125887,-109.517748                                                                                                              
UT,49049,1448038,Utah County,5191527719,362177780,2004.46,139.838,40.120418,-111.668563                                                                                                                
UT,49051,1448039,Wasatch County,3048291114,79107621,1176.952,30.544,40.334884,-111.161568                                                                                                              
UT,49053,1448040,Washington County,6287425958,7782767,2427.589,3.005,37.262531,-113.4878                                                                                                               
UT,49055,1448041,Wayne County,6374203167,14660837,2461.094,5.661,38.259856,-110.990872                                                                                                                 
UT,49057,1448042,Weber County,1582541439,126602101,611.023,48.881,41.270325,-111.876883                                                                                                                
