USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
VA,51001,1480091,Accomack County,1163688510,2229297380,449.303,860.737,37.765944,-75.757807                                                                                                            
VA,51003,1675170,Albemarle County,1866027153,14210136,720.477,5.487,38.024184,-78.553506                                                                                                               
VA,51005,1673675,Alleghany County,1156616595,8162743,446.572,3.152,37.787905,-80.008669                                                                                                                
VA,51007,1497770,Amelia County,920379344,8188217,355.36,3.161,37.331927,-77.977462                                                                                                                     
VA,51009,1480095,Amherst County,1227554632,12898694,473.962,4.98,37.629301,-79.154756                                                                                                                  
VA,51011,1497238,Appomattox County,865635287,3206454,334.224,1.238,37.370725,-78.81094                                                                                                                 
VA,51013,1480097,Arlington County,67332991,273562,25.997,0.106,38.878337,-77.100703                                                                                                                    
VA,51015,1480098,Augusta County,2504708863,9537137,967.074,3.682,38.17259,-79.140975                                                                                                                   
VA,51017,1673638,Bath County,1370626044,14039993,529.202,5.421,38.068368,-79.731203                                                                                                                    
VA,51019,1674818,Bedford County,1968691310,42058982,760.116,16.239,37.312257,-79.527223                                                                                                                
VA,51021,1494613,Bland County,926296565,2561891,357.645,0.989,37.130612,-81.125853                                                                                                                     
VA,51023,1674418,Botetourt County,1401898973,12126225,541.276,4.682,37.565482,-79.797546                                                                                                               
VA,51025,1493961,Brunswick County,1466842628,8368077,566.351,3.231,36.764204,-77.861483                                                                                                                
VA,51027,1497431,Buchanan County,1302387764,2803578,502.855,1.082,37.26812,-82.038151                                                                                                                  
VA,51029,1501502,Buckingham County,1501215443,9911855,579.623,3.827,37.573928,-78.529169                                                                                                               
VA,51031,1674917,Campbell County,1303430816,8887974,503.257,3.432,37.210152,-79.095428                                                                                                                 
VA,51033,1480107,Caroline County,1365869819,24919385,527.365,9.621,38.028033,-77.353736                                                                                                                
VA,51035,1480108,Carroll County,1229575930,7586185,474.742,2.929,36.731963,-80.727831                                                                                                                  
VA,51036,1480109,Charles City County,473711550,55274680,182.901,21.342,37.361054,-77.05417                                                                                                             
VA,51037,1492442,Charlotte County,1231010115,5809378,475.296,2.243,37.009042,-78.658568                                                                                                                
VA,51041,1480111,Chesterfield County,1096874572,34967237,423.506,13.501,37.378434,-77.585847                                                                                                           
VA,51043,1690562,Clarke County,455729730,5685740,175.958,2.195,39.115307,-77.990748                                                                                                                    
VA,51045,1673664,Craig County,849770441,2793174,328.098,1.078,37.473603,-80.231051                                                                                                                     
VA,51047,1497831,Culpeper County,982069270,9012539,379.179,3.48,38.48593,-77.956476                                                                                                                    
VA,51049,1494109,Cumberland County,770454313,5917833,297.474,2.285,37.520189,-78.252836                                                                                                                
VA,51051,1497376,Dickenson County,855841910,8100226,330.442,3.128,37.136701,-82.34922                                                                                                                  
VA,51053,1690739,Dinwiddie County,1304903542,8988308,503.826,3.47,37.073498,-77.635492                                                                                                                 
