USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
VT,50001,1461757,Addison County,1984788915,107311070,766.331,41.433,44.031248,-73.141581                                                                                                               
VT,50003,1461758,Bennington County,1746266392,6896313,674.237,2.663,43.035328,-73.111496                                                                                                               
VT,50005,1461759,Caledonia County,1681454161,22351442,649.213,8.63,44.468791,-72.112168                                                                                                                
VT,50007,1461760,Chittenden County,1390433441,217071279,536.849,83.812,44.463329,-73.06941                                                                                                             
VT,50009,1461761,Essex County,1715530626,28688441,662.37,11.077,44.724021,-71.732736                                                                                                                   
VT,50011,1461762,Franklin County,1634181032,150651912,630.961,58.167,44.858964,-72.909402                                                                                                              
VT,50013,1461763,Grand Isle County,211782349,288954848,81.77,111.566,44.801787,-73.300759                                                                                                              
VT,50015,1461764,Lamoille County,1194643959,12744800,461.255,4.921,44.611192,-72.632659                                                                                                                
VT,50017,1461765,Orange County,1779343340,12005265,687.008,4.635,44.003373,-72.369579                                                                                                                  
VT,50019,1461766,Orleans County,1798880704,71408888,694.552,27.571,44.828442,-72.25163                                                                                                                 
VT,50021,1461767,Rutland County,2410117478,38757463,930.552,14.964,43.612399,-73.060304                                                                                                                
VT,50023,1461768,Washington County,1779477067,21517931,687.06,8.308,44.274969,-72.609444                                                                                                               
VT,50025,1461769,Windham County,2035623279,32917049,785.959,12.709,42.995304,-72.721877                                                                                                                
VT,50027,1461770,Windsor County,2510071971,19366112,969.144,7.477,43.572448,-72.598813                                                                                                                 
