USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
WA,53001,1531601,Adams County,4985698853,12464425,1924.989,4.813,47.011238,-118.512861                                                                                                                 
WA,53003,1533502,Asotin County,1647427910,11291731,636.075,4.36,46.181861,-117.227781                                                                                                                  
WA,53005,1513302,Benton County,4403309857,154293635,1700.128,59.573,46.228125,-119.516659                                                                                                              
WA,53007,1531932,Chelan County,7565814950,189653434,2921.178,73.226,47.860974,-120.619041                                                                                                              
WA,53009,1531341,Clallam County,4503402670,2409320051,1738.774,930.244,48.110903,-123.88986                                                                                                            
WA,53011,1531820,Clark County,1627809527,70183550,628.501,27.098,45.77173,-122.485953                                                                                                                  
WA,53013,1513273,Columbia County,2249624762,12561759,868.585,4.85,46.29285,-117.911634                                                                                                                 
WA,53015,1529156,Cowlitz County,2955587567,65650974,1141.159,25.348,46.196785,-122.67846                                                                                                               
WA,53017,1531818,Douglas County,4711819967,76557106,1819.244,29.559,47.741763,-119.694622                                                                                                              
WA,53019,1531821,Ferry County,5706368570,140294391,2203.241,54.168,48.473256,-118.533589                                                                                                               
WA,53021,1531822,Franklin County,3215718475,60508754,1241.596,23.363,46.537502,-118.903891                                                                                                             
WA,53023,1533500,Garfield County,1841054900,19294817,710.835,7.45,46.429318,-117.536705                                                                                                                
WA,53025,1531924,Grant County,6939995079,289820268,2679.547,111.9,47.213633,-119.467788                                                                                                                
WA,53027,1531823,Grays Harbor County,4924769828,834335108,1901.464,322.139,47.113732,-123.826735                                                                                                       
WA,53029,1513272,Island County,539943912,799920796,208.474,308.851,48.158554,-122.670649                                                                                                               
WA,53031,1531936,Jefferson County,4671633806,994992501,1803.728,384.169,47.805708,-123.527057                                                                                                          
WA,53033,1531933,King County,5479626341,496518946,2115.696,191.707,47.490552,-121.833977                                                                                                               
WA,53035,1529223,Kitsap County,1023333489,442162371,395.111,170.72,47.639687,-122.649636                                                                                                               
WA,53037,1531926,Kittitas County,5949957158,92507199,2297.291,35.717,47.124441,-120.676709                                                                                                             
WA,53039,1529219,Klickitat County,4847515943,84930636,1871.636,32.792,45.870446,-120.779305                                                                                                            
WA,53041,1531927,Lewis County,6223175360,86929743,2402.782,33.564,46.580071,-122.377444                                                                                                                
WA,53043,1514052,Lincoln County,5984424968,75262192,2310.599,29.059,47.582743,-118.417692                                                                                                              
WA,53045,1529221,Mason County,2485231718,236956999,959.553,91.49,47.350832,-123.173103                                                                                                                 
WA,53047,1531928,Okanogan County,13639376693,120435134,5266.193,46.5,48.548453,-119.742235                                                                                                             
WA,53049,1513274,Pacific County,2417424652,759293242,933.373,293.165,46.556587,-123.782419                                                                                                             
WA,53051,1529157,Pend Oreille County,3626617243,65406812,1400.245,25.254,48.543825,-117.232191                                                                                                         
WA,53053,1529159,Pierce County,4320111206,356088226,1668.004,137.486,47.051413,-122.15324                                                                                                              
WA,53055,1531931,San Juan County,450435997,1157474748,173.914,446.904,48.50719,-123.103769                                                                                                             
WA,53057,1531402,Skagit County,4481277787,483821018,1730.231,186.804,48.493292,-121.81577                                                                                                              
WA,53059,1529220,Skamania County,4294894338,73326450,1658.268,28.312,46.024785,-121.953232                                                                                                             
WA,53061,1529222,Snohomish County,5404047763,282924412,2086.515,109.238,48.054913,-121.765038                                                                                                          
WA,53063,1529225,Spokane County,4569319088,43407377,1764.224,16.76,47.620375,-117.403371                                                                                                               
WA,53065,1531930,Stevens County,6415666347,162933477,2477.103,62.909,48.388728,-117.854455                                                                                                             
WA,53067,1529226,Thurston County,1871269456,133615150,722.501,51.589,46.935822,-122.830152                                                                                                             
WA,53069,1513275,Wahkiakum County,680980773,61564428,262.928,23.77,46.294638,-123.424458                                                                                                               
WA,53071,1531819,Walla Walla County,3289370350,74932288,1270.033,28.932,46.254606,-118.48037                                                                                                           
WA,53073,1529224,Whatcom County,5459563210,1028031788,2107.949,396.925,48.842653,-121.836432                                                                                                           
WA,53075,1533501,Whitman County,5592463289,48246698,2159.262,18.628,46.905944,-117.53539                                                                                                               
WA,53077,1531929,Yakima County,11122734358,41188783,4294.512,15.903,46.456558,-120.740145                                                                                                              
