USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
WI,55001,1581060,Adams County,1672216223,108348983,645.646,41.834,43.973757,-89.767228                                                                                                                 
WI,55003,1581061,Ashland County,2706458789,3230728302,1044.97,1247.391,46.544424,-90.679691                                                                                                            
WI,55005,1581062,Barron County,2235299817,69176084,863.054,26.709,45.437192,-91.852892                                                                                                                 
WI,55007,1581063,Bayfield County,3827694390,1460283600,1477.881,563.819,46.634199,-91.177282                                                                                                           
WI,55009,1581064,Brown County,1372931376,221810753,530.092,85.642,44.474024,-87.99613                                                                                                                  
WI,55011,1581065,Buffalo County,1750291805,87548524,675.791,33.803,44.385633,-91.761294                                                                                                                
WI,55013,1581066,Burnett County,2127924604,151846361,821.596,58.628,45.866897,-92.37573                                                                                                                
WI,55015,1581067,Calumet County,824263567,204161559,318.25,78.827,44.07841,-88.212132                                                                                                                  
WI,55017,1581068,Chippewa County,2611628498,85233303,1008.355,32.909,45.069092,-91.283505                                                                                                              
WI,55019,1581069,Clark County,3133102386,23238613,1209.698,8.972,44.739166,-90.609909                                                                                                                  
WI,55021,1581070,Columbia County,1982894138,78697071,765.6,30.385,43.471882,-89.330472                                                                                                                 
WI,55023,1581071,Crawford County,1478377507,73569257,570.805,28.405,43.242768,-90.935185                                                                                                               
WI,55025,1581072,Dane County,3098912243,106204015,1196.497,41.006,43.067468,-89.417852                                                                                                                 
WI,55027,1581073,Dodge County,2268049933,81331198,875.699,31.402,43.429628,-88.701939                                                                                                                  
WI,55029,1581074,Door County,1248209716,4890672315,481.936,1888.299,45.093417,-87.048683                                                                                                               
WI,55031,1581075,Douglas County,3378048644,454293036,1304.272,175.404,46.463218,-91.892477                                                                                                             
WI,55033,1581076,Dunn County,2201902873,35572579,850.159,13.735,44.947751,-91.897645                                                                                                                   
WI,55035,1581077,Eau Claire County,1652211242,18848551,637.922,7.277,44.726355,-91.286414                                                                                                              
WI,55037,1581078,Florence County,1263976516,24111637,488.024,9.31,45.871828,-88.406988                                                                                                                 
WI,55039,1581079,Fond du Lac County,1863667254,119853822,719.566,46.276,43.754722,-88.493284                                                                                                           
WI,55041,1581080,Forest County,2626936117,83536591,1014.266,32.254,45.666881,-88.773326                                                                                                                
WI,55043,1581081,Grant County,2972281305,92642517,1147.604,35.769,42.870028,-90.694229                                                                                                                 
WI,55045,1581082,Green County,1512667177,1313241,584.044,0.507,42.675522,-89.605074                                                                                                                    
WI,55047,1581083,Green Lake County,905306376,79211051,349.541,30.584,43.780247,-88.97038                                                                                                               
WI,55049,1581084,Iowa County,1975379654,13870580,762.698,5.355,43.001021,-90.133691                                                                                                                    
WI,55051,1581085,Iron County,1963763896,416859798,758.214,160.95,46.32655,-90.261298                                                                                                                   
WI,55053,1581086,Jackson County,2558687748,32538319,987.915,12.563,44.32459,-90.79951                                                                                                                  
WI,55055,1581087,Jefferson County,1441308987,67985150,556.493,26.249,43.013804,-88.773985                                                                                                              
WI,55057,1581088,Juneau County,1986729544,98638538,767.081,38.085,43.932836,-90.113984                                                                                                                 
WI,55059,1581089,Kenosha County,704044388,1248872159,271.833,482.192,42.587526,-87.879996                                                                                                              
WI,55061,1581090,Kewaunee County,886951785,1921336269,342.454,741.832,44.605677,-87.448008                                                                                                             
WI,55063,1581091,La Crosse County,1170164969,73160503,451.803,28.247,43.908222,-91.111758                                                                                                              
WI,55065,1581092,Lafayette County,1640985417,2539010,633.588,0.98,42.655578,-90.130292                                                                                                                 
WI,55067,1581093,Langlade County,2255076043,44299597,870.69,17.104,45.254863,-89.06707                                                                                                                 
WI,55069,1581094,Lincoln County,2275848027,72729582,878.71,28.081,45.333148,-89.73224                                                                                                                  
WI,55071,1581095,Manitowoc County,1526302545,2343337602,589.309,904.768,44.156137,-87.577352                                                                                                           
WI,55073,1581096,Marathon County,4002148704,80538130,1545.238,31.096,44.898036,-89.757823                                                                                                              
WI,55075,1581097,Marinette County,3624605661,389870112,1399.468,150.53,45.346899,-87.991198                                                                                                            
WI,55077,1581098,Marquette County,1180290400,22667821,455.713,8.752,43.826053,-89.409095                                                                                                               
WI,55078,1581099,Menominee County,926217566,19022479,357.615,7.345,44.991304,-88.669251                                                                                                                
WI,55079,1581100,Milwaukee County,625371986,2455452227,241.457,948.055,42.912643,-87.862312                                                                                                            
WI,55081,1581101,Monroe County,2333329776,18586766,900.904,7.176,43.945175,-90.619969                                                                                                                  
WI,55083,1581102,Oconto County,2583453832,392049247,997.477,151.371,44.996575,-88.206516                                                                                                               
WI,55085,1581103,Oneida County,2885102804,317602358,1113.944,122.627,45.716176,-89.534533                                                                                                              
WI,55087,1581104,Outagamie County,1651266091,18260943,637.557,7.051,44.418226,-88.464988                                                                                                               
WI,55089,1581105,Ozaukee County,603495165,2287434584,233.011,883.183,43.501807,-87.847551                                                                                                              
WI,55091,1581106,Pepin County,600897313,43238611,232.008,16.695,44.627436,-91.83489                                                                                                                    
WI,55093,1581107,Pierce County,1486700534,48452323,574.018,18.708,44.725336,-92.426279                                                                                                                 
WI,55095,1581108,Polk County,2368076538,109026970,914.32,42.096,45.462041,-92.447066                                                                                                                   
WI,55097,1581109,Portage County,2074252978,56835086,800.874,21.944,44.476246,-89.49807                                                                                                                 
WI,55099,1581110,Price County,3247992766,62094056,1254.057,23.975,45.679072,-90.35965                                                                                                                  
WI,55101,1581111,Racine County,861457778,1190182837,332.611,459.532,42.780392,-87.771599                                                                                                               
WI,55103,1581112,Richland County,1518120286,8153422,586.15,3.148,43.376199,-90.435693                                                                                                                  
