USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
WV,54001,1696996,Barbour County,883338376,4639586,341.059,1.791,39.139725,-79.996947                                                                                                                   
WV,54003,1550008,Berkeley County,831770872,1057615,321.149,0.408,39.447938,-78.037754                                                                                                                  
WV,54005,1550009,Boone County,1301131776,4307457,502.37,1.663,38.022814,-81.713538                                                                                                                     
WV,54007,1550010,Braxton County,1322796522,14344826,510.735,5.539,38.69933,-80.73166                                                                                                                   
WV,54009,1558262,Brooke County,231015797,8732461,89.196,3.372,40.272645,-80.578691                                                                                                                     
WV,54011,1550012,Cabell County,727849919,18110076,281.024,6.992,38.419578,-82.243397                                                                                                                   
WV,54013,1696945,Calhoun County,723286841,3670131,279.263,1.417,38.844159,-81.115478                                                                                                                   
WV,54015,1550014,Clay County,885617417,4862288,341.939,1.877,38.459826,-81.081866                                                                                                                      
WV,54017,1689476,Doddridge County,828078406,1950541,319.723,0.753,39.264307,-80.711498                                                                                                                 
WV,54019,1560095,Fayette County,1714459787,17468298,661.957,6.745,38.030966,-81.086089                                                                                                                 
WV,54021,1689673,Gilmer County,876717620,4082112,338.503,1.576,38.915867,-80.849413                                                                                                                    
WV,54023,1697238,Grant County,1236387826,7546060,477.372,2.914,39.105988,-79.195064                                                                                                                    
WV,54025,1557518,Greenbrier County,2641319251,12136551,1019.819,4.686,37.924418,-80.45059                                                                                                              
WV,54027,1718644,Hampshire County,1658634382,10902108,640.402,4.209,39.312139,-78.611989                                                                                                               
WV,54029,1560574,Hancock County,213958964,13877476,82.61,5.358,40.516958,-80.570164                                                                                                                    
WV,54031,1718557,Hardy County,1508190150,5624064,582.315,2.171,39.011361,-78.841729                                                                                                                    
WV,54033,1718426,Harrison County,1077461980,1313215,416.01,0.507,39.279182,-80.386498                                                                                                                  
WV,54035,1559963,Jackson County,1202686618,18827431,464.36,7.269,38.834234,-81.677717                                                                                                                  
