USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
WY,56001,1605066,Albany County,11070062826,89554047,4274.175,34.577,41.665514,-105.721883                                                                                                              
WY,56003,1605067,Big Horn County,8124681754,55228617,3136.957,21.324,44.525117,-107.994848                                                                                                             
WY,56005,1605068,Campbell County,12437291871,11010428,4802.065,4.251,44.191999,-105.517014                                                                                                             
WY,56007,1605069,Carbon County,20455066970,171534271,7897.746,66.23,41.70359,-106.933153                                                                                                               
WY,56009,1605070,Converse County,11020383702,26070602,4254.994,10.066,42.984623,-105.524752                                                                                                            
WY,56011,1605071,Crook County,7393068924,28186052,2854.48,10.883,44.589266,-104.567298                                                                                                                 
WY,56013,1605072,Fremont County,23785405153,212752232,9183.597,82.144,43.054831,-108.608935                                                                                                            
WY,56015,1605073,Goshen County,5764310961,16969725,2225.613,6.552,42.089455,-104.35354                                                                                                                 
WY,56017,1605074,Hot Springs County,5191453509,5100560,2004.431,1.969,43.720209,-108.435076                                                                                                            
WY,56019,1609191,Johnson County,10759204100,52952166,4154.152,20.445,44.044048,-106.588541                                                                                                             
WY,56021,1605075,Laramie County,6956355028,4348083,2685.864,1.679,41.29283,-104.660395                                                                                                                 
WY,56023,1605076,Lincoln County,10555073817,49947329,4075.337,19.285,42.229993,-110.682961                                                                                                             
WY,56025,1605077,Natrona County,13831927739,90969877,5340.537,35.124,42.977645,-106.768219                                                                                                             
WY,56027,1605078,Niobrara County,6801380678,4969450,2626.028,1.919,43.062159,-104.468373                                                                                                               
WY,56029,1605079,Park County,17972027723,67638744,6939.039,26.115,44.492387,-109.593597                                                                                                                
WY,56031,1605080,Platte County,5390953605,76102036,2081.459,29.383,42.131593,-104.953963                                                                                                               
WY,56033,1605081,Sheridan County,6535475080,7986330,2523.361,3.084,44.781369,-106.881211                                                                                                               
WY,56035,1605082,Sublette County,12655929029,127353627,4886.482,49.172,42.767928,-109.91617                                                                                                            
WY,56037,1609192,Sweetwater County,27005754375,166230249,10426.981,64.182,41.660328,-108.875677                                                                                                        
WY,56039,1605083,Teton County,10351781979,570867193,3996.846,220.413,44.048662,-110.426087                                                                                                             
WY,56041,1605084,Uinta County,5391645104,16612478,2081.726,6.414,41.284726,-110.558947                                                                                                                 
WY,56043,1605085,Washakie County,5798152465,10415890,2238.679,4.022,43.878831,-107.669052                                                                                                              
WY,56045,1605086,Weston County,6210804120,5225499,2398.005,2.018,43.846213,-104.57002                                                                                                                  
